word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
ABRAHAM,Acts,Acts 3:13,1,1548563,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 3:25,1,1549883,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 7:2,1,1559555,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 7:8,1,1560249,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 7:16,1,1560977,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 7:17,1,1561089,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 7:32,1,1562346,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Acts,Acts 13:26,1,1585973,7,ABRAHAM,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 1:8,1,250385,5,אברהמ,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 6:1,1,261705,5,אברהמ,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 9:5,1,265715,5,אברהמ,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 9:72,1,267108,5,אברהמ,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 92:21,1,296008,5,אברהמ,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 3:2,1,298345,5,אברהמ,0.0,0.0,false,0.0
אברהם,Deuteronomy,Deuteronomy 43:4,1,304344,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 2:42,1,80269,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 3:6,1,80630,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 3:51,1,81286,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 3:61,1,81391,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 4:5,1,82075,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 6:3,1,84863,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 6:8,1,85217,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 23:31,1,126451,5,אברהמ,0.0,0.0,false,0.0
אברהם,Exodus,Exodus 33:1,1,127781,5,אברהמ,0.0,0.0,false,0.0
אברהם,Ezekiel,Ezekiel 33:24,1,778113,5,אברהמ,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:6,1,1749109,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:7,1,1749226,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:8,1,1749326,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:9,1,1749415,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:14,1,1749834,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:16,1,1750046,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:18,1,1750364,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 3:29,1,1751261,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Galatians,Galatians 4:22,1,1752859,7,ABRAHAM,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:5,1,19286,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:9,1,19496,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:51,1,19809,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:71,1,19904,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:81,1,19968,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:22,1,20227,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:32,1,20236,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:32,1,20292,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:42,1,20338,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 71:62,1,20422,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:6,1,20732,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:7,1,20790,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:11,1,20985,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:31,1,21082,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:61,1,21228,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:71,1,21261,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:81,1,21276,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:91,1,21396,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:22,1,21518,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:32,1,21543,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:72,1,21765,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:33,1,22162,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 81:33,1,22168,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 91:72,1,23670,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 91:92,1,23799,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:1,1,24334,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:2,1,24377,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:9,1,24824,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:1,1,24916,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:11,1,24947,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:41,1,25149,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:71,1,25272,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 2:81,1,25363,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:2,1,25419,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:3,1,25456,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:4,1,25495,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:5,1,25535,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:7,1,25608,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:8,1,25659,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:9,1,25714,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:1,1,25729,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:11,1,25796,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:21,1,25822,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:41,1,25925,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:22,1,26402,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:42,1,26515,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:52,1,26533,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:72,1,26648,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:82,1,26690,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:92,1,26726,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 12:43,1,26942,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:1,1,26994,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:1,1,27008,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:3,1,27108,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:4,1,27209,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:5,1,27241,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:6,1,27307,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:7,1,27381,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:8,1,27443,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:9,1,27515,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:1,1,27581,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:11,1,27641,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:11,1,27646,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:31,1,27743,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:31,1,27787,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:41,1,27823,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:51,1,27884,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:91,1,28070,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:91,1,28108,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:2,1,28143,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 22:32,1,28286,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:2,1,28419,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:3,1,28442,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:5,1,28529,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:7,1,28619,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:1,1,28799,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:21,1,28900,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:41,1,28998,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:61,1,29062,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:61,1,29079,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:81,1,29207,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:91,1,29250,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 32:2,1,29324,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:1,1,29346,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:1,1,29371,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:2,1,29384,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:6,1,29621,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:9,1,29828,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:21,1,29989,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:21,1,30021,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:51,1,30216,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:72,1,30709,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:43,1,31109,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:24,1,31498,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:84,1,31890,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:25,1,32102,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 42:95,1,32431,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:1,1,32848,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:5,1,33009,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:6,1,33045,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:6,1,33053,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:7,1,33111,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:8,1,33153,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:1,1,33261,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:1,1,33280,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:11,1,33304,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:21,1,33363,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:21,1,33392,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:91,1,33669,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 52:91,1,33674,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:1,1,34430,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:3,1,34582,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:5,1,34668,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:51,1,35199,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:81,1,35328,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:81,1,35357,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:42,1,35643,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 62:42,1,35692,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 82:4,1,38760,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 82:4,1,38803,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 82:9,1,39054,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 82:31,1,39257,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 13:24,1,45772,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 13:35,1,46353,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 23:1,1,46942,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 53:21,1,51448,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 53:72,1,52106,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 84:51,1,74729,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 84:61,1,74813,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 94:3,1,76468,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 94:13,1,76507,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 5:31,1,77325,5,אברהמ,0.0,0.0,false,0.0
אברהם,Genesis,Genesis 5:42,1,77947,5,אברהמ,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 2:16,1,1826048,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 6:13,1,1831840,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 7:1,1,1832566,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 7:2,1,1832631,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 7:4,1,1832931,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 7:5,1,1833136,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 7:6,1,1833196,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 7:9,1,1833424,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 11:8,1,1843943,7,ABRAHAM,0.0,0.0,false,0.0
ABRAHAM,Hebrews,Hebrews 11:17,1,1844962,7,ABRAHAM,0.0,0.0,false,0.0
אברהם,I Chronicles,I Chronicles 1:27,1,1103507,5,אברהמ,0.0,0.0,false,0.0
אברהם,I Chronicles,I Chronicles 1:28,1,1103515,5,אברהמ,0.0,0.0,false,0.0
אברהם,I Chronicles,I Chronicles 1:32,1,1103631,5,אברהמ,0.0,0.0,false,0.0
אברהם,I Chronicles,I Chronicles 1:34,1,1103735,5,אברהמ,0.0,0.0,false,0.0
אברהם,I Chronicles,I Chronicles 16:16,1,1128056,5,אברהמ,0.0,0.0,false,0.0
אברהם,I Chronicles,I Chronicles 29:18,1,1146739,5,אברהמ,0.0,0.0,false,0.0
אברהם,I Kings,I Kings 18:36,1,518935,5,אברהמ,0.0,0.0,false,0.0
ABRAHAM,I Peter,I Peter 3:6,1,1867363,7,ABRAHAM,0.0,0.0,false,0.0
אברהם,II Chronicles,II Chronicles 20:7,1,1173287,5,אברהמ,0.0,0.0,false,0.0
אברהם,II Chronicles,II Chronicles 30:6,1,1189714,5,אברהמ,0.0,0.0,false,0.0
ABRAHAM,II Corinthians,II Corinthians 11:22,1,1739813,7,ABRAHAM,0.0,0.0,false,0.0
אברהם,II Kings,II Kings 13:23,1,553055,5,אברהמ,0.0,0.0,false,0.0
אברהם,II Samuel,II Samuel 13:6,1,454174,5,אברהמ,0.0,0.0,false,0.0
אברהם,II Samuel,II Samuel 13:10,1,454401,5,אברהמ,0.0,0.0,false,0.0
