word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אסונ,Amos,Amos 5:19,-1,822531,4,אסונ,0.35941333,-2.663619,false,-4.5207486
תשס,Deuteronomy,Deuteronomy 41:6,1,274055,3,תשס,0.21984711,-2.663619,false,-7.307146
אסונ,Deuteronomy,Deuteronomy 91:5,-1,280567,4,אסונ,0.28734925,-2.663619,false,-5.959486
אסונ,Ecclesiastes,Ecclesiastes 3:5,-1,1018576,4,אסונ,0.3217147,-2.663619,false,-5.2733903
אסונ,Esther,Esther 4:16,-1,1032601,4,אסונ,0.41583598,-2.663619,false,-3.3942876
אסונ,Exodus,Exodus 12:22,1,108968,4,אסונ,0.39385214,-2.663619,false,-3.8331883
אסונ,Exodus,Exodus 12:32,1,109012,4,אסונ,0.3318352,-2.663619,false,-5.0713377
שביט,Genesis,Genesis 4:7,-1,4479,4,שביט,0.27111742,-2.663619,false,-6.28355
אסונ,Genesis,Genesis 24:4,1,63164,4,אסונ,0.38143477,-2.663619,false,-4.081097
אסונ,Genesis,Genesis 24:83,1,64999,4,אסונ,0.37559777,-2.663619,false,-4.1976314
אסונ,Genesis,Genesis 44:92,1,68469,4,אסונ,0.3478928,-2.663619,false,-4.750753
אסונ,I Chronicles,I Chronicles 22:2,-1,1135441,4,אסונ,0.3436854,-2.663619,false,-4.834752
אסונ,Isaiah,Isaiah 31:7,1,607244,4,אסונ,0.36516923,-2.663619,false,-4.4058337
תשס,Jeremiah,Jeremiah 49:12,-1,719698,3,תשס,0.2331061,-2.663619,false,-7.042434
אסונ,Job,Job 11:20,-1,976404,4,אסונ,0.389334,-2.663619,false,-3.9233918
אסונ,Job,Job 42:6,1,999149,4,אסונ,0.34582406,-2.663619,false,-4.792054
תשס,Leviticus,Leviticus 11:3,1,155498,3,תשס,0.24668509,-2.663619,false,-6.771334
אסונ,Numbers,Numbers 53:23,-1,248887,4,אסונ,0.3206629,-2.663619,false,-5.2943897
תשס,Proverbs,Proverbs 26:6,-1,962679,3,תשס,0.30570427,-2.663619,false,-5.593034
אסונ,Proverbs,Proverbs 28:17,-1,964697,4,אסונ,0.37404847,-2.663619,false,-4.2285624
אסונ,Genesis,Genesis 34:22,-2,66284,4,אסונ,0.35863847,-2.663619,false,-4.5362186
תשס,I Samuel,I Samuel 24:19,2,424548,3,תשס,0.19595389,-2.663619,false,-7.784167
תשס,II Chronicles,II Chronicles 25:27,2,1182914,3,תשס,0.23634893,-2.663619,false,-6.977692
תשנט,Isaiah,Isaiah 39:2,2,615618,4,תשנט,0.23975757,-2.663619,false,-6.90964
מטאור,Leviticus,Leviticus 31:4,2,160138,5,מטאור,0.2774843,-2.663619,false,-6.156437
שביט,Nehemiah,Nehemiah 2:6,2,1081376,4,שביט,0.24107358,-2.663619,false,-6.883366
שביט,Nehemiah,Nehemiah 7:20,2,1089362,4,שביט,0.32385218,-2.663619,false,-5.230716
אסונ,Numbers,Numbers 4:8,-2,193030,4,אסונ,0.26222122,-2.663619,false,-6.4611597
תשס,Psalms,Psalms 18:12,2,868618,3,תשס,0.27142248,-2.663619,false,-6.2774596
תשנט,Song of Songs,Song of Songs 4:11,-2,1002348,4,תשנט,0.24432659,-2.663619,false,-6.8184204
תשס,Deuteronomy,Deuteronomy 41:6,-3,274055,3,תשס,0.21984711,-2.663619,false,-7.307146
תשס,Deuteronomy,Deuteronomy 71:5,3,278094,3,תשס,0.23604587,-2.663619,false,-6.9837427
תשס,Esther,Esther 6:2,3,1033830,3,תשס,0.21523005,-2.663619,false,-7.3993244
תשס,Esther,Esther 9:29,3,1039017,3,תשס,0.22353563,-2.663619,false,-7.2335057
תשס,Exodus,Exodus 32:42,-3,112034,3,תשס,0.22874649,-2.663619,false,-7.1294727
תשס,Isaiah,Isaiah 33:6,-3,608441,3,תשס,0.22957021,-2.663619,false,-7.113027
תשס,Jeremiah,Jeremiah 23:27,3,677532,3,תשס,0.22535938,-2.663619,false,-7.1970954
תשס,Leviticus,Leviticus 11:3,-3,155498,3,תשס,0.24668509,-2.663619,false,-6.771334
תשס,Leviticus,Leviticus 52:51,-3,180329,3,תשס,0.26514763,-2.663619,false,-6.4027348
תשס,Malachi,Malachi 1:8,3,858843,3,תשס,0.23512776,-2.663619,false,-7.0020723
תשס,Numbers,Numbers 1:2,-3,186497,3,תשס,0.2585609,-2.663619,false,-6.534237
תשס,Numbers,Numbers 1:81,-3,186983,3,תשס,0.2711798,-2.663619,false,-6.2823043
תשס,Numbers,Numbers 1:2,-3,187088,3,תשס,0.2585609,-2.663619,false,-6.534237
