word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
ברית,Amos,Amos 1:9,1,818795,4,ברית,0.0,14.583392,true,0.0
ברית,Amos,Amos 5:12,-1,822172,4,ברית,0.0,14.583392,true,0.0
ברית,Amos,Amos 7:9,-1,824024,4,ברית,0.0,14.583392,true,0.0
ברית,Amos,Amos 7:11,-1,824136,4,ברית,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 2:62,1,253901,4,שלומ,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 4:31,1,257139,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 4:32,1,257776,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 4:13,1,258310,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 5:2,1,259539,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 5:3,1,259567,4,ברית,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 5:11,-1,259982,4,שלומ,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 7:2,1,262683,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 7:9,1,263097,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 7:21,1,263287,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 8:81,1,265141,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 9:9,1,265951,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 9:11,1,266161,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 9:51,1,266373,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 1:8,1,267726,4,ברית,0.0,14.583392,true,0.0
ברית,Deuteronomy,Deuteronomy 71:2,1,277909,4,ברית,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 71:3,-1,277944,4,שלומ,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 91:6,-1,280667,4,שלומ,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 2:1,1,282037,4,שלומ,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 2:11,1,282047,4,שלומ,0.0,14.583392,true,0.0
שלומ,Deuteronomy,Deuteronomy 82:86,-1,295270,4,שלומ,0.0,14.583392,true,0.0
