word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
נשיא,Ezekiel,Ezekiel 7:27,1,737940,4,נשיא,0.24364322,1.8278954,false,-14.606794
נשיא,Ezekiel,Ezekiel 12:10,1,743282,4,נשיא,0.22531761,1.8278954,false,-15.504436
נשיא,Ezekiel,Ezekiel 12:12,1,743367,4,נשיא,0.20461708,1.8278954,false,-16.518406
נשיא,Ezekiel,Ezekiel 19:1,1,754382,4,נשיא,0.33808556,1.8278954,false,-9.980741
נשיא,Ezekiel,Ezekiel 21:17,1,758774,4,נשיא,0.24595216,1.8278954,false,-14.493696
נשיא,Ezekiel,Ezekiel 21:30,1,759481,4,נשיא,0.25995177,1.8278954,false,-13.807956
נשיא,Ezekiel,Ezekiel 22:6,1,760160,4,נשיא,0.23341405,1.8278954,false,-15.107848
נשיא,Ezekiel,Ezekiel 26:16,1,767371,4,נשיא,0.21280074,1.8278954,false,-16.117548
נשיא,Ezekiel,Ezekiel 27:21,1,768736,4,נשיא,0.24313472,1.8278954,false,-14.631702
נשיא,Ezekiel,Ezekiel 30:13,1,772880,4,נשיא,0.19037622,1.8278954,false,-17.215963
נשיא,Ezekiel,Ezekiel 32:29,1,776499,4,נשיא,0.22788893,1.8278954,false,-15.378485
נשיא,Ezekiel,Ezekiel 34:24,1,780162,4,נשיא,0.22304161,1.8278954,false,-15.61592
נשיא,Ezekiel,Ezekiel 37:25,1,785348,4,נשיא,0.21713723,1.8278954,false,-15.905133
נשיא,Ezekiel,Ezekiel 38:2,1,785566,4,נשיא,0.32311866,1.8278954,false,-10.713862
נשיא,Ezekiel,Ezekiel 38:3,1,785618,4,נשיא,0.26356494,1.8278954,false,-13.630972
נשיא,Ezekiel,Ezekiel 39:1,1,787034,4,נשיא,0.2519339,1.8278954,false,-14.200694
נשיא,Ezekiel,Ezekiel 39:18,1,788028,4,נשיא,0.27355492,1.8278954,false,-13.141635
נשיא,Ezekiel,Ezekiel 44:3,1,796371,4,נשיא,0.2783062,1.8278954,false,-12.908904
נשיא,Ezekiel,Ezekiel 44:3,1,796375,4,נשיא,0.2783062,1.8278954,false,-12.908904
נשיא,Ezekiel,Ezekiel 45:7,1,798676,4,נשיא,0.27043,1.8278954,false,-13.294703
נשיא,Ezekiel,Ezekiel 45:8,1,798825,4,נשיא,0.27317157,1.8278954,false,-13.160413
נשיא,Ezekiel,Ezekiel 45:9,1,798878,4,נשיא,0.2553216,1.8278954,false,-14.034755
נשיא,Ezekiel,Ezekiel 45:16,1,799297,4,נשיא,0.31441456,1.8278954,false,-11.140214
נשיא,Ezekiel,Ezekiel 45:17,1,799311,4,נשיא,0.34895992,1.8278954,false,-9.448084
נשיא,Ezekiel,Ezekiel 45:22,1,799649,4,נשיא,0.2569224,1.8278954,false,-13.956344
נשיא,Ezekiel,Ezekiel 46:2,1,799942,4,נשיא,0.23766181,1.8278954,false,-14.899781
