word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
שבוע,Daniel,Daniel 1:1,-1,1039406,4,שבוע,0.2128768,5.6818485,true,-10.404361
שבע,Daniel,Daniel 3:19,1,1045705,3,שבע,0.24332473,5.6818485,true,-9.620516
שבע,Daniel,Daniel 4:13,1,1047648,3,שבע,0.27585077,5.6818485,true,-8.783173
שבע,Daniel,Daniel 4:20,1,1048325,3,שבע,0.25992066,5.6818485,true,-9.193274
שבע,Daniel,Daniel 4:22,1,1048458,3,שבע,0.25129065,5.6818485,true,-9.415442
שבע,Daniel,Daniel 4:29,1,1048871,3,שבע,0.23417182,5.6818485,true,-9.856146
שבע,Daniel,Daniel 9:2,1,1057763,3,שבע,0.26035395,5.6818485,true,-9.182119
ברית,Daniel,Daniel 9:4,1,1057872,4,ברית,0.2538058,5.6818485,true,-9.350694
שבע,Daniel,Daniel 9:11,1,1058308,3,שבע,0.2810088,5.6818485,true,-8.650385
שבע,Daniel,Daniel 9:24,1,1059227,3,שבע,0.31406432,5.6818485,true,-7.799411
שבע,Daniel,Daniel 9:24,1,1059232,3,שבע,0.31406432,5.6818485,true,-7.799411
שבע,Daniel,Daniel 9:25,1,1059376,3,שבע,0.2807978,5.6818485,true,-8.655817
שבע,Daniel,Daniel 9:25,1,1059381,3,שבע,0.2807978,5.6818485,true,-8.655817
שבע,Daniel,Daniel 9:25,1,1059386,3,שבע,0.2807978,5.6818485,true,-8.655817
שבע,Daniel,Daniel 9:26,1,1059435,3,שבע,0.25698596,5.6818485,true,-9.268824
ברית,Daniel,Daniel 9:27,1,1059521,4,ברית,0.30377266,5.6818485,true,-8.064358
שבוע,Daniel,Daniel 9:27,1,1059530,4,שבוע,0.26564944,5.6818485,true,-9.045794
שבוע,Daniel,Daniel 9:27,1,1059542,4,שבוע,0.26564944,5.6818485,true,-9.045794
שבע,Daniel,Daniel 10:2,1,1059712,3,שבע,0.28523138,5.6818485,true,-8.54168
שבע,Daniel,Daniel 10:3,1,1059772,3,שבע,0.22984916,5.6818485,true,-9.967428
ברית,Daniel,Daniel 11:22,1,1062207,4,ברית,0.28895766,5.6818485,true,-8.445751
שבוע,Daniel,Daniel 11:25,1,1062418,4,שבוע,0.23866107,5.6818485,true,-9.740576
ברית,Daniel,Daniel 11:28,1,1062553,4,ברית,0.2670412,5.6818485,true,-9.009964
ברית,Daniel,Daniel 11:30,1,1062636,4,ברית,0.26444763,5.6818485,true,-9.076733
ברית,Daniel,Daniel 11:30,1,1062661,4,ברית,0.26444763,5.6818485,true,-9.076733
ברית,Daniel,Daniel 11:32,1,1062731,4,ברית,0.25477535,5.6818485,true,-9.325733
שבע,Daniel,Daniel 12:7,1,1063918,3,שבע,0.28785852,5.6818485,true,-8.474048
שבע,Daniel,Daniel 9:7,2,1058102,3,שבע,0.2740257,5.6818485,true,-8.830156
שבע,Daniel,Daniel 4:16,-3,1047986,3,שבע,0.3452202,5.6818485,true,-6.9973407
שבע,Daniel,Daniel 1:4,4,1039680,3,שבע,0.24893068,5.6818485,true,-9.476197
שבע,Daniel,Daniel 9:12,-4,1058440,3,שבע,0.25891346,5.6818485,true,-9.219203
שבע,Daniel,Daniel 1:14,-6,1040294,3,שבע,0.25991407,5.6818485,true,-9.193443
שבע,Daniel,Daniel 7:5,-7,1054252,3,שבע,0.27905726,5.6818485,true,-8.700625
ברית,Daniel,Daniel 7:28,-7,1056009,4,ברית,0.21935283,5.6818485,true,-10.237643
שבע,Daniel,Daniel 10:11,7,1060248,3,שבע,0.29285562,5.6818485,true,-8.345404
שבע,Daniel,Daniel 3:15,-8,1045280,3,שבע,0.25715333,5.6818485,true,-9.264515
שבע,Daniel,Daniel 6:15,8,1052872,3,שבע,0.21345977,5.6818485,true,-10.389353
שבוע,Daniel,Daniel 10:4,-10,1059804,4,שבוע,0.23331136,5.6818485,true,-9.878298
שבע,Daniel,Daniel 7:6,-15,1054349,3,שבע,0.3108584,5.6818485,true,-7.8819437
ברית,Daniel,Daniel 10:20,26,1060826,4,ברית,0.263048,5.6818485,true,-9.112764
שבע,Daniel,Daniel 11:22,27,1062180,3,שבע,0.29053846,5.6818485,true,-8.405056
שבע,Daniel,Daniel 11:39,-31,1063132,3,שבע,0.3084444,5.6818485,true,-7.944089
שבע,Daniel,Daniel 11:38,-40,1063064,3,שבע,0.29586428,5.6818485,true,-8.267949
שבע,Daniel,Daniel 12:11,-45,1064129,3,שבע,0.25406224,5.6818485,true,-9.344091
שבע,Daniel,Daniel 7:1,46,1053952,3,שבע,0.25588736,5.6818485,true,-9.297106
שבע,Daniel,Daniel 4:14,49,1047767,3,שבע,0.3149318,5.6818485,true,-7.7770786
שבע,Daniel,Daniel 11:41,49,1063300,3,שבע,0.3266877,5.6818485,true,-7.4744377
שבע,Daniel,Daniel 11:17,-58,1061934,3,שבע,0.27395716,5.6818485,true,-8.831921
ברית,Daniel,Daniel 2:30,62,1042716,4,ברית,0.25403446,5.6818485,true,-9.344807
שבוע,Daniel,Daniel 7:10,-62,1054762,4,שבוע,0.22621888,5.6818485,true,-10.060885
שבע,Daniel,Daniel 7:1,-73,1053962,3,שבע,0.25588736,5.6818485,true,-9.297106
שבע,Daniel,Daniel 11:13,76,1061644,3,שבע,0.28726333,5.6818485,true,-8.48937
שבע,Daniel,Daniel 11:19,76,1062024,3,שבע,0.2780909,5.6818485,true,-8.725503
שבע,Daniel,Daniel 11:4,-80,1061144,3,שבע,0.24014367,5.6818485,true,-9.702408
שבע,Daniel,Daniel 10:12,-94,1060380,3,שבע,0.2633641,5.6818485,true,-9.104627
שבע,Daniel,Daniel 4:20,-98,1048218,3,שבע,0.25992066,5.6818485,true,-9.193274
שבע,Daniel,Daniel 6:25,-132,1053644,3,שבע,0.28144777,5.6818485,true,-8.639085
שבע,Daniel,Daniel 10:6,152,1059896,3,שבע,0.2500376,5.6818485,true,-9.4477005
שבע,Daniel,Daniel 11:3,-195,1061069,3,שבע,0.21296673,5.6818485,true,-10.402045
ברית,Daniel,Daniel 11:20,215,1062100,4,ברית,0.27077112,5.6818485,true,-8.913942
ברית,Daniel,Daniel 3:1,254,1044194,4,ברית,0.2962801,5.6818485,true,-8.257244
שבע,Daniel,Daniel 12:3,-305,1063654,3,שבע,0.26194644,5.6818485,true,-9.141123
שבע,Daniel,Daniel 5:30,-485,1051719,3,שבע,0.25447467,5.6818485,true,-9.333474
