word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
דיאנה,Daniel,Daniel 4:6,1,1047172,5,דיאנה,0.3227099,15.1353035,true,-5.27429
דיאנה,Daniel,Daniel 4:27,1,1048733,5,דיאנה,0.31586257,15.1353035,true,-5.459248
פריז,Ezra,Ezra 8:27,1,1076191,4,פריז,0.21007793,15.1353035,true,-8.316673
דיאנה,Genesis,Genesis 21:11,-1,14718,5,דיאנה,0.35900033,15.1353035,true,-4.294023
דיאנה,II Kings,II Kings 4:9,-1,534276,5,דיאנה,0.31723523,15.1353035,true,-5.42217
דיאנה,II Kings,II Kings 5:15,-1,537329,5,דיאנה,0.2843363,15.1353035,true,-6.3108273
פריז,Numbers,Numbers 6:81,-1,197853,4,פריז,0.2074284,15.1353035,true,-8.388242
תשנז,Esther,Esther 2:1,2,1028778,4,תשנז,0.25157657,15.1353035,true,-7.1957235
תשנז,Joshua,Joshua 7:24,2,315026,4,תשנז,0.3391058,15.1353035,true,-4.831408
תשנז,I Samuel,I Samuel 7:8,3,393234,4,תשנז,0.29375264,15.1353035,true,-6.0564756
דיאנה,Proverbs,Proverbs 4:18,3,944106,5,דיאנה,0.34426767,15.1353035,true,-4.6919775
פריז,Proverbs,Proverbs 21:8,3,957987,4,פריז,0.2844069,15.1353035,true,-6.30892
תשנז,Judges,Judges 12:11,-4,367708,4,תשנז,0.3264532,15.1353035,true,-5.173177
דיאנה,Ezekiel,Ezekiel 37:21,5,784915,5,דיאנה,0.31607604,15.1353035,true,-5.453482
דיאנה,II Kings,II Kings 2:15,-6,531362,5,דיאנה,0.3091636,15.1353035,true,-5.6401987
וויילס,Job,Job 16:12,8,979920,6,וויילס,0.27128828,15.1353035,true,-6.6632767
תשנז,Leviticus,Leviticus 61:5,8,166216,4,תשנז,0.30459946,15.1353035,true,-5.763484
פריז,Proverbs,Proverbs 4:3,-8,943688,4,פריז,0.256463,15.1353035,true,-7.063733
דיאנה,I Samuel,I Samuel 18:7,9,413577,5,דיאנה,0.3282259,15.1353035,true,-5.1252933
פריז,II Kings,II Kings 5:26,-9,538187,4,פריז,0.23248878,15.1353035,true,-7.7113175
תשנז,Ezra,Ezra 10:2,-11,1078273,4,תשנז,0.27144822,15.1353035,true,-6.658956
דיאנה,Judges,Judges 9:37,17,362151,5,דיאנה,0.35056487,15.1353035,true,-4.521879
פריז,II Kings,II Kings 14:28,18,555066,4,פריז,0.2284461,15.1353035,true,-7.8205175
דיאנה,I Samuel,I Samuel 26:19,19,428963,5,דיאנה,0.32045192,15.1353035,true,-5.335282
פריז,Job,Job 41:5,-30,998414,4,פריז,0.3077426,15.1353035,true,-5.6785827
תשנז,Ezra,Ezra 10:1,32,1078144,4,תשנז,0.27654052,15.1353035,true,-6.5214043
פריז,Proverbs,Proverbs 11:18,34,949756,4,פריז,0.24758185,15.1353035,true,-7.303628
תשנז,Judges,Judges 21:18,-35,383274,4,תשנז,0.30788496,15.1353035,true,-5.674737
פריז,Job,Job 41:5,-40,998424,4,פריז,0.3077426,15.1353035,true,-5.6785827
פריז,Exodus,Exodus 32:9,-42,111254,4,פריז,0.20512539,15.1353035,true,-8.45045
דיאנה,Exodus,Exodus 4:52,-47,83250,5,דיאנה,0.30226237,15.1353035,true,-5.826613
תשנז,Genesis,Genesis 42:93,-58,31332,4,תשנז,0.25472888,15.1353035,true,-7.1105742
פריז,I Chronicles,I Chronicles 27:14,71,1143029,4,פריז,0.26125604,15.1353035,true,-6.9342647
דיאנה,Ezekiel,Ezekiel 16:52,75,750525,5,דיאנה,0.29552,15.1353035,true,-6.0087357
דיאנה,Numbers,Numbers 11:52,83,208081,5,דיאנה,0.29013515,15.1353035,true,-6.15419
פריז,Genesis,Genesis 5:81,-95,77624,4,פריז,0.21406102,15.1353035,true,-8.209084
דיאנה,Job,Job 5:1,-101,971347,5,דיאנה,0.37821612,15.1353035,true,-3.7749715
דיאנה,Jeremiah,Jeremiah 18:18,-115,670649,5,דיאנה,0.32748845,15.1353035,true,-5.145213
תשנז,Genesis,Genesis 9:22,134,11256,4,תשנז,0.3043607,15.1353035,true,-5.7699337
דיאנה,I Samuel,I Samuel 14:20,188,404012,5,דיאנה,0.30718368,15.1353035,true,-5.69368
פריז,Genesis,Genesis 84:2,211,75116,4,פריז,0.27306706,15.1353035,true,-6.6152287
דיאנה,Jeremiah,Jeremiah 19:2,-212,671088,5,דיאנה,0.32508734,15.1353035,true,-5.210071
דיאנה,Genesis,Genesis 72:22,278,37252,5,דיאנה,0.31941664,15.1353035,true,-5.3632464
תשנז,Job,Job 32:7,-299,990947,4,תשנז,0.32056087,15.1353035,true,-5.332339
דיאנה,Daniel,Daniel 6:5,372,1052016,5,דיאנה,0.30213737,15.1353035,true,-5.8299894
דיאנה,Daniel,Daniel 5:2,431,1049485,5,דיאנה,0.35935378,15.1353035,true,-4.284476
דיאנה,II Chronicles,II Chronicles 29:30,-456,1188896,5,דיאנה,0.26785657,15.1353035,true,-6.755973
תשנז,I Samuel,I Samuel 31:7,-465,435134,4,תשנז,0.31113365,15.1353035,true,-5.586984
דיאנה,Exodus,Exodus 82:71,-623,119143,5,דיאנה,0.38992813,15.1353035,true,-3.4586098
דיאנה,Numbers,Numbers 8:21,-663,202952,5,דיאנה,0.33313334,15.1353035,true,-4.992735
פריז,Ezra,Ezra 2:3,-780,1065164,4,פריז,0.26484013,15.1353035,true,-6.8374524
דיאנה,Zechariah,Zechariah 13:1,-1121,856415,5,דיאנה,0.3378576,15.1353035,true,-4.865124
נסיכה,Judges,Judges 5:2,1146,351822,5,נסיכה,0.23972575,15.1353035,true,-7.515835
תשנז,Psalms,Psalms 55:5,-1193,889245,4,תשנז,0.36547333,15.1353035,true,-4.119176
פריז,Ezekiel,Ezekiel 40:49,1207,791792,4,פריז,0.18321824,15.1353035,true,-9.0422
נסיכה,Genesis,Genesis 74:9,-1482,72380,5,נסיכה,0.18307626,15.1353035,true,-9.046035
