word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
שלומ,Isaiah,Isaiah 9:5,1,586018,4,שלומ,0.35584283,0.0,false,0.0
שלומ,Isaiah,Isaiah 9:6,1,586039,4,שלומ,0.36515227,0.0,false,0.0
שלומ,Isaiah,Isaiah 14:2,-1,590693,4,שלומ,0.3674119,0.0,false,0.0
שלומ,Isaiah,Isaiah 26:3,1,600672,4,שלומ,0.43028843,0.0,false,0.0
שלומ,Isaiah,Isaiah 26:3,1,600676,4,שלומ,0.43028843,0.0,false,0.0
שלומ,Isaiah,Isaiah 26:12,1,601019,4,שלומ,0.39261106,0.0,false,0.0
שלומ,Isaiah,Isaiah 27:5,1,601682,4,שלומ,0.36659607,0.0,false,0.0
שלומ,Isaiah,Isaiah 27:5,1,601688,4,שלומ,0.36659607,0.0,false,0.0
שלומ,Isaiah,Isaiah 30:27,-1,606462,4,שלומ,0.36836782,0.0,false,0.0
שלומ,Isaiah,Isaiah 32:17,1,608092,4,שלומ,0.39432192,0.0,false,0.0
שלומ,Isaiah,Isaiah 32:18,1,608131,4,שלומ,0.4025319,0.0,false,0.0
שלומ,Isaiah,Isaiah 33:7,1,608485,4,שלומ,0.3926075,0.0,false,0.0
שלומ,Isaiah,Isaiah 34:8,1,609669,4,שלומ,0.4168019,0.0,false,0.0
שלומ,Isaiah,Isaiah 36:12,-1,611551,4,שלומ,0.32158804,0.0,false,0.0
שלומ,Isaiah,Isaiah 38:17,1,615255,4,שלומ,0.37938246,0.0,false,0.0
שלומ,Isaiah,Isaiah 39:8,1,616055,4,שלומ,0.37935144,0.0,false,0.0
שלומ,Isaiah,Isaiah 41:3,1,617581,4,שלומ,0.32912076,0.0,false,0.0
משיח,Isaiah,Isaiah 45:1,1,622956,4,משיח,0.22111706,0.0,false,0.0
שלומ,Isaiah,Isaiah 45:7,1,623303,4,שלומ,0.3873307,0.0,false,0.0
שלומ,Isaiah,Isaiah 48:18,1,626647,4,שלומ,0.37546417,0.0,false,0.0
שלומ,Isaiah,Isaiah 48:22,1,626839,4,שלומ,0.43244305,0.0,false,0.0
שלומ,Isaiah,Isaiah 52:5,1,630567,4,שלומ,0.37317857,0.0,false,0.0
שלומ,Isaiah,Isaiah 52:7,1,630673,4,שלומ,0.34744513,0.0,false,0.0
שלומ,Isaiah,Isaiah 53:5,1,631329,4,שלומ,0.3968938,0.0,false,0.0
שלומ,Isaiah,Isaiah 54:10,1,632289,4,שלומ,0.39083648,0.0,false,0.0
שלומ,Isaiah,Isaiah 54:13,1,632426,4,שלומ,0.35454655,0.0,false,0.0
שלומ,Isaiah,Isaiah 55:12,1,633275,4,שלומ,0.35796422,0.0,false,0.0
שלומ,Isaiah,Isaiah 57:2,1,634159,4,שלומ,0.37237066,0.0,false,0.0
שלומ,Isaiah,Isaiah 57:19,1,634998,4,שלומ,0.29420483,0.0,false,0.0
שלומ,Isaiah,Isaiah 57:19,1,635002,4,שלומ,0.29420483,0.0,false,0.0
שלומ,Isaiah,Isaiah 57:21,1,635078,4,שלומ,0.37494397,0.0,false,0.0
שלומ,Isaiah,Isaiah 59:8,1,636395,4,שלומ,0.4093514,0.0,false,0.0
שלומ,Isaiah,Isaiah 59:8,1,636449,4,שלומ,0.4093514,0.0,false,0.0
שלומ,Isaiah,Isaiah 60:17,1,638123,4,שלומ,0.28941754,0.0,false,0.0
שלומ,Isaiah,Isaiah 66:12,1,643386,4,שלומ,0.39712095,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 4:7,-1,649310,4,שלומ,0.40358198,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 4:10,1,649486,4,שלומ,0.3336587,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 6:14,1,652990,4,שלומ,0.34983984,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 6:14,1,652994,4,שלומ,0.34983984,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 6:14,1,653002,4,שלומ,0.34983984,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 8:11,1,656706,4,שלומ,0.3566905,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 8:11,1,656710,4,שלומ,0.3566905,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 8:11,1,656718,4,שלומ,0.3566905,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 8:15,1,656938,4,שלומ,0.37473232,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 9:7,1,657684,4,שלומ,0.3714199,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 12:5,1,661836,4,שלומ,0.31021023,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 12:12,1,662222,4,שלומ,0.37576813,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 13:11,-1,663101,4,שלומ,0.32149512,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 13:19,1,663637,4,שלומ,0.38056126,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 14:13,1,664686,4,שלומ,0.3747296,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 14:19,1,665227,4,שלומ,0.34574538,0.0,false,0.0
שלומ,Jeremiah,Jeremiah 16:5,1,666941,4,שלומ,0.33851185,0.0,false,0.0
