word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
משיח,Psalms,Psalms 2:2,1,862154,4,משיח,0.27675667,0.0,false,0.0
שלומ,Psalms,Psalms 3:1,1,862484,4,שלומ,0.3635515,0.0,false,0.0
שלומ,Psalms,Psalms 4:9,1,863004,4,שלומ,0.36439043,0.0,false,0.0
משיח,Psalms,Psalms 18:51,1,869800,4,משיח,0.2983928,0.0,false,0.0
משיח,Psalms,Psalms 20:7,1,870506,4,משיח,0.25588292,0.0,false,0.0
ברית,Psalms,Psalms 25:10,1,872935,4,ברית,0.31970876,0.0,false,0.0
ברית,Psalms,Psalms 25:14,1,873040,4,ברית,0.33822387,0.0,false,0.0
שלומ,Psalms,Psalms 28:3,1,874314,4,שלומ,0.39843604,0.0,false,0.0
משיח,Psalms,Psalms 28:8,1,874512,4,משיח,0.2725583,0.0,false,0.0
שלומ,Psalms,Psalms 29:11,1,874905,4,שלומ,0.43934563,0.0,false,0.0
שלומ,Psalms,Psalms 31:18,-1,875927,4,שלומ,0.3651648,0.0,false,0.0
שלומ,Psalms,Psalms 34:15,1,877683,4,שלומ,0.42871985,0.0,false,0.0
שלומ,Psalms,Psalms 35:20,1,878549,4,שלומ,0.3683688,0.0,false,0.0
שלומ,Psalms,Psalms 35:27,1,878824,4,שלומ,0.40019125,0.0,false,0.0
שלומ,Psalms,Psalms 37:11,1,879575,4,שלומ,0.41066632,0.0,false,0.0
שלומ,Psalms,Psalms 37:37,1,880358,4,שלומ,0.43109947,0.0,false,0.0
שלומ,Psalms,Psalms 38:4,1,880551,4,שלומ,0.39632225,0.0,false,0.0
שלומ,Psalms,Psalms 41:10,1,882682,4,שלומ,0.38418755,0.0,false,0.0
ברית,Psalms,Psalms 44:18,1,884176,4,ברית,0.35243022,0.0,false,0.0
שלומ,Psalms,Psalms 45:17,-1,885036,4,שלומ,0.380059,0.0,false,0.0
ברית,Psalms,Psalms 50:5,1,887015,4,ברית,0.3477599,0.0,false,0.0
ברית,Psalms,Psalms 50:16,1,887337,4,ברית,0.31523302,0.0,false,0.0
שלומ,Psalms,Psalms 55:19,1,889655,4,שלומ,0.36489585,0.0,false,0.0
ברית,Psalms,Psalms 55:21,1,889747,4,ברית,0.314426,0.0,false,0.0
שלומ,Psalms,Psalms 57:5,-1,890552,4,שלומ,0.380939,0.0,false,0.0
שלומ,Psalms,Psalms 64:9,-1,893605,4,שלומ,0.42291933,0.0,false,0.0
ברית,Psalms,Psalms 65:14,1,894140,4,ברית,0.3270147,0.0,false,0.0
שלומ,Psalms,Psalms 69:23,1,897079,4,שלומ,0.43128344,0.0,false,0.0
שלומ,Psalms,Psalms 72:3,1,898621,4,שלומ,0.38127732,0.0,false,0.0
שלומ,Psalms,Psalms 72:7,1,898741,4,שלומ,0.37856737,0.0,false,0.0
שלומ,Psalms,Psalms 73:3,1,899291,4,שלומ,0.4295787,0.0,false,0.0
שלומ,Psalms,Psalms 73:9,-1,899447,4,שלומ,0.42311594,0.0,false,0.0
ברית,Psalms,Psalms 74:20,1,900615,4,ברית,0.3318544,0.0,false,0.0
ברית,Psalms,Psalms 78:10,1,902474,4,ברית,0.33382952,0.0,false,0.0
ברית,Psalms,Psalms 78:37,1,903293,4,ברית,0.2912966,0.0,false,0.0
ברית,Psalms,Psalms 83:6,1,906378,4,ברית,0.30779028,0.0,false,0.0
משיח,Psalms,Psalms 84:10,1,907080,4,משיח,0.28893122,0.0,false,0.0
שלומ,Psalms,Psalms 85:9,1,907426,4,שלומ,0.36009628,0.0,false,0.0
שלומ,Psalms,Psalms 85:11,1,907503,4,שלומ,0.37118715,0.0,false,0.0
ברית,Psalms,Psalms 89:4,1,909062,4,ברית,0.328317,0.0,false,0.0
ברית,Psalms,Psalms 89:29,1,909854,4,ברית,0.31846884,0.0,false,0.0
ברית,Psalms,Psalms 89:35,1,910005,4,ברית,0.3436581,0.0,false,0.0
משיח,Psalms,Psalms 89:39,1,910122,4,משיח,0.29393315,0.0,false,0.0
ברית,Psalms,Psalms 89:40,1,910132,4,ברית,0.32566917,0.0,false,0.0
משיח,Psalms,Psalms 89:52,1,910506,4,משיח,0.31353158,0.0,false,0.0
ברית,Psalms,Psalms 103:18,1,916496,4,ברית,0.27493253,0.0,false,0.0
ברית,Psalms,Psalms 105:8,1,917971,4,ברית,0.3540023,0.0,false,0.0
ברית,Psalms,Psalms 105:10,1,918035,4,ברית,0.30872637,0.0,false,0.0
משיח,Psalms,Psalms 105:15,1,918159,4,משיח,0.24718282,0.0,false,0.0
ברית,Psalms,Psalms 106:45,1,920227,4,ברית,0.30095804,0.0,false,0.0
שלומ,Psalms,Psalms 109:24,1,922699,4,שלומ,0.4484095,0.0,false,0.0
ברית,Psalms,Psalms 111:5,1,923295,4,ברית,0.31998104,0.0,false,0.0
ברית,Psalms,Psalms 111:9,1,923405,4,ברית,0.31536496,0.0,false,0.0
משיח,Psalms,Psalms 119:85,1,928202,4,משיח,0.33704448,0.0,false,0.0
שלומ,Psalms,Psalms 119:165,1,930222,4,שלומ,0.46493086,0.0,false,0.0
שלומ,Psalms,Psalms 120:6,1,930701,4,שלומ,0.36039013,0.0,false,0.0
שלומ,Psalms,Psalms 120:7,1,930708,4,שלומ,0.41362798,0.0,false,0.0
שלומ,Psalms,Psalms 122:6,1,931095,4,שלומ,0.41569296,0.0,false,0.0
שלומ,Psalms,Psalms 122:7,1,931118,4,שלומ,0.36311162,0.0,false,0.0
שלומ,Psalms,Psalms 122:8,1,931158,4,שלומ,0.38788244,0.0,false,0.0
שלומ,Psalms,Psalms 125:5,1,931790,4,שלומ,0.41220105,0.0,false,0.0
שלומ,Psalms,Psalms 128:6,1,932405,4,שלומ,0.39514378,0.0,false,0.0
משיח,Psalms,Psalms 132:10,1,933259,4,משיח,0.2997021,0.0,false,0.0
ברית,Psalms,Psalms 132:12,1,933318,4,ברית,0.30209184,0.0,false,0.0
משיח,Psalms,Psalms 132:17,1,933484,4,משיח,0.34745705,0.0,false,0.0
שלומ,Psalms,Psalms 147:14,1,939939,4,שלומ,0.34608692,0.0,false,0.0
שלומ,Psalms,Psalms 7:15,-2,864310,4,שלומ,0.38628966,0.0,false,0.0
שלומ,Psalms,Psalms 8:7,2,864608,4,שלומ,0.37504542,0.0,false,0.0
שלומ,Psalms,Psalms 71:1,2,897726,4,שלומ,0.38806587,0.0,false,0.0
ברית,Psalms,Psalms 88:5,2,908522,4,ברית,0.28530493,0.0,false,0.0
משיח,Psalms,Psalms 104:18,2,917236,4,משיח,0.3107559,0.0,false,0.0
ברית,Psalms,Psalms 13:5,-3,866747,4,ברית,0.25762835,0.0,false,0.0
שלומ,Psalms,Psalms 76:2,3,901122,4,שלומ,0.38758236,0.0,false,0.0
שלומ,Psalms,Psalms 98:7,-3,914249,4,שלומ,0.4078831,0.0,false,0.0
ברית,Psalms,Psalms 104:9,-3,916922,4,ברית,0.34655762,0.0,false,0.0
שלומ,Psalms,Psalms 121:4,3,930828,4,שלומ,0.40199316,0.0,false,0.0
שלומ,Psalms,Psalms 146:7,3,939396,4,שלומ,0.42067903,0.0,false,0.0
משיח,Psalms,Psalms 105:23,-4,918360,4,משיח,0.3194483,0.0,false,0.0
ברית,Psalms,Psalms 51:2,-5,887604,4,ברית,0.34079528,0.0,false,0.0
שלומ,Psalms,Psalms 89:6,5,909125,4,שלומ,0.3994893,0.0,false,0.0
ברית,Psalms,Psalms 101:5,-5,915014,4,ברית,0.30820137,0.0,false,0.0
משיח,Psalms,Psalms 105:39,-5,918764,4,משיח,0.29661083,0.0,false,0.0
ברית,Psalms,Psalms 78:5,-7,902282,4,ברית,0.30448687,0.0,false,0.0
שלומ,Psalms,Psalms 90:13,-7,910934,4,שלומ,0.36782217,0.0,false,0.0
שלומ,Psalms,Psalms 105:2,-7,917801,4,שלומ,0.40064317,0.0,false,0.0
שלומ,Psalms,Psalms 145:13,-9,938939,4,שלומ,0.38402814,0.0,false,0.0
משיח,Psalms,Psalms 31:7,-10,875514,4,משיח,0.29210886,0.0,false,0.0
שלומ,Psalms,Psalms 78:41,10,903420,4,שלומ,0.4135173,0.0,false,0.0
שלומ,Psalms,Psalms 113:5,10,923900,4,שלומ,0.4287805,0.0,false,0.0
שלומ,Psalms,Psalms 111:9,13,923390,4,שלומ,0.39430225,0.0,false,0.0
שלומ,Psalms,Psalms 125:5,-13,931797,4,שלומ,0.41220105,0.0,false,0.0
שלומ,Psalms,Psalms 113:4,-14,923870,4,שלומ,0.39380348,0.0,false,0.0
שלומ,Psalms,Psalms 68:5,-15,895184,4,שלומ,0.36059016,0.0,false,0.0
ברית,Psalms,Psalms 74:17,-15,900524,4,ברית,0.31337273,0.0,false,0.0
ברית,Psalms,Psalms 89:4,-15,909074,4,ברית,0.328317,0.0,false,0.0
שלומ,Psalms,Psalms 59:10,-16,891512,4,שלומ,0.3371836,0.0,false,0.0
שלומ,Psalms,Psalms 66:2,-21,894197,4,שלומ,0.42294446,0.0,false,0.0
שלומ,Psalms,Psalms 74:2,26,900068,4,שלומ,0.3767074,0.0,false,0.0
ברית,Psalms,Psalms 104:12,-27,917015,4,ברית,0.31528968,0.0,false,0.0
שלומ,Psalms,Psalms 18:49,28,869736,4,שלומ,0.45322782,0.0,false,0.0
משיח,Psalms,Psalms 78:42,-29,903449,4,משיח,0.30068356,0.0,false,0.0
שלומ,Psalms,Psalms 136:7,29,934554,4,שלומ,0.39980915,0.0,false,0.0
שלומ,Psalms,Psalms 102:5,30,915300,4,שלומ,0.36304635,0.0,false,0.0
שלומ,Psalms,Psalms 52:11,-31,888540,4,שלומ,0.40204954,0.0,false,0.0
שלומ,Psalms,Psalms 86:17,-33,908147,4,שלומ,0.33548754,0.0,false,0.0
משיח,Psalms,Psalms 89:46,-33,910292,4,משיח,0.24910396,0.0,false,0.0
שלומ,Psalms,Psalms 18:38,54,869400,4,שלומ,0.3767843,0.0,false,0.0
שלומ,Psalms,Psalms 29:9,-57,874826,4,שלומ,0.3381451,0.0,false,0.0
שלומ,Psalms,Psalms 49:16,58,886704,4,שלומ,0.3414154,0.0,false,0.0
ברית,Psalms,Psalms 49:3,59,886298,4,ברית,0.34869957,0.0,false,0.0
שלומ,Psalms,Psalms 135:21,60,934380,4,שלומ,0.34904602,0.0,false,0.0
ברית,Psalms,Psalms 37:7,-78,879446,4,ברית,0.32508057,0.0,false,0.0
ברית,Psalms,Psalms 119:133,-81,929435,4,ברית,0.33844116,0.0,false,0.0
ברית,Psalms,Psalms 5:8,-85,863249,4,ברית,0.29566288,0.0,false,0.0
ברית,Psalms,Psalms 72:10,-87,898838,4,ברית,0.3022173,0.0,false,0.0
שלומ,Psalms,Psalms 145:19,89,939128,4,שלומ,0.38536403,0.0,false,0.0
שלומ,Psalms,Psalms 67:5,92,894884,4,שלומ,0.41478705,0.0,false,0.0
ברית,Psalms,Psalms 94:19,-98,912684,4,ברית,0.34762412,0.0,false,0.0
משיח,Psalms,Psalms 106:5,112,919072,4,משיח,0.25183958,0.0,false,0.0
ברית,Psalms,Psalms 8:3,130,864500,4,ברית,0.30361667,0.0,false,0.0
ברית,Psalms,Psalms 58:10,131,891062,4,ברית,0.33096725,0.0,false,0.0
שלומ,Psalms,Psalms 98:1,-133,914042,4,שלומ,0.34878927,0.0,false,0.0
משיח,Psalms,Psalms 121:8,165,930930,4,משיח,0.2901617,0.0,false,0.0
ברית,Psalms,Psalms 79:3,-179,904464,4,ברית,0.3239611,0.0,false,0.0
שלומ,Psalms,Psalms 69:21,200,897000,4,שלומ,0.40198871,0.0,false,0.0
שלומ,Psalms,Psalms 77:6,-233,901620,4,שלומ,0.45404258,0.0,false,0.0
ברית,Psalms,Psalms 37:27,245,880040,4,ברית,0.29128194,0.0,false,0.0
ברית,Psalms,Psalms 94:22,-256,912776,4,ברית,0.31621036,0.0,false,0.0
משיח,Psalms,Psalms 62:7,259,892773,4,משיח,0.26814985,0.0,false,0.0
ברית,Psalms,Psalms 135:20,343,934332,4,ברית,0.31196564,0.0,false,0.0
משיח,Psalms,Psalms 136:15,429,934791,4,משיח,0.2730263,0.0,false,0.0
ברית,Psalms,Psalms 92:15,466,911962,4,ברית,0.3014591,0.0,false,0.0
ברית,Psalms,Psalms 106:25,502,919664,4,ברית,0.32417458,0.0,false,0.0
ברית,Psalms,Psalms 68:8,553,895307,4,ברית,0.27364618,0.0,false,0.0
משיח,Psalms,Psalms 78:49,580,903640,4,משיח,0.29535392,0.0,false,0.0
שלומ,Psalms,Psalms 135:8,697,933980,4,שלומ,0.41531205,0.0,false,0.0
שלומ,Psalms,Psalms 74:14,-786,900428,4,שלומ,0.41774672,0.0,false,0.0
שלומ,Psalms,Psalms 109:10,809,922260,4,שלומ,0.4118423,0.0,false,0.0
משיח,Psalms,Psalms 49:2,-893,886245,4,משיח,0.25789183,0.0,false,0.0
