word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
NAIL,Acts,Acts 10:1,-1,1573332,4,NAIL,0.0,0.0,false,0.0
NAIL,Colossians,Colossians 2:14,1,1783115,4,NAIL,0.0,0.0,false,0.0
מסמר,Daniel,Daniel 8:10,-1,1056754,4,מסמר,0.0,0.0,false,0.0
NAIL,Hebrews,Hebrews 11:34,-1,1846558,4,NAIL,0.0,0.0,false,0.0
מסמר,I Chronicles,I Chronicles 22:3,1,1135506,4,מסמר,0.0,0.0,false,0.0
מסמר,II Chronicles,II Chronicles 3:9,1,1150521,4,מסמר,0.0,0.0,false,0.0
מסמר,Isaiah,Isaiah 16:4,-1,592692,4,מסמר,0.0,0.0,false,0.0
מסמר,Isaiah,Isaiah 28:19,-1,603121,4,מסמר,0.0,0.0,false,0.0
מסמר,Isaiah,Isaiah 41:7,1,617764,4,מסמר,0.0,0.0,false,0.0
מסמר,Isaiah,Isaiah 63:3,-1,639905,4,מסמר,0.0,0.0,false,0.0
מסמר,Jeremiah,Jeremiah 10:4,1,658948,4,מסמר,0.0,0.0,false,0.0
מסמר,Job,Job 6:14,1,972507,4,מסמר,0.0,0.0,false,0.0
NAIL,John,John 20:25,1,1536845,4,NAIL,0.0,0.0,false,0.0
NAIL,John,John 20:25,1,1536881,4,NAIL,0.0,0.0,false,0.0
NAIL,Romans,Romans 16:15,-1,1680131,4,NAIL,0.0,0.0,false,0.0
מסמר,Isaiah,Isaiah 28:16,-2,602996,4,מסמר,0.0,0.0,false,0.0
מסמר,Proverbs,Proverbs 15:32,-2,953526,4,מסמר,0.0,0.0,false,0.0
NAIL,Colossians,Colossians 2:19,-3,1783508,4,NAIL,0.0,0.0,false,0.0
מסמר,Exodus,Exodus 41:91,-3,99107,4,מסמר,0.0,0.0,false,0.0
מסמר,II Chronicles,II Chronicles 9:28,3,1160775,4,מסמר,0.0,0.0,false,0.0
מסמר,Judges,Judges 18:14,-3,376067,4,מסמר,0.0,0.0,false,0.0
NAIL,Luke,Luke 15:13,-3,1427402,4,NAIL,0.0,0.0,false,0.0
מסמר,Numbers,Numbers 92:33,3,238146,4,מסמר,0.0,0.0,false,0.0
מסמר,Exodus,Exodus 71:1,-4,103212,4,מסמר,0.0,0.0,false,0.0
מסמר,Ezekiel,Ezekiel 20:28,4,756816,4,מסמר,0.0,0.0,false,0.0
NAIL,Hebrews,Hebrews 13:4,4,1850392,4,NAIL,0.0,0.0,false,0.0
מסמר,Hosea,Hosea 9:6,-4,810736,4,מסמר,0.0,0.0,false,0.0
מסמר,I Samuel,I Samuel 6:18,4,392360,4,מסמר,0.0,0.0,false,0.0
מסמר,II Chronicles,II Chronicles 15:16,4,1167724,4,מסמר,0.0,0.0,false,0.0
מסמר,Jeremiah,Jeremiah 50:45,4,723936,4,מסמר,0.0,0.0,false,0.0
NAIL,John,John 4:13,-4,1475152,4,NAIL,0.0,0.0,false,0.0
NAIL,Matthew,Matthew 24:34,4,1280236,4,NAIL,0.0,0.0,false,0.0
NAIL,Revelation,Revelation 1:13,-4,1895908,4,NAIL,0.0,0.0,false,0.0
NAIL,Revelation,Revelation 3:3,4,1900396,4,NAIL,0.0,0.0,false,0.0
מסמר,Judges,Judges 6:38,5,355730,4,מסמר,0.0,0.0,false,0.0
NAIL,Luke,Luke 11:36,-5,1412179,4,NAIL,0.0,0.0,false,0.0
