word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אריה,Amos,Amos 3:4,1,820122,4,אריה,0.2615393,50.944035,true,-4.928781
אריה,Amos,Amos 3:8,1,820309,4,אריה,0.25539076,50.944035,true,-5.062592
אריה,Daniel,Daniel 1:10,-1,1040078,4,אריה,0.27758974,50.944035,true,-4.5794744
אריה,Daniel,Daniel 2:22,-1,1042085,4,אריה,0.20104773,50.944035,true,-6.245263
אריה,Daniel,Daniel 7:4,1,1054119,4,אריה,0.28180897,50.944035,true,-4.487651
אריה,Deuteronomy,Deuteronomy 7:91,-1,263769,4,אריה,0.24846828,50.944035,true,-5.213247
נהמה,Deuteronomy,Deuteronomy 41:21,-1,274359,4,נהמה,0.43084165,50.944035,true,-1.2442429
אריה,Deuteronomy,Deuteronomy 61:61,-1,277420,4,אריה,0.22369292,50.944035,true,-5.7524343
אריה,Deuteronomy,Deuteronomy 2:8,-1,281924,4,אריה,0.23615076,50.944035,true,-5.4813137
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,50.944035,true,-4.935842
אריה,Deuteronomy,Deuteronomy 33:22,1,303822,4,אריה,0.29297018,50.944035,true,-4.244749
אריה,Ecclesiastes,Ecclesiastes 9:2,-1,1024219,4,אריה,0.24650252,50.944035,true,-5.2560277
אריה,Ecclesiastes,Ecclesiastes 9:4,1,1024349,4,אריה,0.23355365,50.944035,true,-5.5378346
אריה,Ecclesiastes,Ecclesiastes 12:5,-1,1026742,4,אריה,0.2714852,50.944035,true,-4.7123275
אריה,Exodus,Exodus 7:91,1,87337,4,אריה,0.21453184,50.944035,true,-5.9518075
אריה,Exodus,Exodus 9:2,-1,90661,4,אריה,0.1966041,50.944035,true,-6.34197
אריה,Exodus,Exodus 2:71,-1,107798,4,אריה,0.22687481,50.944035,true,-5.6831865
אריה,Exodus,Exodus 32:71,-1,111662,4,אריה,0.27895558,50.944035,true,-4.5497494
אריה,Exodus,Exodus 43:32,-1,130250,4,אריה,0.24283518,50.944035,true,-5.33584
אריה,Exodus,Exodus 93:82,1,139195,4,אריה,0.26950222,50.944035,true,-4.7554836
אריה,Ezekiel,Ezekiel 1:10,1,730274,4,אריה,0.23703942,50.944035,true,-5.4619737
אריה,Ezekiel,Ezekiel 10:14,1,740926,4,אריה,0.24006104,50.944035,true,-5.396214
נהמה,Ezekiel,Ezekiel 11:4,-1,741616,4,נהמה,0.43944365,50.944035,true,-1.0570371
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,50.944035,true,-4.4706125
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,50.944035,true,-4.210238
נהמה,Ezekiel,Ezekiel 27:10,-1,768242,4,נהמה,0.35389754,50.944035,true,-2.9187827
אריה,Ezekiel,Ezekiel 33:3,-1,776910,4,אריה,0.2521661,50.944035,true,-5.132771
נהמה,Ezekiel,Ezekiel 34:20,-1,779941,4,נהמה,0.38379425,50.944035,true,-2.2681386
נהמה,Ezekiel,Ezekiel 42:5,1,793603,4,נהמה,0.38796934,50.944035,true,-2.177276
נהמה,Ezekiel,Ezekiel 42:9,1,793849,4,נהמה,0.39486274,50.944035,true,-2.0272543
נהמה,Ezra,Ezra 9:10,-1,1077647,4,נהמה,0.35812375,50.944035,true,-2.8268075
אריה,Genesis,Genesis 1:1,-1,11897,4,אריה,0.33030987,50.944035,true,-3.4321227
אריה,Genesis,Genesis 22:41,-1,27845,4,אריה,0.23886998,50.944035,true,-5.422135
אריה,Genesis,Genesis 22:41,-1,27867,4,אריה,0.23886998,50.944035,true,-5.422135
נהמה,Genesis,Genesis 42:31,-1,30027,4,נהמה,0.4000277,50.944035,true,-1.9148492
אריה,Genesis,Genesis 62:43,1,36186,4,אריה,0.26810893,50.944035,true,-4.7858057
אריה,Genesis,Genesis 14:33,-1,61687,4,אריה,0.23709552,50.944035,true,-5.460753
נהמה,Genesis,Genesis 34:1,-1,65546,4,נהמה,0.40808308,50.944035,true,-1.7395393
נהמה,Genesis,Genesis 44:61,-1,67784,4,נהמה,0.41286975,50.944035,true,-1.6353666
אריה,Genesis,Genesis 94:9,1,75577,4,אריה,0.25740716,50.944035,true,-5.018709
אריה,Genesis,Genesis 94:9,1,75604,4,אריה,0.25740716,50.944035,true,-5.018709
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,50.944035,true,-5.5846605
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,50.944035,true,-5.148949
אריה,Hosea,Hosea 11:10,1,812538,4,אריה,0.27747864,50.944035,true,-4.5818925
נהמה,I Chronicles,I Chronicles 5:23,1,1110532,4,נהמה,0.36693949,50.944035,true,-2.63495
נהמה,I Chronicles,I Chronicles 8:13,1,1116087,4,נהמה,0.39675772,50.944035,true,-1.9860138
נהמה,I Chronicles,I Chronicles 8:32,-1,1116508,4,נהמה,0.3480884,50.944035,true,-3.045207
אריה,I Chronicles,I Chronicles 12:9,1,1122393,4,אריה,0.30547145,50.944035,true,-3.972683
אריה,I Kings,I Kings 13:24,1,508502,4,אריה,0.18933032,50.944035,true,-6.50027
אריה,I Kings,I Kings 13:24,1,508550,4,אריה,0.18933032,50.944035,true,-6.50027
אריה,I Kings,I Kings 13:25,1,508604,4,אריה,0.16304468,50.944035,true,-7.072326
אריה,I Kings,I Kings 13:26,1,508717,4,אריה,0.18260702,50.944035,true,-6.6465893
אריה,I Kings,I Kings 13:28,1,508816,4,אריה,0.21909894,50.944035,true,-5.8524137
אריה,I Kings,I Kings 13:28,1,508839,4,אריה,0.21909894,50.944035,true,-5.8524137
נהמה,I Kings,I Kings 17:4,-1,515526,4,נהמה,0.40306777,50.944035,true,-1.8486879
אריה,I Kings,I Kings 18:3,-1,516850,4,אריה,0.2522836,50.944035,true,-5.1302133
אריה,I Kings,I Kings 20:36,1,523492,4,אריה,0.24664718,50.944035,true,-5.252879
אריה,I Kings,I Kings 20:36,1,523513,4,אריה,0.24664718,50.944035,true,-5.252879
נהמה,I Samuel,I Samuel 8:8,1,394286,4,נהמה,0.3918214,50.944035,true,-2.093443
אריה,I Samuel,I Samuel 16:7,-1,408582,4,אריה,0.25609934,50.944035,true,-5.047171
אריה,I Samuel,I Samuel 23:3,-1,421787,4,אריה,0.23650381,50.944035,true,-5.47363
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,50.944035,true,-5.1984363
נהמה,II Chronicles,II Chronicles 18:5,-1,1170222,4,נהמה,0.4257188,50.944035,true,-1.3557316
נהמה,II Chronicles,II Chronicles 20:16,-1,1173843,4,נהמה,0.41882002,50.944035,true,-1.5058705
נהמה,II Chronicles,II Chronicles 23:3,-1,1177782,4,נהמה,0.3560601,50.944035,true,-2.8717191
נהמה,II Chronicles,II Chronicles 28:9,-1,1185672,4,נהמה,0.4086172,50.944035,true,-1.7279152
נהמה,II Kings,II Kings 2:24,1,531972,4,נהמה,0.4055013,50.944035,true,-1.7957265
אריה,II Kings,II Kings 4:1,-1,533777,4,אריה,0.2210747,50.944035,true,-5.809415
אריה,II Kings,II Kings 15:25,1,556568,4,אריה,0.2736961,50.944035,true,-4.664212
אריה,II Kings,II Kings 17:41,-1,561507,4,אריה,0.24258015,50.944035,true,-5.3413906
נהמה,II Kings,II Kings 19:37,-1,566377,4,נהמה,0.35910702,50.944035,true,-2.8054085
נהמה,II Samuel,II Samuel 16:20,-1,462106,4,נהמה,0.31329626,50.944035,true,-3.802391
אריה,II Samuel,II Samuel 17:10,1,462892,4,אריה,0.24114014,50.944035,true,-5.3727293
אריה,II Samuel,II Samuel 20:26,1,471348,4,אריה,0.30273294,50.944035,true,-4.032281
אריה,II Samuel,II Samuel 23:20,1,475800,4,אריה,0.26464766,50.944035,true,-4.8611336
נהמה,Isaiah,Isaiah 5:26,1,582350,4,נהמה,0.37001818,50.944035,true,-2.567948
אריה,Isaiah,Isaiah 7:25,-1,584571,4,אריה,0.27898175,50.944035,true,-4.54918
אריה,Isaiah,Isaiah 11:7,1,588718,4,אריה,0.25457454,50.944035,true,-5.0803556
נהמה,Isaiah,Isaiah 13:2,-1,589600,4,נהמה,0.44393128,50.944035,true,-0.9593725
נהמה,Isaiah,Isaiah 13:9,-1,589890,4,נהמה,0.39843994,50.944035,true,-1.9494035
אריה,Isaiah,Isaiah 15:9,1,592493,4,אריה,0.2698864,50.944035,true,-4.747123
אריה,Isaiah,Isaiah 21:8,1,596465,4,אריה,0.23734662,50.944035,true,-5.455288
אריה,Isaiah,Isaiah 31:4,1,607066,4,אריה,0.27942753,50.944035,true,-4.5394783
נהמה,Isaiah,Isaiah 35:2,1,610240,4,נהמה,0.40439078,50.944035,true,-1.819895
אריה,Isaiah,Isaiah 35:2,-1,610246,4,אריה,0.31680608,50.944035,true,-3.7260067
אריה,Isaiah,Isaiah 35:9,1,610561,4,אריה,0.23899652,50.944035,true,-5.419381
נהמה,Isaiah,Isaiah 37:38,-1,614394,4,נהמה,0.3530138,50.944035,true,-2.9380152
נהמה,Isaiah,Isaiah 42:1,-1,618910,4,נהמה,0.39402065,50.944035,true,-2.0455809
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,50.944035,true,-4.250884
נהמה,Isaiah,Isaiah 46:1,-1,624383,4,נהמה,0.38299447,50.944035,true,-2.2855442
נהמה,Isaiah,Isaiah 59:11,1,636568,4,נהמה,0.39030978,50.944035,true,-2.1263406
אריה,Isaiah,Isaiah 65:25,1,642629,4,אריה,0.25837648,50.944035,true,-4.997614
אריה,Jeremiah,Jeremiah 2:30,1,646914,4,אריה,0.2299467,50.944035,true,-5.616333
נהמה,Jeremiah,Jeremiah 3:16,-1,648258,4,נהמה,0.34155917,50.944035,true,-3.1873035
אריה,Jeremiah,Jeremiah 4:7,1,649279,4,אריה,0.24710236,50.944035,true,-5.2429733
אריה,Jeremiah,Jeremiah 5:6,1,650865,4,אריה,0.23542413,50.944035,true,-5.497127
נהמה,Jeremiah,Jeremiah 5:18,-1,651546,4,נהמה,0.35950834,50.944035,true,-2.7966745
נהמה,Jeremiah,Jeremiah 6:29,-1,653783,4,נהמה,0.42897326,50.944035,true,-1.284905
נהמה,Jeremiah,Jeremiah 9:9,-1,657834,4,נהמה,0.43421805,50.944035,true,-1.1707622
אריה,Jeremiah,Jeremiah 12:8,1,661991,4,אריה,0.25431257,50.944035,true,-5.0860567
נהמה,Jeremiah,Jeremiah 14:16,-1,664921,4,נהמה,0.43524992,50.944035,true,-1.1483054
נהמה,Jeremiah,Jeremiah 14:16,-1,664978,4,נהמה,0.43524992,50.944035,true,-1.1483054
נהמה,Jeremiah,Jeremiah 20:3,1,672262,4,נהמה,0.34684473,50.944035,true,-3.0722735
נהמה,Jeremiah,Jeremiah 27:16,-1,684339,4,נהמה,0.37877342,50.944035,true,-2.3774073
נהמה,Jeremiah,Jeremiah 32:43,-1,694617,4,נהמה,0.42304572,50.944035,true,-1.4139062
אריה,Jeremiah,Jeremiah 49:19,1,720052,4,אריה,0.2713062,50.944035,true,-4.7162237
נהמה,Jeremiah,Jeremiah 50:3,-1,721506,4,נהמה,0.38386625,50.944035,true,-2.2665718
אריה,Jeremiah,Jeremiah 50:44,1,723784,4,אריה,0.24639282,50.944035,true,-5.258415
אריה,Job,Job 4:10,1,970975,4,אריה,0.29257903,50.944035,true,-4.2532616
נהמה,Job,Job 18:3,-1,980729,4,נהמה,0.42081746,50.944035,true,-1.4624
נהמה,Job,Job 21:27,-1,983627,4,נהמה,0.48317495,50.944035,true,-0.10530998
מבצע,Job,Job 22:3,1,983939,4,מבצע,0.18535022,50.944035,true,-6.586889
נהמה,Job,Job 23:5,1,984783,4,נהמה,0.43918273,50.944035,true,-1.0627155
אריה,Job,Job 41:26,-1,998974,4,אריה,0.2895591,50.944035,true,-4.3189845
