word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אסונ,Amos,Amos 5:19,-1,822531,4,אסונ,0.35941333,15.63405,true,-3.0366538
אסונ,Deuteronomy,Deuteronomy 91:5,-1,280567,4,אסונ,0.28734925,15.63405,true,-4.28312
אסונ,Ecclesiastes,Ecclesiastes 3:5,-1,1018576,4,אסונ,0.3217147,15.63405,true,-3.6887133
אסונ,Esther,Esther 4:16,-1,1032601,4,אסונ,0.41583598,15.63405,true,-2.0607314
אסונ,Exodus,Exodus 12:22,1,108968,4,אסונ,0.39385214,15.63405,true,-2.4409778
אסונ,Exodus,Exodus 12:32,1,109012,4,אסונ,0.3318352,15.63405,true,-3.5136626
שביט,Genesis,Genesis 4:7,-1,4479,4,שביט,0.27111742,15.63405,true,-4.563876
אסונ,Genesis,Genesis 24:4,1,63164,4,אסונ,0.38143477,15.63405,true,-2.6557567
אסונ,Genesis,Genesis 24:83,1,64999,4,אסונ,0.37559777,15.63405,true,-2.7567172
אסונ,Genesis,Genesis 44:92,1,68469,4,אסונ,0.3478928,15.63405,true,-3.2359202
אסונ,I Chronicles,I Chronicles 22:2,-1,1135441,4,אסונ,0.3436854,15.63405,true,-3.3086941
אסונ,Isaiah,Isaiah 31:7,1,607244,4,אסונ,0.36516923,15.63405,true,-2.937096
אסונ,Job,Job 11:20,-1,976404,4,אסונ,0.389334,15.63405,true,-2.5191267
אסונ,Job,Job 42:6,1,999149,4,אסונ,0.34582406,15.63405,true,-3.2717023
אסונ,Numbers,Numbers 53:23,-1,248887,4,אסונ,0.3206629,15.63405,true,-3.706906
אסונ,Proverbs,Proverbs 28:17,-1,964697,4,אסונ,0.37404847,15.63405,true,-2.783515
אסונ,Genesis,Genesis 34:22,-2,66284,4,אסונ,0.35863847,15.63405,true,-3.0500562
שביט,Nehemiah,Nehemiah 2:6,2,1081376,4,שביט,0.24107358,15.63405,true,-5.083534
שביט,Nehemiah,Nehemiah 7:20,2,1089362,4,שביט,0.32385218,15.63405,true,-3.651742
אסונ,Numbers,Numbers 4:8,-2,193030,4,אסונ,0.26222122,15.63405,true,-4.7177505
אסונ,Jeremiah,Jeremiah 31:28,-4,690944,4,אסונ,0.33181968,15.63405,true,-3.513931
שביט,Numbers,Numbers 53:51,-4,248060,4,שביט,0.24667868,15.63405,true,-4.986584
אסונ,Isaiah,Isaiah 3:18,-7,580394,4,אסונ,0.38284546,15.63405,true,-2.6313565
אסונ,Joshua,Joshua 19:13,8,334032,4,אסונ,0.30490857,15.63405,true,-3.9794028
שביט,Numbers,Numbers 63:6,8,249528,4,שביט,0.2549899,15.63405,true,-4.8428283
אסונ,II Samuel,II Samuel 2:21,9,438210,4,אסונ,0.32837847,15.63405,true,-3.5734525
אסונ,Isaiah,Isaiah 49:5,16,627088,4,אסונ,0.31839067,15.63405,true,-3.746208
שביט,Exodus,Exodus 42:4,20,112660,4,שביט,0.27181378,15.63405,true,-4.5518317
שביט,II Kings,II Kings 11:2,20,548840,4,שביט,0.30220932,15.63405,true,-4.0260906
אסונ,Ezekiel,Ezekiel 28:26,-21,770885,4,אסונ,0.31514296,15.63405,true,-3.8023822
אסונ,Joshua,Joshua 4:6,-26,309110,4,אסונ,0.35293782,15.63405,true,-3.1486583
שביט,II Kings,II Kings 14:23,31,554683,4,שביט,0.2804315,15.63405,true,-4.402774
אסונ,Numbers,Numbers 9:31,32,204512,4,אסונ,0.2748214,15.63405,true,-4.4998097
שביט,II Kings,II Kings 21:19,-33,569006,4,שביט,0.24380866,15.63405,true,-5.036226
אסונ,Numbers,Numbers 33:4,42,245406,4,אסונ,0.34136054,15.63405,true,-3.3489063
אסונ,Daniel,Daniel 3:10,52,1044836,4,אסונ,0.42349383,15.63405,true,-1.9282763
שביט,Ecclesiastes,Ecclesiastes 12:2,-53,1026612,4,שביט,0.26293707,15.63405,true,-4.7053685
אסונ,II Samuel,II Samuel 23:11,61,475190,4,אסונ,0.29356387,15.63405,true,-4.175628
שביט,Genesis,Genesis 72:11,68,36720,4,שביט,0.22720054,15.63405,true,-5.3234906
אסונ,I Samuel,I Samuel 17:45,78,412230,4,אסונ,0.29128507,15.63405,true,-4.2150435
אסונ,Ecclesiastes,Ecclesiastes 4:10,-93,1019918,4,אסונ,0.30611062,15.63405,true,-3.9586115
אסונ,Deuteronomy,Deuteronomy 2:3,102,254082,4,אסונ,0.3171667,15.63405,true,-3.7673786
שביט,Isaiah,Isaiah 3:12,109,580098,4,שביט,0.27074292,15.63405,true,-4.5703535
אסונ,Daniel,Daniel 1:10,111,1040070,4,אסונ,0.33817855,15.63405,true,-3.403944
שביט,Job,Job 27:14,-120,986864,4,שביט,0.31165782,15.63405,true,-3.8626635
שביט,II Kings,II Kings 13:8,-122,552108,4,שביט,0.24390055,15.63405,true,-5.0346365
אסונ,Zechariah,Zechariah 6:6,-124,850100,4,אסונ,0.32953805,15.63405,true,-3.5533957
אסונ,Job,Job 31:31,-126,990356,4,אסונ,0.4007668,15.63405,true,-2.3213778
שביט,Exodus,Exodus 82:5,156,118560,4,שביט,0.25738025,15.63405,true,-4.801483
אסונ,Exodus,Exodus 53:51,-163,131571,4,אסונ,0.27546945,15.63405,true,-4.4886007
שביט,Jonah,Jonah 4:11,-167,830110,4,שביט,0.25825718,15.63405,true,-4.786315
שביט,I Chronicles,I Chronicles 2:15,171,1105002,4,שביט,0.30450392,15.63405,true,-3.986402
אסונ,Genesis,Genesis 4:32,175,5250,4,אסונ,0.38547707,15.63405,true,-2.5858386
אסונ,Isaiah,Isaiah 51:22,-214,630202,4,אסונ,0.39149675,15.63405,true,-2.4817183
אסונ,I Chronicles,I Chronicles 23:22,227,1137497,4,אסונ,0.29227445,15.63405,true,-4.197931
שביט,II Chronicles,II Chronicles 21:9,269,1175799,4,שביט,0.23997365,15.63405,true,-5.1025586
אסונ,Leviticus,Leviticus 52:54,284,181760,4,אסונ,0.34506124,15.63405,true,-3.2848966
אסונ,Proverbs,Proverbs 11:2,292,949292,4,אסונ,0.44551736,15.63405,true,-1.5473434
שביט,Proverbs,Proverbs 17:9,308,954800,4,שביט,0.26669672,15.63405,true,-4.6403394
שביט,Psalms,Psalms 5:12,-324,863420,4,שביט,0.2701726,15.63405,true,-4.5802183
שביט,Deuteronomy,Deuteronomy 42:91,-353,287800,4,שביט,0.25971416,15.63405,true,-4.761114
