word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
מרז,Amos,Amos 6:7,1,823182,3,מרז,0.4003418,55.449085,true,-1.3944268
קרני,Amos,Amos 6:13,1,823527,4,קרני,0.2990782,55.449085,true,-2.6647964
מודי,Daniel,Daniel 5:19,1,1051014,4,מודי,0.29224512,55.449085,true,-2.7505186
קרני,Daniel,Daniel 7:7,1,1054499,4,קרני,0.30855763,55.449085,true,-2.5458753
קרני,Daniel,Daniel 7:8,1,1054519,4,קרני,0.2923179,55.449085,true,-2.7496057
קרני,Daniel,Daniel 7:8,1,1054563,4,קרני,0.2923179,55.449085,true,-2.7496057
קרני,Daniel,Daniel 7:20,1,1055401,4,קרני,0.28676265,55.449085,true,-2.819297
קרני,Daniel,Daniel 7:24,1,1055678,4,קרני,0.2098417,55.449085,true,-3.7842839
קרני,Daniel,Daniel 8:3,1,1056215,4,קרני,0.21856238,55.449085,true,-3.6748815
קרני,Daniel,Daniel 8:3,1,1056222,4,קרני,0.21856238,55.449085,true,-3.6748815
קרני,Daniel,Daniel 8:6,1,1056431,4,קרני,0.2778359,55.449085,true,-2.9312847
קרני,Daniel,Daniel 8:7,1,1056518,4,קרני,0.22931567,55.449085,true,-3.5399795
מודי,Daniel,Daniel 8:19,1,1057173,4,מודי,0.27908635,55.449085,true,-2.9155977
קרני,Daniel,Daniel 8:20,1,1057222,4,קרני,0.25804204,55.449085,true,-3.1796021
מרז,Daniel,Daniel 11:34,-1,1062830,3,מרז,0.347086,55.449085,true,-2.06253
נתניהו,Deuteronomy,Deuteronomy 1:12,1,251074,6,נתניהו,0.2800063,55.449085,true,-2.9040568
מודי,Deuteronomy,Deuteronomy 2:21,-1,253128,4,מודי,0.26017153,55.449085,true,-3.1528873
נתניהו,Deuteronomy,Deuteronomy 2:21,1,253168,6,נתניהו,0.2832674,55.449085,true,-2.8631456
נתניהו,Deuteronomy,Deuteronomy 2:63,1,254441,6,נתניהו,0.32494646,55.449085,true,-2.3402746
נתניהו,Deuteronomy,Deuteronomy 9:11,1,266132,6,נתניהו,0.27964485,55.449085,true,-2.9085913
נתניהו,Deuteronomy,Deuteronomy 21:1,1,270561,6,נתניהו,0.28822932,55.449085,true,-2.8008976
נתניהו,Deuteronomy,Deuteronomy 21:12,1,271927,6,נתניהו,0.32418,55.449085,true,-2.34989
נתניהו,Deuteronomy,Deuteronomy 2:41,1,282225,6,נתניהו,0.2791224,55.449085,true,-2.9151452
נתניהו,Deuteronomy,Deuteronomy 82:25,1,294186,6,נתניהו,0.30927047,55.449085,true,-2.5369327
נתניהו,Deuteronomy,Deuteronomy 82:56,1,295049,6,נתניהו,0.28522217,55.449085,true,-2.8386226
נתניהו,Deuteronomy,Deuteronomy 92:3,1,295483,6,נתניהו,0.29253128,55.449085,true,-2.7469287
נתניהו,Deuteronomy,Deuteronomy 3:7,1,297446,6,נתניהו,0.30961964,55.449085,true,-2.5325522
מרז,Deuteronomy,Deuteronomy 33:7,-1,303110,3,מרז,0.3702591,55.449085,true,-1.7718196
קרני,Deuteronomy,Deuteronomy 33:71,1,303563,4,קרני,0.2674951,55.449085,true,-3.061012
קרני,Deuteronomy,Deuteronomy 33:71,1,303570,4,קרני,0.2674951,55.449085,true,-3.061012
קרני,Ecclesiastes,Ecclesiastes 2:15,1,1017807,4,קרני,0.16627027,55.449085,true,-4.330895
מודי,Ecclesiastes,Ecclesiastes 5:13,-1,1020899,4,מודי,0.29155195,55.449085,true,-2.7592146
מודי,Esther,Esther 1:6,1,1027572,4,מודי,0.30275083,55.449085,true,-2.6187227
מודי,Exodus,Exodus 4:6,-1,82149,4,מודי,0.28740853,55.449085,true,-2.8111944
נתניהו,Exodus,Exodus 61:51,1,102090,6,נתניהו,0.32902205,55.449085,true,-2.2891457
מודי,Exodus,Exodus 12:61,-1,108724,4,מודי,0.3084001,55.449085,true,-2.5478516
מרז,Exodus,Exodus 62:13,-1,116812,3,מרז,0.34007224,55.449085,true,-2.150519
מודי,Exodus,Exodus 62:23,1,116847,4,מודי,0.2704369,55.449085,true,-3.0241063
מרז,Exodus,Exodus 62:63,-1,117111,3,מרז,0.32518214,55.449085,true,-2.337318
מודי,Exodus,Exodus 62:73,1,117132,4,מודי,0.32460314,55.449085,true,-2.3445816
מרז,Exodus,Exodus 72:9,-1,117611,3,מרז,0.30360055,55.449085,true,-2.6080627
מרז,Exodus,Exodus 72:61,-1,117953,3,מרז,0.37574273,55.449085,true,-1.7030265
מודי,Exodus,Exodus 72:71,1,117986,4,מודי,0.27308,55.449085,true,-2.9909484
מרז,Exodus,Exodus 82:6,-1,118607,3,מרז,0.30124247,55.449085,true,-2.6376452
מרז,Exodus,Exodus 53:4,1,131157,3,מרז,0.35935804,55.449085,true,-1.9085753
נתניהו,Exodus,Exodus 63:1,1,132703,6,נתניהו,0.27483475,55.449085,true,-2.9689348
נתניהו,Exodus,Exodus 63:2,1,132802,6,נתניהו,0.29732338,55.449085,true,-2.686811
מרז,Exodus,Exodus 63:53,-1,134572,3,מרז,0.35450858,55.449085,true,-1.9694127
מודי,Exodus,Exodus 63:63,1,134602,4,מודי,0.28239346,55.449085,true,-2.8741095
מרז,Exodus,Exodus 63:73,-1,134686,3,מרז,0.37045908,55.449085,true,-1.7693108
מודי,Exodus,Exodus 63:83,1,134697,4,מודי,0.33380938,55.449085,true,-2.2290878
מרז,Exodus,Exodus 83:9,-1,136592,3,מרז,0.32751817,55.449085,true,-2.308012
מודי,Exodus,Exodus 83:1,1,136600,4,מודי,0.31558648,55.449085,true,-2.4576972
מודי,Exodus,Exodus 83:1,1,136632,4,מודי,0.31558648,55.449085,true,-2.4576972
