word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
שלוה,Daniel,Daniel 3:29,-1,1046588,4,שלוה,0.38045874,88.08607,true,-4.82382
שלוה,Daniel,Daniel 8:25,1,1057476,4,שלוה,0.30825013,88.08607,true,-6.826198
שלומ,Daniel,Daniel 10:19,1,1060763,4,שלומ,0.33218247,88.08607,true,-6.1625433
שלוה,Daniel,Daniel 11:21,1,1062150,4,שלוה,0.2926225,88.08607,true,-7.259559
שלוה,Daniel,Daniel 11:24,1,1062249,4,שלוה,0.31694993,88.08607,true,-6.5849485
שלומ,Deuteronomy,Deuteronomy 2:62,1,253901,4,שלומ,0.3898695,88.08607,true,-4.5628552
שלומ,Deuteronomy,Deuteronomy 5:11,-1,259982,4,שלומ,0.3437608,88.08607,true,-5.841471
שלומ,Deuteronomy,Deuteronomy 71:3,-1,277944,4,שלומ,0.33718738,88.08607,true,-6.0237546
שלומ,Deuteronomy,Deuteronomy 91:6,-1,280667,4,שלומ,0.37166488,88.08607,true,-5.067678
שלומ,Deuteronomy,Deuteronomy 2:1,1,282037,4,שלומ,0.3593351,88.08607,true,-5.4095883
שלומ,Deuteronomy,Deuteronomy 2:11,1,282047,4,שלומ,0.40905285,88.08607,true,-4.0308924
שלוה,Deuteronomy,Deuteronomy 62:91,-1,290244,4,שלוה,0.34855872,88.08607,true,-5.708422
שלומ,Deuteronomy,Deuteronomy 82:86,-1,295270,4,שלומ,0.3336241,88.08607,true,-6.122566
שלומ,Deuteronomy,Deuteronomy 92:81,1,296359,4,שלומ,0.32450074,88.08607,true,-6.375561
שלומ,Ecclesiastes,Ecclesiastes 3:8,1,1018680,4,שלומ,0.33336163,88.08607,true,-6.1298447
שלומ,Esther,Esther 2:11,1,1029505,4,שלומ,0.36290705,88.08607,true,-5.3105364
שלומ,Esther,Esther 7:4,-1,1034984,4,שלומ,0.38414526,88.08607,true,-4.7215915
שלומ,Esther,Esther 9:30,1,1039075,4,שלומ,0.3468509,88.08607,true,-5.7557807
שלומ,Esther,Esther 10:3,1,1039394,4,שלומ,0.33782864,88.08607,true,-6.0059724
שלומ,Exodus,Exodus 4:81,1,82873,4,שלומ,0.3184771,88.08607,true,-6.5425997
שלומ,Exodus,Exodus 5:7,-1,83909,4,שלומ,0.38205776,88.08607,true,-4.7794785
שלומ,Exodus,Exodus 5:8,-1,83957,4,שלומ,0.37082726,88.08607,true,-5.0909057
שלומ,Exodus,Exodus 5:41,-1,84298,4,שלומ,0.36782384,88.08607,true,-5.174192
שלוה,Exodus,Exodus 81:7,-1,104435,4,שלוה,0.34238797,88.08607,true,-5.87954
שלומ,Exodus,Exodus 81:7,1,104435,4,שלומ,0.33842593,88.08607,true,-5.989409
שלומ,Exodus,Exodus 81:32,1,105425,4,שלומ,0.39836067,88.08607,true,-4.3273916
שלומ,Exodus,Exodus 2:7,-1,107280,4,שלומ,0.35524765,88.08607,true,-5.5229354
שלומ,Exodus,Exodus 12:63,-1,109604,4,שלומ,0.33977887,88.08607,true,-5.9518914
הסכמ,Exodus,Exodus 62:41,-1,115989,4,הסכמ,0.42431596,88.08607,true,-3.6076396
הסכמ,Exodus,Exodus 62:41,-1,116011,4,הסכמ,0.42431596,88.08607,true,-3.6076396
שלוה,Exodus,Exodus 72:61,-1,117909,4,שלוה,0.3084187,88.08607,true,-6.8215237
הסכמ,Exodus,Exodus 92:31,-1,121157,4,הסכמ,0.31421104,88.08607,true,-6.660899
הסכמ,Exodus,Exodus 92:22,-1,121728,4,הסכמ,0.27342987,88.08607,true,-7.7917795
הסכמ,Exodus,Exodus 53:11,-1,131409,4,הסכמ,0.3376752,88.08607,true,-6.0102267
הסכמ,Exodus,Exodus 63:91,-1,133798,4,הסכמ,0.43173897,88.08607,true,-3.4017959
הסכמ,Exodus,Exodus 63:91,-1,133820,4,הסכמ,0.43173897,88.08607,true,-3.4017959
שלומ,Exodus,Exodus 73:21,1,135263,4,שלומ,0.31239837,88.08607,true,-6.711165
שלומ,Exodus,Exodus 93:41,-1,138520,4,שלומ,0.32380778,88.08607,true,-6.3947773
הסכמ,Exodus,Exodus 93:43,-1,139508,4,הסכמ,0.36047462,88.08607,true,-5.3779893
הסכמ,Exodus,Exodus 93:43,-1,139531,4,הסכמ,0.36047462,88.08607,true,-5.3779893
הסכמ,Exodus,Exodus 4:91,-1,140736,4,הסכמ,0.34218258,88.08607,true,-5.885236
שלומ,Ezekiel,Ezekiel 3:26,-1,733371,4,שלומ,0.39590102,88.08607,true,-4.3955984
שלומ,Ezekiel,Ezekiel 5:12,-1,735291,4,שלומ,0.36740908,88.08607,true,-5.1856933
שלומ,Ezekiel,Ezekiel 7:25,1,737857,4,שלומ,0.37292737,88.08607,true,-5.0326686
שלומ,Ezekiel,Ezekiel 13:10,1,744816,4,שלומ,0.36189532,88.08607,true,-5.338592
שלומ,Ezekiel,Ezekiel 13:10,1,744824,4,שלומ,0.36189532,88.08607,true,-5.338592
הסכמ,Ezekiel,Ezekiel 18:16,-1,753409,4,הסכמ,0.362632,88.08607,true,-5.318164
שלומ,Ezekiel,Ezekiel 34:25,1,780195,4,שלומ,0.3492506,88.08607,true,-5.6892357
שלומ,Ezekiel,Ezekiel 37:26,1,785372,4,שלומ,0.37195185,88.08607,true,-5.05972
שלוה,Ezekiel,Ezekiel 45:15,-1,799246,4,שלוה,0.343028,88.08607,true,-5.8617916
שלומ,Ezra,Ezra 2:42,1,1066133,4,שלומ,0.3436705,88.08607,true,-5.843975
שלומ,Ezra,Ezra 7:2,1,1073092,4,שלומ,0.3498025,88.08607,true,-5.673932
שלומ,Ezra,Ezra 8:10,1,1075142,4,שלומ,0.37948343,88.08607,true,-4.850866
שלומ,Ezra,Ezra 10:42,1,1080077,4,שלומ,0.39301085,88.08607,true,-4.4757442
שלוה,Genesis,Genesis 2:51,-1,2385,4,שלוה,0.30230218,88.08607,true,-6.991137
הסכמ,Genesis,Genesis 8:31,-1,9805,4,הסכמ,0.32400382,88.08607,true,-6.389341
שלומ,Genesis,Genesis 1:12,-1,12304,4,שלומ,0.34381962,88.08607,true,-5.83984
שלומ,Genesis,Genesis 51:51,1,18014,4,שלומ,0.32473993,88.08607,true,-6.368928
שלוה,Genesis,Genesis 81:41,-1,21156,4,שלוה,0.33461192,88.08607,true,-6.0951734
הסכמ,Genesis,Genesis 81:71,-1,21256,4,הסכמ,0.40824896,88.08607,true,-4.0531845
שלומ,Genesis,Genesis 22:21,1,27685,4,שלומ,0.31646076,88.08607,true,-6.5985136
שלומ,Genesis,Genesis 62:92,1,35959,4,שלומ,0.39595014,88.08607,true,-4.3942366
שלומ,Genesis,Genesis 62:13,1,36044,4,שלומ,0.40108696,88.08607,true,-4.2517905
שלומ,Genesis,Genesis 82:12,1,39731,4,שלומ,0.33212203,88.08607,true,-6.1642194
