word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
זהב,Daniel,Daniel 3:7,-1,1044635,3,זהב,0.2876323,69.985054,true,-4.193819
זהב,Daniel,Daniel 3:8,-1,1044762,3,זהב,0.28587264,69.985054,true,-4.229911
זהב,Daniel,Daniel 4:33,-1,1049228,3,זהב,0.24548458,69.985054,true,-5.058302
זהב,Daniel,Daniel 11:8,1,1061411,3,זהב,0.27299726,69.985054,true,-4.4939947
זהב,Daniel,Daniel 11:38,1,1063083,3,זהב,0.26899433,69.985054,true,-4.576098
זהב,Daniel,Daniel 11:43,1,1063356,3,זהב,0.2774129,69.985054,true,-4.4034266
זהב,Deuteronomy,Deuteronomy 1:1,1,249991,3,זהב,0.26110855,69.985054,true,-4.7378416
זהב,Deuteronomy,Deuteronomy 3:52,-1,256034,3,זהב,0.23463735,69.985054,true,-5.280787
זהב,Deuteronomy,Deuteronomy 7:52,1,264057,3,זהב,0.22150315,69.985054,true,-5.55018
זהב,Deuteronomy,Deuteronomy 8:31,1,264864,3,זהב,0.2877203,69.985054,true,-4.1920137
זהב,Deuteronomy,Deuteronomy 31:21,1,273385,3,זהב,0.24554431,69.985054,true,-5.0570765
זהב,Deuteronomy,Deuteronomy 41:4,-1,273972,3,זהב,0.35095632,69.985054,true,-2.8949926
שיבא,Deuteronomy,Deuteronomy 71:61,1,278793,4,שיבא,0.34774286,69.985054,true,-2.9609034
זהב,Deuteronomy,Deuteronomy 71:71,1,278880,3,זהב,0.25061202,69.985054,true,-4.953134
זהב,Deuteronomy,Deuteronomy 91:2,1,281405,3,זהב,0.24703446,69.985054,true,-5.0265126
שיבא,Deuteronomy,Deuteronomy 32:21,1,286082,4,שיבא,0.34781405,69.985054,true,-2.959443
זהב,Deuteronomy,Deuteronomy 92:61,1,296214,3,זהב,0.25357437,69.985054,true,-4.8923736
דדנ,Deuteronomy,Deuteronomy 43:1,1,304225,3,דדנ,0.32988012,69.985054,true,-3.3272824
זהב,Ecclesiastes,Ecclesiastes 2:8,1,1017360,3,זהב,0.26870352,69.985054,true,-4.5820627
זהב,Ecclesiastes,Ecclesiastes 10:1,-1,1025189,3,זהב,0.29253346,69.985054,true,-4.0932918
זהב,Ecclesiastes,Ecclesiastes 12:6,1,1026849,3,זהב,0.2747559,69.985054,true,-4.457924
זהב,Esther,Esther 1:6,1,1027582,3,זהב,0.27324474,69.985054,true,-4.488919
זהב,Esther,Esther 1:7,1,1027619,3,זהב,0.29077715,69.985054,true,-4.1293154
זהב,Esther,Esther 4:11,1,1032367,3,זהב,0.32558867,69.985054,true,-3.4153032
שיבא,Esther,Esther 4:13,1,1032441,4,שיבא,0.3193917,69.985054,true,-3.5424082
שיבא,Esther,Esther 4:15,1,1032585,4,שיבא,0.37446642,69.985054,true,-2.412782
זהב,Esther,Esther 5:2,1,1032916,3,זהב,0.29930913,69.985054,true,-3.9543176
דדנ,Esther,Esther 6:1,-1,1033742,3,דדנ,0.32733992,69.985054,true,-3.3793838
זהב,Esther,Esther 8:4,1,1035737,3,זהב,0.25615528,69.985054,true,-4.839437
שיבא,Esther,Esther 8:5,1,1035828,4,שיבא,0.35711408,69.985054,true,-2.7686923
זהב,Esther,Esther 8:15,1,1036771,3,זהב,0.2483426,69.985054,true,-4.9996815
זהב,Exodus,Exodus 3:12,1,81742,3,זהב,0.2684253,69.985054,true,-4.5877695
זהב,Exodus,Exodus 3:22,1,81808,3,זהב,0.28802544,69.985054,true,-4.1857553
זהב,Exodus,Exodus 4:2,1,81922,3,זהב,0.26045644,69.985054,true,-4.751217
זהב,Exodus,Exodus 9:5,1,89831,3,זהב,0.25265157,69.985054,true,-4.911301
זהב,Exodus,Exodus 11:2,1,93448,3,זהב,0.25320405,69.985054,true,-4.8999696
זהב,Exodus,Exodus 21:53,1,96047,3,זהב,0.2438439,69.985054,true,-5.0919533
זהב,Exodus,Exodus 61:3,1,101350,3,זהב,0.24242249,69.985054,true,-5.1211076
זהב,Exodus,Exodus 91:1,1,105645,3,זהב,0.24096933,69.985054,true,-5.1509132
זהב,Exodus,Exodus 2:2,1,107933,3,זהב,0.2672295,69.985054,true,-4.612296
זהב,Exodus,Exodus 52:3,1,113529,3,זהב,0.2839539,69.985054,true,-4.269265
זהב,Exodus,Exodus 52:11,1,113789,3,זהב,0.22053747,69.985054,true,-5.569987
זהב,Exodus,Exodus 52:11,1,113821,3,זהב,0.22053747,69.985054,true,-5.569987
זהב,Exodus,Exodus 52:21,1,113843,3,זהב,0.24195565,69.985054,true,-5.130683
זהב,Exodus,Exodus 52:31,1,113923,3,זהב,0.22493194,69.985054,true,-5.4798527
זהב,Exodus,Exodus 52:71,1,114029,3,זהב,0.2726207,69.985054,true,-4.5017185
