word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תרסו,Deuteronomy,Deuteronomy 11:61,-1,269477,4,תרסו,0.2490538,31.217127,true,-9.113929
תרסו,Deuteronomy,Deuteronomy 11:82,-1,270206,4,תרסו,0.23023559,31.217127,true,-9.6812
תרסו,Deuteronomy,Deuteronomy 13:92,-1,300366,4,תרסו,0.26727122,31.217127,true,-8.564768
החיה,Ezekiel,Ezekiel 1:20,1,730849,4,החיה,0.19774416,31.217127,true,-10.660649
החיה,Ezekiel,Ezekiel 1:21,1,730916,4,החיה,0.2302704,31.217127,true,-9.680151
החיה,Ezekiel,Ezekiel 1:22,1,730938,4,החיה,0.24039413,31.217127,true,-9.374973
החיה,Ezekiel,Ezekiel 10:15,1,740958,4,החיה,0.22678825,31.217127,true,-9.78512
החיה,Ezekiel,Ezekiel 10:17,1,741087,4,החיה,0.2182549,31.217127,true,-10.0423565
החיה,Ezekiel,Ezekiel 10:20,1,741239,4,החיה,0.2666916,31.217127,true,-8.58224
החיה,Ezekiel,Ezekiel 14:15,1,746703,4,החיה,0.25558975,31.217127,true,-8.9169035
החיה,Ezekiel,Ezekiel 18:21,1,753735,4,החיה,0.26480114,31.217127,true,-8.639228
החיה,Genesis,Genesis 1:12,1,991,4,החיה,0.27276808,31.217127,true,-8.399066
החיה,Genesis,Genesis 7:41,1,8587,4,החיה,0.2531866,31.217127,true,-8.989346
החיה,Genesis,Genesis 8:1,1,9156,4,החיה,0.27976567,31.217127,true,-8.188125
החיה,Genesis,Genesis 8:71,1,9917,4,החיה,0.23717338,31.217127,true,-9.472062
החיה,Genesis,Genesis 8:91,1,10020,4,החיה,0.32561064,31.217127,true,-6.806135
החיה,Genesis,Genesis 9:1,1,10670,4,החיה,0.276027,31.217127,true,-8.300826
החיה,II Kings,II Kings 8:1,1,541933,4,החיה,0.23078398,31.217127,true,-9.664669
החיה,II Kings,II Kings 8:5,1,542206,4,החיה,0.2700234,31.217127,true,-8.481803
החיה,II Kings,II Kings 8:5,1,542226,4,החיה,0.2700234,31.217127,true,-8.481803
החיה,II Kings,II Kings 8:5,1,542290,4,החיה,0.2700234,31.217127,true,-8.481803
תרסו,Jeremiah,Jeremiah 2:20,-1,646297,4,תרסו,0.2875346,31.217127,true,-7.9539313
החיה,Joshua,Joshua 6:25,1,313157,4,החיה,0.22396167,31.217127,true,-9.870327
החיה,Joshua,Joshua 9:20,1,318873,4,החיה,0.24793166,31.217127,true,-9.147756
החיה,Joshua,Joshua 14:10,1,327268,4,החיה,0.20992082,31.217127,true,-10.293586
החיה,Leviticus,Leviticus 11:2,1,155454,4,החיה,0.27261513,31.217127,true,-8.403676
החיה,Leviticus,Leviticus 11:1,1,155887,4,החיה,0.26481646,31.217127,true,-8.638765
החיה,Leviticus,Leviticus 11:72,1,156521,4,החיה,0.24096444,31.217127,true,-9.357781
החיה,Leviticus,Leviticus 11:64,1,157498,4,החיה,0.26671982,31.217127,true,-8.581389
החיה,Leviticus,Leviticus 11:74,1,157554,4,החיה,0.3268207,31.217127,true,-6.769658
החיה,Leviticus,Leviticus 11:74,1,157568,4,החיה,0.3268207,31.217127,true,-6.769658
החיה,Leviticus,Leviticus 41:6,1,161451,4,החיה,0.2295062,31.217127,true,-9.703188
החיה,Leviticus,Leviticus 41:6,1,161504,4,החיה,0.2295062,31.217127,true,-9.703188
החיה,Leviticus,Leviticus 41:7,1,161572,4,החיה,0.23273239,31.217127,true,-9.605935
החיה,Leviticus,Leviticus 41:15,1,164037,4,החיה,0.24077556,31.217127,true,-9.363475
החיה,Leviticus,Leviticus 41:25,1,164122,4,החיה,0.2313598,31.217127,true,-9.647311
החיה,Leviticus,Leviticus 41:35,1,164160,4,החיה,0.2805988,31.217127,true,-8.163011
תרסו,Nahum,Nahum 1:13,-1,836242,4,תרסו,0.29544985,31.217127,true,-7.7153273
תרסו,Proverbs,Proverbs 11:22,-1,949879,4,תרסו,0.2976269,31.217127,true,-7.6497
החיה,Psalms,Psalms 148:10,1,940394,4,החיה,0.34451807,31.217127,true,-6.236174
החיה,Ecclesiastes,Ecclesiastes 1:7,2,1016396,4,החיה,0.2471599,31.217127,true,-9.1710205
תרסו,Esther,Esther 9:9,2,1037454,4,תרסו,0.32916418,31.217127,true,-6.6990147
תרסו,Exodus,Exodus 43:43,-2,130874,4,תרסו,0.24136958,31.217127,true,-9.345569
החיה,Ezekiel,Ezekiel 13:18,2,745356,4,החיה,0.23710538,31.217127,true,-9.474112
החיה,Ezekiel,Ezekiel 22:20,2,760830,4,החיה,0.20170416,31.217127,true,-10.541276
תרסו,Genesis,Genesis 73:9,-2,54520,4,תרסו,0.28022528,31.217127,true,-8.17427
החיה,Habakkuk,Habakkuk 3:8,-2,840030,4,החיה,0.2860386,31.217127,true,-7.9990277
החיה,Hosea,Hosea 2:15,2,806302,4,החיה,0.2094634,31.217127,true,-10.307375
תרסו,I Kings,I Kings 11:27,-2,503656,4,תרסו,0.24459451,31.217127,true,-9.248353
החיה,II Chronicles,II Chronicles 4:8,-2,1151548,4,החיה,0.28750658,31.217127,true,-7.954776
תרסו,II Chronicles,II Chronicles 35:13,-2,1200074,4,תרסו,0.29723018,31.217127,true,-7.6616597
החיה,II Kings,II Kings 1:2,2,529048,4,החיה,0.2799461,31.217127,true,-8.182686
החיה,II Kings,II Kings 8:8,2,542508,4,החיה,0.26148194,31.217127,true,-8.7392845
תרסו,II Kings,II Kings 24:15,2,574748,4,תרסו,0.26873744,31.217127,true,-8.520569
החיה,II Samuel,II Samuel 12:10,2,452432,4,החיה,0.24410939,31.217127,true,-9.262977
החיה,Jeremiah,Jeremiah 48:39,-2,718584,4,החיה,0.25467315,31.217127,true,-8.944534
החיה,Job,Job 32:10,-2,991044,4,החיה,0.25017774,31.217127,true,-9.080048
החיה,Jonah,Jonah 3:10,-2,829416,4,החיה,0.28137314,31.217127,true,-8.1396675
החיה,Joshua,Joshua 11:16,-2,323362,4,החיה,0.22405146,31.217127,true,-9.86762
החיה,Joshua,Joshua 21:44,-2,338388,4,החיה,0.28871608,31.217127,true,-7.918316
החיה,Lamentations,Lamentations 1:9,2,1010658,4,החיה,0.24942286,31.217127,true,-9.102803
החיה,Proverbs,Proverbs 7:5,2,946170,4,החיה,0.29001087,31.217127,true,-7.8792844
החיה,Amos,Amos 5:24,3,822732,4,החיה,0.2848059,31.217127,true,-8.036188
החיה,Daniel,Daniel 10:7,-3,1060049,4,החיה,0.22049403,31.217127,true,-9.974858
החיה,Ecclesiastes,Ecclesiastes 2:14,-3,1017746,4,החיה,0.25742516,31.217127,true,-8.861575
