word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
כרמל,Amos,Amos 1:2,1,818395,4,כרמל,0.20917982,-0.38597867,false,-9.818958
כרמל,Amos,Amos 9:3,1,825429,4,כרמל,0.1749639,-0.38597867,false,-11.086935
תבערה,Deuteronomy,Deuteronomy 9:22,1,266801,5,תבערה,0.22309011,-0.38597867,false,-9.30347
תבערה,Deuteronomy,Deuteronomy 12:9,1,283090,5,תבערה,0.28641805,-0.38597867,false,-6.956657
כרמל,Deuteronomy,Deuteronomy 22:9,1,284476,4,כרמל,0.17913653,-0.38597867,false,-10.932305
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,-0.38597867,false,-7.8906393
כרמל,Deuteronomy,Deuteronomy 23:62,1,301580,4,כרמל,0.22374098,-0.38597867,false,-9.279349
כרמל,Esther,Esther 9:28,1,1038938,4,כרמל,0.2220287,-0.38597867,false,-9.342803
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,-0.38597867,false,-7.0984473
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,-0.38597867,false,-6.655082
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,-0.38597867,false,-8.995445
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,-0.38597867,false,-8.253517
כרמל,I Chronicles,I Chronicles 3:1,1,1106666,4,כרמל,0.2317294,-0.38597867,false,-8.983314
כרמל,I Chronicles,I Chronicles 11:37,1,1121682,4,כרמל,0.32636917,-0.38597867,false,-5.476145
כרמל,I Kings,I Kings 5:6,-1,487135,4,כרמל,0.19335154,-0.38597867,false,-10.405524
כרמל,I Kings,I Kings 18:19,1,517770,4,כרמל,0.19087651,-0.38597867,false,-10.497244
כרמל,I Kings,I Kings 18:20,1,517871,4,כרמל,0.18621472,-0.38597867,false,-10.670001
כרמל,I Kings,I Kings 18:42,1,519336,4,כרמל,0.22662523,-0.38597867,false,-9.172464
כרמל,I Samuel,I Samuel 15:12,1,406767,4,כרמל,0.18534943,-0.38597867,false,-10.702067
