word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
טיל,Amos,Amos 9:1,-1,825372,3,טיל,0.217428,-0.70469826,false,-4.56411
טיל,Daniel,Daniel 2:10,-1,1041388,3,טיל,0.22964048,-0.70469826,false,-4.382158
טיל,Daniel,Daniel 2:15,-1,1041655,3,טיל,0.23304698,-0.70469826,false,-4.3314047
טיל,Daniel,Daniel 4:14,-1,1047722,3,טיל,0.3028617,-0.70469826,false,-3.2912452
טיל,Daniel,Daniel 4:22,-1,1048490,3,טיל,0.27307785,-0.70469826,false,-3.7349904
טיל,Daniel,Daniel 4:29,-1,1048906,3,טיל,0.28605103,-0.70469826,false,-3.5417047
טיל,Daniel,Daniel 5:21,-1,1051177,3,טיל,0.27344668,-0.70469826,false,-3.7294953
טיל,Daniel,Daniel 5:29,-1,1051684,3,טיל,0.23396416,-0.70469826,false,-4.31774
טיל,Daniel,Daniel 5:30,1,1051705,3,טיל,0.20119816,-0.70469826,false,-4.805916
טיל,Daniel,Daniel 7:4,1,1054157,3,טיל,0.2576499,-0.70469826,false,-3.9648492
טיל,Daniel,Daniel 7:11,1,1054857,3,טיל,0.25269315,-0.70469826,false,-4.038699
טיל,Daniel,Daniel 11:42,-1,1063343,3,טיל,0.26036102,-0.70469826,false,-3.9244566
תשפט,Deuteronomy,Deuteronomy 1:61,1,250759,4,תשפט,0.3107776,-0.70469826,false,-3.1733072
טיל,Ecclesiastes,Ecclesiastes 5:18,-1,1021171,3,טיל,0.20281547,-0.70469826,false,-4.78182
טיל,Ecclesiastes,Ecclesiastes 6:2,-1,1021352,3,טיל,0.21112767,-0.70469826,false,-4.6579776
טיל,Ecclesiastes,Ecclesiastes 7:19,-1,1022568,3,טיל,0.25017402,-0.70469826,false,-4.0762315
טיל,Ecclesiastes,Ecclesiastes 8:8,-1,1023300,3,טיל,0.19572142,-0.70469826,false,-4.887513
טיל,Ecclesiastes,Ecclesiastes 10:5,-1,1025382,3,טיל,0.22239688,-0.70469826,false,-4.490079
טיל,Ezekiel,Ezekiel 5:6,1,734852,3,טיל,0.22687884,-0.70469826,false,-4.423303
טיל,Ezekiel,Ezekiel 5:7,1,734982,3,טיל,0.23209089,-0.70469826,false,-4.3456492
טיל,Ezekiel,Ezekiel 6:8,-1,736118,3,טיל,0.26941878,-0.70469826,false,-3.7895064
טיל,Ezekiel,Ezekiel 6:9,-1,736151,3,טיל,0.297769,-0.70469826,false,-3.3671203
טיל,Ezekiel,Ezekiel 7:16,-1,737395,3,טיל,0.20388743,-0.70469826,false,-4.7658486
טיל,Ezekiel,Ezekiel 11:12,1,741998,3,טיל,0.21815518,-0.70469826,false,-4.5532756
תשפט,Ezekiel,Ezekiel 14:21,1,747050,4,תשפט,0.30544326,-0.70469826,false,-3.2527828
תשפט,Ezekiel,Ezekiel 20:4,1,755171,4,תשפט,0.33779347,-0.70469826,false,-2.7708015
טיל,Ezekiel,Ezekiel 20:21,1,756274,3,טיל,0.22910245,-0.70469826,false,-4.390174
טיל,Ezekiel,Ezekiel 20:24,1,756474,3,טיל,0.24465317,-0.70469826,false,-4.158486
תשפט,Ezekiel,Ezekiel 22:2,1,759930,4,תשפט,0.35991508,-0.70469826,false,-2.4412148
תשפט,Ezekiel,Ezekiel 22:2,1,759935,4,תשפט,0.35991508,-0.70469826,false,-2.4412148
טיל,Ezekiel,Ezekiel 23:38,-1,763411,3,טיל,0.24913399,-0.70469826,false,-4.091727
טיל,Ezekiel,Ezekiel 24:26,-1,765434,3,טיל,0.2171264,-0.70469826,false,-4.568603
טיל,Ezekiel,Ezekiel 24:27,-1,765472,3,טיל,0.26817304,-0.70469826,false,-3.8080664
טיל,Ezekiel,Ezekiel 32:4,1,775044,3,טיל,0.19622539,-0.70469826,false,-4.8800044
טיל,Ezekiel,Ezekiel 33:21,-1,777960,3,טיל,0.19848126,-0.70469826,false,-4.8463945
טיל,Ezekiel,Ezekiel 33:22,-1,778009,3,טיל,0.2245485,-0.70469826,false,-4.458022
טיל,Ezra,Ezra 2:57,1,1066528,3,טיל,0.2555606,-0.70469826,false,-3.9959774
טיל,Ezra,Ezra 4:20,-1,1069795,3,טיל,0.21510814,-0.70469826,false,-4.598673
טיל,Ezra,Ezra 7:24,-1,1074422,3,טיל,0.20950434,-0.70469826,false,-4.6821632
