word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
מעלה,Daniel,Daniel 1:14,1,1040295,4,מעלה,0.27116352,67.82188,true,0.0
מעלה,Daniel,Daniel 2:44,-1,1043695,4,מעלה,0.31425548,67.82188,true,0.0
מעלה,Daniel,Daniel 8:27,1,1057616,4,מעלה,0.23981133,67.82188,true,0.0
מעלה,Daniel,Daniel 10:14,-1,1060510,4,מעלה,0.20921792,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 4:1,1,256998,4,מעלה,0.29219255,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 4:62,1,257982,4,מעלה,0.2302547,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 4:23,1,258378,4,מעלה,0.2355085,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 4:4,1,258936,4,מעלה,0.21425635,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 1:8,-1,267736,4,מעלה,0.28448778,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 11:9,1,269058,4,מעלה,0.21202414,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 11:71,1,269569,4,מעלה,0.24482247,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 11:12,1,269760,4,מעלה,0.24151313,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 11:12,1,269800,4,מעלה,0.24151313,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 21:1,1,270600,4,מעלה,0.21102755,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 21:2,1,270662,4,מעלה,0.23951846,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 41:7,1,274152,4,מעלה,0.2076613,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 91:9,1,280857,4,מעלה,0.22920896,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 12:6,1,282971,4,מעלה,0.29642913,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 22:6,1,284325,4,מעלה,0.2406298,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 72:21,1,290917,4,מעלה,0.25012153,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 82:31,1,292132,4,מעלה,0.19157626,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 82:12,1,292567,4,מעלה,0.23967844,67.82188,true,0.0
מעלה,Deuteronomy,Deuteronomy 82:34,1,293646,4,מעלה,0.28861082,67.82188,true,0.0
