word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
נתפס,Genesis,Genesis 73:3,1,54224,4,נתפס,0.2592539,22.390036,true,-9.205948
מקלט,I Chronicles,I Chronicles 6:42,1,1112602,4,מקלט,0.27795917,22.390036,true,-8.5512085
מקלט,I Chronicles,I Chronicles 6:52,1,1113141,4,מקלט,0.27919,22.390036,true,-8.508125
נתפס,II Samuel,II Samuel 13:18,1,454846,4,נתפס,0.2784752,22.390036,true,-8.533146
מקלט,Joshua,Joshua 20:2,1,335610,4,מקלט,0.28293183,22.390036,true,-8.377151
מקלט,Joshua,Joshua 20:3,1,335670,4,מקלט,0.2614342,22.390036,true,-9.12963
מקלט,Joshua,Joshua 21:13,1,336944,4,מקלט,0.29201934,22.390036,true,-8.059061
מקלט,Joshua,Joshua 21:21,1,337288,4,מקלט,0.269555,22.390036,true,-8.845379
מקלט,Joshua,Joshua 21:27,1,337576,4,מקלט,0.28122115,22.390036,true,-8.437029
מקלט,Joshua,Joshua 21:32,1,337798,4,מקלט,0.28267056,22.390036,true,-8.386295
מקלט,Joshua,Joshua 21:38,1,338091,4,מקלט,0.26140708,22.390036,true,-9.13058
מקלט,Numbers,Numbers 53:6,1,247625,4,מקלט,0.2594339,22.390036,true,-9.199647
מקלט,Numbers,Numbers 53:11,1,247881,4,מקלט,0.26190436,22.390036,true,-9.1131735
מקלט,Numbers,Numbers 53:21,1,247927,4,מקלט,0.24680112,22.390036,true,-9.641831
מקלט,Numbers,Numbers 53:31,1,247983,4,מקלט,0.24156788,22.390036,true,-9.825009
מקלט,Numbers,Numbers 53:41,1,248045,4,מקלט,0.2585686,22.390036,true,-9.229935
מקלט,Numbers,Numbers 53:51,1,248097,4,מקלט,0.255869,22.390036,true,-9.324429
מקלט,Numbers,Numbers 53:52,1,248553,4,מקלט,0.23401728,22.390036,true,-10.089303
מקלט,Numbers,Numbers 53:62,1,248624,4,מקלט,0.23459017,22.390036,true,-10.06925
מקלט,Numbers,Numbers 53:72,1,248664,4,מקלט,0.26415664,22.390036,true,-9.034337
מקלט,Numbers,Numbers 53:82,1,248698,4,מקלט,0.2606127,22.390036,true,-9.158385
מקלט,Numbers,Numbers 53:23,1,248892,4,מקלט,0.22640541,22.390036,true,-10.355741
נתפס,Deuteronomy,Deuteronomy 1:14,-2,252174,4,נתפס,0.2813952,22.390036,true,-8.430937
נתפס,Isaiah,Isaiah 21:1,-2,596168,4,נתפס,0.28803664,22.390036,true,-8.198467
נתפס,Nehemiah,Nehemiah 7:57,-2,1090310,4,נתפס,0.35299543,22.390036,true,-5.9247193
מקלט,Joshua,Joshua 11:23,3,323886,4,מקלט,0.22879949,22.390036,true,-10.271941
יילקח,Psalms,Psalms 105:10,3,918015,5,יילקח,0.386453,22.390036,true,-4.753606
יילקח,Deuteronomy,Deuteronomy 2:51,5,253315,5,יילקח,0.3502926,22.390036,true,-6.019326
מקלט,Proverbs,Proverbs 12:4,-5,950239,4,מקלט,0.28333962,22.390036,true,-8.362877
נתפס,Deuteronomy,Deuteronomy 7:12,-6,263834,4,נתפס,0.2543537,22.390036,true,-9.377468
יילקח,Jeremiah,Jeremiah 44:12,6,712842,5,יילקח,0.38971552,22.390036,true,-4.639408
מקלט,Hosea,Hosea 9:9,-8,810880,4,מקלט,0.25016433,22.390036,true,-9.524109
נתפס,II Chronicles,II Chronicles 34:4,-11,1196886,4,נתפס,0.34429765,22.390036,true,-6.229167
יילקח,Micah,Micah 2:8,19,831383,5,יילקח,0.3306266,22.390036,true,-6.7076936
מקלט,Job,Job 24:19,24,985728,4,מקלט,0.23528714,22.390036,true,-10.044854
נתפס,Genesis,Genesis 64:82,-27,71510,4,נתפס,0.29436705,22.390036,true,-7.9768844
מקלט,II Samuel,II Samuel 5:19,-48,443432,4,מקלט,0.26788718,22.390036,true,-8.903757
מקלט,Lamentations,Lamentations 3:60,55,1014365,4,מקלט,0.27547467,22.390036,true,-8.638173
נתפס,Proverbs,Proverbs 23:5,-62,959654,4,נתפס,0.2765403,22.390036,true,-8.600872
מקלט,Jeremiah,Jeremiah 31:38,92,691656,4,מקלט,0.23404461,22.390036,true,-10.0883465
מקלט,Proverbs,Proverbs 12:18,-144,950648,4,מקלט,0.28772983,22.390036,true,-8.209207
מקלט,Leviticus,Leviticus 7:21,165,149490,4,מקלט,0.184508,22.390036,true,-11.822273
מקלט,Leviticus,Leviticus 31:14,-456,160160,4,מקלט,0.2691702,22.390036,true,-8.858848
מקלט,Numbers,Numbers 43:4,592,246272,4,מקלט,0.17288598,22.390036,true,-12.229077
נתפס,Proverbs,Proverbs 6:3,-704,945096,4,נתפס,0.34447503,22.390036,true,-6.222958
נתפס,Deuteronomy,Deuteronomy 2:63,986,254388,4,נתפס,0.28908128,22.390036,true,-8.161901
נתפס,Isaiah,Isaiah 51:5,1140,629280,4,נתפס,0.24885625,22.390036,true,-9.569896
מקלט,Numbers,Numbers 5:51,2390,195980,4,מקלט,0.23372357,22.390036,true,-10.099584
יילקח,II Chronicles,II Chronicles 31:1,-3447,1191218,5,יילקח,0.38535798,22.390036,true,-4.791935
נתפס,Psalms,Psalms 88:15,3650,908850,4,נתפס,0.3204095,22.390036,true,-7.065322
מקלט,Psalms,Psalms 73:15,4325,899600,4,מקלט,0.29906243,22.390036,true,-7.812532
נתפס,Exodus,Exodus 82:51,-5010,119024,4,נתפס,0.26499897,22.390036,true,-9.004853
יילקח,Judges,Judges 1:1,17240,344800,5,יילקח,0.36307982,22.390036,true,-5.571736
יילקח,II Kings,II Kings 3:20,18386,533194,5,יילקח,0.32544923,22.390036,true,-6.888917
מקלט,Exodus,Exodus 22:82,18475,110850,4,מקלט,0.21520415,22.390036,true,-10.747818
מקלט,Psalms,Psalms 63:7,20772,893196,4,מקלט,0.25743055,22.390036,true,-9.26977
