word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
עננ,Daniel,Daniel 2:9,1,1041212,3,עננ,0.45097953,48.56337,true,-18.436888
עננ,Daniel,Daniel 4:1,1,1046908,3,עננ,0.3482268,48.56337,true,-33.84808
עננ,Daniel,Daniel 4:3,1,1047006,3,עננ,0.33159596,48.56337,true,-36.342422
עננ,Daniel,Daniel 7:13,1,1054961,3,עננ,0.34264508,48.56337,true,-34.68524
עננ,Daniel,Daniel 7:16,1,1055187,3,עננ,0.36405125,48.56337,true,-31.474672
עננ,Deuteronomy,Deuteronomy 1:33,1,251818,3,עננ,0.3813935,48.56337,true,-28.873629
עננ,Deuteronomy,Deuteronomy 3:8,-1,254976,3,עננ,0.346649,48.56337,true,-34.08472
עננ,Deuteronomy,Deuteronomy 4:11,1,257062,3,עננ,0.35195386,48.56337,true,-33.289078
עננ,Deuteronomy,Deuteronomy 5:91,1,260454,3,עננ,0.30465266,48.56337,true,-40.38347
עננ,Deuteronomy,Deuteronomy 8:61,1,265041,3,עננ,0.37572008,48.56337,true,-29.724545
עננ,Deuteronomy,Deuteronomy 21:2,1,270693,3,עננ,0.33968407,48.56337,true,-35.12934
עננ,Deuteronomy,Deuteronomy 81:41,1,279757,3,עננ,0.3524182,48.56337,true,-33.219433
עננ,Deuteronomy,Deuteronomy 13:51,1,299361,3,עננ,0.3570749,48.56337,true,-32.52101
עננ,Deuteronomy,Deuteronomy 13:51,1,299374,3,עננ,0.3570749,48.56337,true,-32.52101
עננ,Deuteronomy,Deuteronomy 13:51,-1,299377,3,עננ,0.3570749,48.56337,true,-32.52101
עננ,Ecclesiastes,Ecclesiastes 8:11,-1,1023499,3,עננ,0.3967855,48.56337,true,-26.565084
עננ,Exodus,Exodus 31:12,1,97950,3,עננ,0.36544433,48.56337,true,-31.265734
עננ,Exodus,Exodus 31:22,1,98006,3,עננ,0.36843574,48.56337,true,-30.817074
עננ,Exodus,Exodus 41:91,1,99111,3,עננ,0.3903022,48.56337,true,-27.53747
עננ,Exodus,Exodus 41:2,1,99166,3,עננ,0.3730347,48.56337,true,-30.127308
עננ,Exodus,Exodus 41:42,1,99417,3,עננ,0.39973688,48.56337,true,-26.122427
עננ,Exodus,Exodus 61:1,1,101823,3,עננ,0.37079617,48.56337,true,-30.463049
עננ,Exodus,Exodus 91:9,1,106087,3,עננ,0.37045836,48.56337,true,-30.513714
עננ,Exodus,Exodus 91:61,1,106482,3,עננ,0.3750196,48.56337,true,-29.829603
עננ,Exodus,Exodus 91:91,1,106671,3,עננ,0.3536757,48.56337,true,-33.030834
עננ,Exodus,Exodus 42:51,1,113266,3,עננ,0.40935516,48.56337,true,-24.679846
עננ,Exodus,Exodus 42:61,1,113302,3,עננ,0.40517193,48.56337,true,-25.30726
עננ,Exodus,Exodus 42:61,1,113337,3,עננ,0.40517193,48.56337,true,-25.30726
עננ,Exodus,Exodus 42:81,1,113392,3,עננ,0.3568387,48.56337,true,-32.556435
עננ,Exodus,Exodus 33:9,1,128258,3,עננ,0.32627192,48.56337,true,-37.14094
עננ,Exodus,Exodus 33:1,1,128297,3,עננ,0.35920334,48.56337,true,-32.20178
עננ,Exodus,Exodus 33:1,-1,128300,3,עננ,0.35920334,48.56337,true,-32.20178
עננ,Exodus,Exodus 33:11,-1,128402,3,עננ,0.338915,48.56337,true,-35.24469
עננ,Exodus,Exodus 43:5,1,129282,3,עננ,0.37187943,48.56337,true,-30.300577
עננ,Exodus,Exodus 4:43,1,141381,3,עננ,0.33812216,48.56337,true,-35.3636
עננ,Exodus,Exodus 4:53,1,141444,3,עננ,0.37890548,48.56337,true,-29.246788
עננ,Exodus,Exodus 4:63,1,141474,3,עננ,0.38390556,48.56337,true,-28.49686
עננ,Exodus,Exodus 4:73,1,141516,3,עננ,0.39448816,48.56337,true,-26.909647
עננ,Exodus,Exodus 4:83,1,141538,3,עננ,0.38030082,48.56337,true,-29.03751
עננ,Ezekiel,Ezekiel 1:4,1,729987,3,עננ,0.33492053,48.56337,true,-35.843796
עננ,Ezekiel,Ezekiel 1:28,1,731333,3,עננ,0.35632944,48.56337,true,-32.632816
עננ,Ezekiel,Ezekiel 6:13,1,736523,3,עננ,0.35473913,48.56337,true,-32.871334
עננ,Ezekiel,Ezekiel 8:11,1,738742,3,עננ,0.3714668,48.56337,true,-30.362467
עננ,Ezekiel,Ezekiel 10:3,1,740274,3,עננ,0.33808005,48.56337,true,-35.36992
עננ,Ezekiel,Ezekiel 10:4,1,740335,3,עננ,0.33341485,48.56337,true,-36.06962
