word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,14.083254,true,-12.5661335
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,14.083254,true,-11.212863
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,14.083254,true,-10.45548
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,14.083254,true,-14.453431
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,14.083254,true,-13.186025
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,14.083254,true,-13.329974
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,14.083254,true,-10.573711
תשפו,Malachi,Malachi 3:20,-1,861624,4,תשפו,0.31063774,14.083254,true,-9.437422
תשפו,Proverbs,Proverbs 31:13,-1,967297,4,תשפו,0.35624677,14.083254,true,-6.550146
תשפו,I Samuel,I Samuel 25:20,-2,426070,4,תשפו,0.2608703,14.083254,true,-12.587945
תשפו,Judges,Judges 7:22,2,357508,4,תשפו,0.30797213,14.083254,true,-9.606168
תשפו,Leviticus,Leviticus 62:61,2,183028,4,תשפו,0.2705728,14.083254,true,-11.973729
קושנר,Micah,Micah 6:12,2,834524,5,קושנר,0.33884758,14.083254,true,-7.6516004
תשפו,Ezekiel,Ezekiel 17:19,3,752244,4,תשפו,0.26862967,14.083254,true,-12.09674
תשפו,Genesis,Genesis 22:22,-3,28235,4,תשפו,0.2839031,14.083254,true,-11.129857
תשפו,II Chronicles,II Chronicles 21:19,-3,1176488,4,תשפו,0.25340462,14.083254,true,-13.06056
תשפו,Ezekiel,Ezekiel 41:3,-4,791972,4,תשפו,0.2582993,14.083254,true,-12.750703
תשפו,Numbers,Numbers 62:45,4,233352,4,תשפו,0.27966836,14.083254,true,-11.397936
תשפו,I Samuel,I Samuel 18:3,5,413285,4,תשפו,0.23422544,14.083254,true,-14.274696
תשפו,Song of Songs,Song of Songs 3:4,-5,1001489,4,תשפו,0.27896896,14.083254,true,-11.442211
תשפו,Leviticus,Leviticus 4:12,6,145404,4,תשפו,0.30322993,14.083254,true,-9.906373
תשפו,Numbers,Numbers 4:44,-8,194968,4,תשפו,0.26732135,14.083254,true,-12.179563
תשפו,II Kings,II Kings 15:26,-9,556637,4,תשפו,0.24238855,14.083254,true,-13.757932
תשפו,I Samuel,I Samuel 18:21,-11,414302,4,תשפו,0.21060468,14.083254,true,-15.770006
תשפו,Numbers,Numbers 62:52,11,232144,4,תשפו,0.3025276,14.083254,true,-9.950833
תשפו,II Samuel,II Samuel 15:3,12,458700,4,תשפו,0.2323336,14.083254,true,-14.394459
תשפו,Isaiah,Isaiah 52:2,-12,630428,4,תשפו,0.26940504,14.083254,true,-12.047655
תשפו,Ezekiel,Ezekiel 10:10,-13,740684,4,תשפו,0.26643473,14.083254,true,-12.23569
תשפו,Job,Job 19:20,-13,981782,4,תשפו,0.31684312,14.083254,true,-9.044591
קושנר,Genesis,Genesis 13:52,16,44848,5,קושנר,0.30236667,14.083254,true,-9.961021
תשפו,Isaiah,Isaiah 7:3,-18,583484,4,תשפו,0.29147652,14.083254,true,-10.650421
תשפו,Judges,Judges 1:5,-18,345002,4,תשפו,0.3092206,14.083254,true,-9.527133
תשפו,Genesis,Genesis 5:2,-20,76684,4,תשפו,0.27489802,14.083254,true,-11.699922
תשפו,Ruth,Ruth 2:13,21,1007223,4,תשפו,0.28394926,14.083254,true,-11.126934
תשפו,Psalms,Psalms 84:12,-24,907160,4,תשפו,0.3541846,14.083254,true,-6.6806917
תשפו,Nehemiah,Nehemiah 10:34,26,1096290,4,תשפו,0.26297438,14.083254,true,-12.454747
תשפו,II Samuel,II Samuel 3:14,29,439814,4,תשפו,0.2212546,14.083254,true,-15.095815
תשפו,Jeremiah,Jeremiah 6:8,29,652616,4,תשפו,0.32261616,14.083254,true,-8.679129
תשפו,Psalms,Psalms 12:6,29,866462,4,תשפו,0.32572109,14.083254,true,-8.482572
תשפו,Deuteronomy,Deuteronomy 1:81,-32,250920,4,תשפו,0.23524597,14.083254,true,-14.210092
תשפו,Numbers,Numbers 3:21,-39,190784,4,תשפו,0.2582598,14.083254,true,-12.753203
