word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תשפט,Deuteronomy,Deuteronomy 1:61,1,250759,4,תשפט,0.3107776,29.849018,true,-11.487325
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,29.849018,true,-15.227261
תשפט,Ezekiel,Ezekiel 14:21,1,747050,4,תשפט,0.30544326,29.849018,true,-11.889848
תשפט,Ezekiel,Ezekiel 20:4,1,755171,4,תשפט,0.33779347,29.849018,true,-9.448746
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,29.849018,true,-13.614181
תשפט,Ezekiel,Ezekiel 22:2,1,759930,4,תשפט,0.35991508,29.849018,true,-7.7794805
תשפט,Ezekiel,Ezekiel 22:2,1,759935,4,תשפט,0.35991508,29.849018,true,-7.7794805
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,29.849018,true,-12.71139
תשפח,Genesis,Genesis 61:3,1,18413,4,תשפח,0.32319006,29.849018,true,-10.550698
תשפח,Genesis,Genesis 52:21,1,33383,4,תשפח,0.304747,29.849018,true,-11.942388
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,29.849018,true,-17.476894
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,29.849018,true,-15.966163
תשפט,Hosea,Hosea 7:7,1,809425,4,תשפט,0.30832714,29.849018,true,-11.672234
תשפח,I Samuel,I Samuel 8:16,1,394657,4,תשפח,0.31919086,29.849018,true,-10.852472
תשפח,I Samuel,I Samuel 23:23,-1,423022,4,תשפח,0.29862118,29.849018,true,-12.404632
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,29.849018,true,-16.137749
תשפט,II Chronicles,II Chronicles 19:6,1,1172440,4,תשפט,0.4033957,29.849018,true,-4.498493
תשפט,II Chronicles,II Chronicles 20:12,1,1173551,4,תשפט,0.3200916,29.849018,true,-10.784504
תשפט,II Kings,II Kings 15:5,1,555381,4,תשפט,0.33361614,29.849018,true,-9.763962
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,29.849018,true,-12.85232
תשפט,Jeremiah,Jeremiah 11:20,1,661333,4,תשפט,0.3364052,29.849018,true,-9.553504
תשצ,Jeremiah,Jeremiah 17:8,-1,668463,3,תשצ,0.36695084,29.849018,true,-7.248572
תשפח,Jeremiah,Jeremiah 34:9,1,697000,4,תשפח,0.27988303,29.849018,true,-13.818586
תשפח,Jeremiah,Jeremiah 34:10,1,697095,4,תשפח,0.30405575,29.849018,true,-11.994547
תשפח,Jeremiah,Jeremiah 34:16,1,697512,4,תשפח,0.3119589,29.849018,true,-11.398186
תשפט,Leviticus,Leviticus 91:51,1,170853,4,תשפט,0.3546121,29.849018,true,-8.179635
תשפו,Malachi,Malachi 3:20,-1,861624,4,תשפו,0.31063774,29.849018,true,-11.497879
