word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
נאום,Amos,Amos 2:9,-1,819575,4,נאומ,0.267206,68.78137,true,-5.495485
הקו,Amos,Amos 5:8,1,822003,3,הקו,0.2968974,68.78137,true,-4.9578805
נאום,Daniel,Daniel 6:25,-1,1053609,4,נאומ,0.29631695,68.78137,true,-4.9683905
הקו,Daniel,Daniel 7:5,1,1054264,3,הקו,0.22592148,68.78137,true,-6.2429996
נאום,Daniel,Daniel 8:27,-1,1057565,4,נאומ,0.2866822,68.78137,true,-5.1428413
הקו,Daniel,Daniel 9:25,-1,1059424,3,הקו,0.2678906,68.78137,true,-5.4830894
נאום,Daniel,Daniel 11:1,-1,1060931,4,נאומ,0.23776147,68.78137,true,-6.02862
יםסוף,Deuteronomy,Deuteronomy 1:4,1,252166,5,ימסופ,0.26189482,68.78137,true,-5.5916514
יםסוף,Deuteronomy,Deuteronomy 2:1,1,252539,5,ימסופ,0.3063483,68.78137,true,-4.786759
הקו,Deuteronomy,Deuteronomy 5:2,1,260515,3,הקו,0.2525326,68.78137,true,-5.7611675
יםסוף,Deuteronomy,Deuteronomy 11:4,1,268759,5,ימסופ,0.3021016,68.78137,true,-4.863651
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,68.78137,true,-5.6039634
הקו,Deuteronomy,Deuteronomy 92:12,-1,296604,3,הקו,0.19849914,68.78137,true,-6.7395196
נאום,Deuteronomy,Deuteronomy 13:32,-1,300044,4,נאומ,0.30536556,68.78137,true,-4.8045526
נאום,Deuteronomy,Deuteronomy 23:12,-1,301358,4,נאומ,0.32174838,68.78137,true,-4.507919
הקו,Deuteronomy,Deuteronomy 33:7,1,303077,3,הקו,0.26758236,68.78137,true,-5.488671
הקו,Ecclesiastes,Ecclesiastes 5:11,-1,1020775,3,הקו,0.24020003,68.78137,true,-5.9844666
הקו,Ecclesiastes,Ecclesiastes 7:23,-1,1022731,3,הקו,0.2455277,68.78137,true,-5.8880014
הקו,Ecclesiastes,Ecclesiastes 10:20,1,1025949,3,הקו,0.24964046,68.78137,true,-5.813534
