word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
נאום,Ezekiel,Ezekiel 4:5,-1,733774,4,נאומ,0.2634933,1.6575025,false,-25.487158
נאום,Ezekiel,Ezekiel 11:20,-1,742531,4,נאומ,0.29128322,1.6575025,false,-22.972506
נאום,Ezekiel,Ezekiel 14:11,-1,746467,4,נאומ,0.32294017,1.6575025,false,-20.107933
נאום,Ezekiel,Ezekiel 20:31,-1,756994,4,נאומ,0.2879976,1.6575025,false,-23.269814
רוכל,Ezekiel,Ezekiel 23:41,1,763601,4,רוכל,0.31461886,1.6575025,false,-20.860912
רוכל,Ezekiel,Ezekiel 23:48,1,763988,4,רוכל,0.30505532,1.6575025,false,-21.726297
רוכל,Ezekiel,Ezekiel 30:8,1,772578,4,רוכל,0.3262991,1.6575025,false,-19.803991
רוכל,Ezekiel,Ezekiel 32:7,1,775218,4,רוכל,0.33849782,1.6575025,false,-18.700155
רוכל,Ezekiel,Ezekiel 32:22,1,775952,4,רוכל,0.37187302,1.6575025,false,-15.680101
רוכל,Ezekiel,Ezekiel 35:15,1,781293,4,רוכל,0.294479,1.6575025,false,-22.683325
נאום,Ezekiel,Ezekiel 36:28,-1,783068,4,נאומ,0.30049255,1.6575025,false,-22.139172
נאום,Ezekiel,Ezekiel 37:23,-1,785187,4,נאומ,0.25661397,1.6575025,false,-26.109653
רוכל,Ezekiel,Ezekiel 38:6,1,785748,4,רוכל,0.39051214,1.6575025,false,-13.993486
רוכל,Ezekiel,Ezekiel 39:13,1,787689,4,רוכל,0.30812198,1.6575025,false,-21.448801
רוכל,Ezekiel,Ezekiel 39:20,1,788139,4,רוכל,0.37902722,1.6575025,false,-15.032733
רוכל,Isaiah,Isaiah 10:25,1,588017,4,רוכל,0.3477346,1.6575025,false,-17.864338
רוכל,Isaiah,Isaiah 13:15,1,590197,4,רוכל,0.3739433,1.6575025,false,-15.492766
רוכל,Isaiah,Isaiah 19:7,1,594771,4,רוכל,0.3513481,1.6575025,false,-17.53736
רוכל,Isaiah,Isaiah 21:16,1,596853,4,רוכל,0.3330351,1.6575025,false,-19.194464
רוכל,Isaiah,Isaiah 22:3,1,597017,4,רוכל,0.3587438,1.6575025,false,-16.86814
רוכל,Isaiah,Isaiah 32:6,1,607660,4,רוכל,0.34606045,1.6575025,false,-18.015827
רוכל,Isaiah,Isaiah 40:6,1,616315,4,רוכל,0.3420236,1.6575025,false,-18.381113
רוכל,Isaiah,Isaiah 44:23,1,622664,4,רוכל,0.33814913,1.6575025,false,-18.731707
רוכל,Isaiah,Isaiah 44:28,-1,622905,4,רוכל,0.38647306,1.6575025,false,-14.358974
רוכל,Isaiah,Isaiah 45:1,-1,622964,4,רוכל,0.37756026,1.6575025,false,-15.165476
נאום,Isaiah,Isaiah 53:4,-1,631272,4,נאומ,0.27579522,1.6575025,false,-24.373981
רוכל,Isaiah,Isaiah 60:6,1,637474,4,רוכל,0.39231253,1.6575025,false,-13.830573
נאום,Isaiah,Isaiah 65:24,-1,642607,4,נאומ,0.28225297,1.6575025,false,-23.789635
נאום,Ezekiel,Ezekiel 24:26,-2,765448,4,נאומ,0.30530924,1.6575025,false,-21.70332
נאום,Isaiah,Isaiah 49:20,-2,627884,4,נאומ,0.30763638,1.6575025,false,-21.492743
רוכל,Ezekiel,Ezekiel 8:17,3,739152,4,רוכל,0.3750919,1.6575025,false,-15.388831
נאום,Isaiah,Isaiah 9:16,-3,586502,4,נאומ,0.2963704,1.6575025,false,-22.512178
רוכל,Isaiah,Isaiah 9:19,3,586677,4,רוכל,0.33755177,1.6575025,false,-18.78576
נאום,Isaiah,Isaiah 19:10,3,594906,4,נאומ,0.29082775,1.6575025,false,-23.01372
נאום,Isaiah,Isaiah 44:14,3,622137,4,נאומ,0.288593,1.6575025,false,-23.215939
נאום,Ezekiel,Ezekiel 23:19,-4,762356,4,נאומ,0.28692737,1.6575025,false,-23.366657
נאום,Isaiah,Isaiah 14:31,4,591980,4,נאומ,0.2720855,1.6575025,false,-24.70967
נאום,Isaiah,Isaiah 27:11,-4,601988,4,נאומ,0.2937586,1.6575025,false,-22.748514
נאום,Isaiah,Isaiah 30:32,-4,606700,4,נאומ,0.3069896,1.6575025,false,-21.551268
נאום,Isaiah,Isaiah 51:12,-4,629712,4,נאומ,0.27615142,1.6575025,false,-24.341751
רוכל,Isaiah,Isaiah 51:23,-4,630300,4,רוכל,0.3467425,1.6575025,false,-17.95411
רוכל,Isaiah,Isaiah 61:8,4,638872,4,רוכל,0.37099195,1.6575025,false,-15.759829
יםסוף,Ezekiel,Ezekiel 5:15,-5,735509,5,ימסופ,0.29079345,1.6575025,false,-23.016825
נאום,Isaiah,Isaiah 9:20,5,586715,4,נאומ,0.3103903,1.6575025,false,-21.243546
נאום,Ezekiel,Ezekiel 5:7,6,734922,4,נאומ,0.291493,1.6575025,false,-22.953524
רוכל,Isaiah,Isaiah 42:20,-6,619820,4,רוכל,0.39581794,1.6575025,false,-13.513376
נאום,Ezekiel,Ezekiel 40:32,-8,790656,4,נאומ,0.2716299,1.6575025,false,-24.750895
נאום,Isaiah,Isaiah 40:17,8,616816,4,נאומ,0.31037134,1.6575025,false,-21.245262
רוכל,Isaiah,Isaiah 58:8,-8,635584,4,רוכל,0.32757157,1.6575025,false,-19.688848
נאום,Ezekiel,Ezekiel 3:23,-9,733226,4,נאומ,0.28978908,1.6575025,false,-23.107708
נאום,Ezekiel,Ezekiel 20:36,10,757310,4,נאומ,0.28288,1.6575025,false,-23.732895
רוכל,Ezekiel,Ezekiel 47:23,-10,802814,4,רוכל,0.35087478,1.6575025,false,-17.580189
רוכל,Ezekiel,Ezekiel 41:18,12,792900,4,רוכל,0.35419786,1.6575025,false,-17.27949
נאום,Ezekiel,Ezekiel 48:31,12,804708,4,נאומ,0.28462332,1.6575025,false,-23.575146
נאום,Ezekiel,Ezekiel 30:2,-13,772261,4,נאומ,0.34869432,1.6575025,false,-17.777494
רוכל,Ezekiel,Ezekiel 30:4,13,772369,4,רוכל,0.35464847,1.6575025,false,-17.238716
נאום,Isaiah,Isaiah 1:23,-13,578197,4,נאומ,0.2818201,1.6575025,false,-23.828804
נאום,Isaiah,Isaiah 13:8,13,589849,4,נאומ,0.27709478,1.6575025,false,-24.256388
נאום,Ezekiel,Ezekiel 39:28,14,788592,4,נאומ,0.30083257,1.6575025,false,-22.108404
נאום,Isaiah,Isaiah 12:3,14,589400,4,נאומ,0.2796734,1.6575025,false,-24.023054
רוכל,Isaiah,Isaiah 49:19,-14,627826,4,רוכל,0.36286983,1.6575025,false,-16.494781
רוכל,Ezekiel,Ezekiel 23:25,15,762735,4,רוכל,0.3831811,1.6575025,false,-14.6568575
נאום,Isaiah,Isaiah 66:5,15,643035,4,נאומ,0.29210117,1.6575025,false,-22.89849
נאום,Isaiah,Isaiah 30:21,-17,606056,4,נאומ,0.29810166,1.6575025,false,-22.355518
נאום,Ezekiel,Ezekiel 21:3,19,758119,4,נאומ,0.35286668,1.6575025,false,-17.399946
רוכל,Isaiah,Isaiah 1:20,-21,578063,4,רוכל,0.365423,1.6575025,false,-16.263752
רוכל,Isaiah,Isaiah 37:10,-21,612776,4,רוכל,0.31929886,1.6575025,false,-20.437428
נאום,Isaiah,Isaiah 52:12,22,630938,4,נאומ,0.3220004,1.6575025,false,-20.19297
נאום,Ezekiel,Ezekiel 14:19,23,746948,4,נאומ,0.30973244,1.6575025,false,-21.303074
נאום,Ezekiel,Ezekiel 39:23,-23,788317,4,נאומ,0.31534278,1.6575025,false,-20.795406
רוכל,Ezekiel,Ezekiel 36:30,-24,783152,4,רוכל,0.34365258,1.6575025,false,-18.233711
רוכל,Isaiah,Isaiah 6:10,-24,583136,4,רוכל,0.2909951,1.6575025,false,-22.998577
נאום,Isaiah,Isaiah 50:4,-25,628564,4,נאומ,0.30473757,1.6575025,false,-21.755049
נאום,Isaiah,Isaiah 1:15,-26,577846,4,נאומ,0.24038821,1.6575025,false,-27.577888
רוכל,Isaiah,Isaiah 1:30,26,578500,4,רוכל,0.35575753,1.6575025,false,-17.13836
נאום,Isaiah,Isaiah 52:5,-26,630548,4,נאומ,0.29350835,1.6575025,false,-22.771158
רוכל,Isaiah,Isaiah 7:20,-27,584321,4,רוכל,0.37513012,1.6575025,false,-15.385374
נאום,Ezekiel,Ezekiel 36:5,28,781732,4,נאומ,0.29648405,1.6575025,false,-22.501892
נאום,Isaiah,Isaiah 46:9,28,624764,4,נאומ,0.32630712,1.6575025,false,-19.803267
נאום,Ezekiel,Ezekiel 13:18,-29,745341,4,נאומ,0.3142893,1.6575025,false,-20.890734
נאום,Ezekiel,Ezekiel 11:19,-31,742468,4,נאומ,0.27960113,1.6575025,false,-24.029594
רוכל,Isaiah,Isaiah 48:2,35,625905,4,רוכל,0.3089013,1.6575025,false,-21.37828
נאום,Ezekiel,Ezekiel 13:9,-37,744789,4,נאומ,0.32185078,1.6575025,false,-20.20651
רוכל,Isaiah,Isaiah 66:20,-43,643978,4,רוכל,0.43898103,1.6575025,false,-9.607637
נאום,Ezekiel,Ezekiel 40:32,-44,790656,4,נאומ,0.2716299,1.6575025,false,-24.750895
רוכל,Isaiah,Isaiah 43:18,-45,620969,4,רוכל,0.35273418,1.6575025,false,-17.411936
רוכל,Ezekiel,Ezekiel 38:15,-68,786392,4,רוכל,0.3115346,1.6575025,false,-21.14
רוכל,Isaiah,Isaiah 37:22,80,613440,4,רוכל,0.36083722,1.6575025,false,-16.678709
נאום,Ezekiel,Ezekiel 42:4,-87,793568,4,נאומ,0.26453006,1.6575025,false,-25.393343
רוכל,Isaiah,Isaiah 53:1,-92,631112,4,רוכל,0.30791062,1.6575025,false,-21.467926
נאום,Isaiah,Isaiah 3:5,-95,579794,4,נאומ,0.29053232,1.6575025,false,-23.040453
רוכל,Ezekiel,Ezekiel 33:21,117,777933,4,רוכל,0.33086455,1.6575025,false,-19.390873
נאום,Isaiah,Isaiah 10:2,118,586814,4,נאומ,0.30315498,1.6575025,false,-21.898254
רוכל,Ezekiel,Ezekiel 22:24,129,760971,4,רוכל,0.36758053,1.6575025,false,-16.06852
נאום,Ezekiel,Ezekiel 36:32,-135,783284,4,נאומ,0.29346633,1.6575025,false,-22.77496
נאום,Ezekiel,Ezekiel 47:17,138,802470,4,נאומ,0.27448416,1.6575025,false,-24.492619
נאום,Isaiah,Isaiah 51:12,144,629712,4,נאומ,0.27615142,1.6575025,false,-24.341751
נאום,Ezekiel,Ezekiel 42:6,-145,793684,4,נאומ,0.25960046,1.6575025,false,-25.839413
נאום,Isaiah,Isaiah 13:13,146,590132,4,נאומ,0.28881085,1.6575025,false,-23.196226
רוכל,Ezekiel,Ezekiel 30:26,178,773588,4,רוכל,0.31227458,1.6575025,false,-21.073042
נאום,Isaiah,Isaiah 21:9,180,596520,4,נאומ,0.27817255,1.6575025,false,-24.158863
נאום,Isaiah,Isaiah 10:2,-207,586814,4,נאומ,0.30315498,1.6575025,false,-21.898254
נאום,Ezekiel,Ezekiel 39:1,-211,787017,4,נאומ,0.30041826,1.6575025,false,-22.145895
נאום,Ezekiel,Ezekiel 7:27,245,737940,4,נאומ,0.27989516,1.6575025,false,-24.002987
רוכל,Ezekiel,Ezekiel 27:35,-257,769459,4,רוכל,0.36736953,1.6575025,false,-16.087612
נאום,Ezekiel,Ezekiel 3:21,-302,733154,4,נאומ,0.2401549,1.6575025,false,-27.599
רוכל,Isaiah,Isaiah 50:4,-397,628594,4,רוכל,0.37794697,1.6575025,false,-15.130483
נאום,Isaiah,Isaiah 28:22,403,603291,4,נאומ,0.29355133,1.6575025,false,-22.76727
נאום,Ezekiel,Ezekiel 16:21,-410,748744,4,נאומ,0.2574901,1.6575025,false,-26.030375
נאום,Ezekiel,Ezekiel 10:14,420,740880,4,נאומ,0.25247678,1.6575025,false,-26.48402
נאום,Ezekiel,Ezekiel 2:4,448,731584,4,נאומ,0.30030176,1.6575025,false,-22.156437
רוכל,Isaiah,Isaiah 36:9,461,611286,4,רוכל,0.32813257,1.6575025,false,-19.638084
נאום,Ezekiel,Ezekiel 7:2,-500,736664,4,נאומ,0.33125275,1.6575025,false,-19.355745
נאום,Isaiah,Isaiah 38:3,513,614574,4,נאומ,0.3241309,1.6575025,false,-20.000187
רוכל,Ezekiel,Ezekiel 10:15,516,740976,4,רוכל,0.3230266,1.6575025,false,-20.100113
נאום,Ezekiel,Ezekiel 39:26,562,788486,4,נאומ,0.29966313,1.6575025,false,-22.214226
נאום,Isaiah,Isaiah 60:4,-571,637358,4,נאומ,0.28429765,1.6575025,false,-23.604616
רוכל,Ezekiel,Ezekiel 27:33,626,769354,4,רוכל,0.33370695,1.6575025,false,-19.13367
רוכל,Isaiah,Isaiah 33:18,633,608946,4,רוכל,0.35705268,1.6575025,false,-17.021164
רוכל,Isaiah,Isaiah 59:7,650,636350,4,רוכל,0.37624493,1.6575025,false,-15.284496
נאום,Ezekiel,Ezekiel 25:14,-732,766340,4,נאומ,0.2683708,1.6575025,false,-25.045803
נאום,Isaiah,Isaiah 57:3,755,634200,4,נאומ,0.319107,1.6575025,false,-20.45479
נאום,Ezekiel,Ezekiel 42:6,847,793639,4,נאומ,0.25960046,1.6575025,false,-25.839413
נאום,Ezekiel,Ezekiel 34:19,1100,779900,4,נאומ,0.28766528,1.6575025,false,-23.299885
נאום,Ezekiel,Ezekiel 24:26,1174,765448,4,נאומ,0.30530924,1.6575025,false,-21.70332
רוכל,Ezekiel,Ezekiel 46:20,1212,801132,4,רוכל,0.28916594,1.6575025,false,-23.164093
רוכל,Isaiah,Isaiah 55:9,1410,633090,4,רוכל,0.3190079,1.6575025,false,-20.463757
נאום,Ezekiel,Ezekiel 42:4,-1508,793568,4,נאומ,0.26453006,1.6575025,false,-25.393343
רוכל,Ezekiel,Ezekiel 44:11,-1542,796958,4,רוכל,0.31076026,1.6575025,false,-21.210068
נאום,Isaiah,Isaiah 57:3,-1554,634196,4,נאומ,0.319107,1.6575025,false,-20.45479
רוכל,Isaiah,Isaiah 28:13,-1638,602780,4,רוכל,0.32849488,1.6575025,false,-19.6053
