word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
פרס,Amos,Amos 6:10,-1,823315,3,פרס,0.23622493,45.02528,true,-4.978559
גוג,Daniel,Daniel 3:12,1,1045032,3,גוג,0.36563927,45.02528,true,-2.6038687
גוג,Daniel,Daniel 3:12,-1,1045034,3,גוג,0.36563927,45.02528,true,-2.6038687
פרס,Daniel,Daniel 5:25,1,1051512,3,פרס,0.18875846,45.02528,true,-5.8495455
סינ,Daniel,Daniel 5:25,1,1051514,3,סינ,0.26788977,45.02528,true,-4.397525
פרס,Daniel,Daniel 5:28,1,1051576,3,פרס,0.28137675,45.02528,true,-4.150045
פרס,Daniel,Daniel 5:28,1,1051601,3,פרס,0.28137675,45.02528,true,-4.150045
פרס,Daniel,Daniel 6:9,1,1052384,3,פרס,0.26719493,45.02528,true,-4.4102745
פרס,Daniel,Daniel 6:13,1,1052723,3,פרס,0.20623344,45.02528,true,-5.528888
פרס,Daniel,Daniel 6:16,1,1052960,3,פרס,0.17557548,45.02528,true,-6.091447
פרס,Daniel,Daniel 6:29,1,1053941,3,פרס,0.21163785,45.02528,true,-5.42972
פרס,Daniel,Daniel 6:29,1,1053946,3,פרס,0.21163785,45.02528,true,-5.42972
פרס,Daniel,Daniel 8:20,1,1057235,3,פרס,0.24148601,45.02528,true,-4.882021
סינ,Daniel,Daniel 9:19,-1,1058931,3,סינ,0.29499876,45.02528,true,-3.9000876
פרס,Daniel,Daniel 10:1,1,1059611,3,פרס,0.24374524,45.02528,true,-4.840565
פרס,Daniel,Daniel 10:13,1,1060411,3,פרס,0.23577008,45.02528,true,-4.9869056
פרס,Daniel,Daniel 10:13,1,1060485,3,פרס,0.23577008,45.02528,true,-4.9869056
פרס,Daniel,Daniel 10:20,1,1060851,3,פרס,0.23066765,45.02528,true,-5.0805326
פרס,Daniel,Daniel 11:2,1,1061002,3,פרס,0.1907515,45.02528,true,-5.8129745
איראנ,Deuteronomy,Deuteronomy 1:63,1,251934,5,איראנ,0.502833,45.02528,true,-0.08643012
סינ,Deuteronomy,Deuteronomy 4:9,-1,256866,3,סינ,0.28474873,45.02528,true,-4.088171
פרס,Deuteronomy,Deuteronomy 41:6,1,274043,3,פרס,0.16962998,45.02528,true,-6.2005444
פרס,Deuteronomy,Deuteronomy 41:6,1,274047,3,פרס,0.16962998,45.02528,true,-6.2005444
פרס,Deuteronomy,Deuteronomy 41:6,1,274062,3,פרס,0.16962998,45.02528,true,-6.2005444
פרס,Deuteronomy,Deuteronomy 41:7,1,274118,3,פרס,0.1572695,45.02528,true,-6.427353
פרס,Deuteronomy,Deuteronomy 41:7,1,274163,3,פרס,0.1572695,45.02528,true,-6.427353
פרס,Deuteronomy,Deuteronomy 41:8,1,274200,3,פרס,0.16392957,45.02528,true,-6.305144
פרס,Deuteronomy,Deuteronomy 41:21,1,274364,3,פרס,0.24253178,45.02528,true,-4.8628316
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,45.02528,true,-4.520006
סינ,Deuteronomy,Deuteronomy 52:3,-1,288122,3,סינ,0.3089508,45.02528,true,-3.6440744
סינ,Deuteronomy,Deuteronomy 23:1,-1,300875,3,סינ,0.35530397,45.02528,true,-2.7935164
סינ,Deuteronomy,Deuteronomy 23:3,-1,301715,3,סינ,0.32286426,45.02528,true,-3.3887694
סינימ,Deuteronomy,Deuteronomy 23:3,-1,301715,5,סינימ,0.4726622,45.02528,true,-0.64004964
סינ,Deuteronomy,Deuteronomy 33:2,1,302871,3,סינ,0.3049136,45.02528,true,-3.7181551
סינ,Deuteronomy,Deuteronomy 33:61,-1,303518,3,סינ,0.32768145,45.02528,true,-3.3003762
פרס,Esther,Esther 1:3,1,1027356,3,פרס,0.20139356,45.02528,true,-5.6176977
סינ,Esther,Esther 1:8,-1,1027675,3,סינ,0.27331316,45.02528,true,-4.298008
פרס,Esther,Esther 1:14,1,1028078,3,פרס,0.23701373,45.02528,true,-4.964085
פרס,Esther,Esther 1:18,1,1028372,3,פרס,0.22551948,45.02528,true,-5.1749988
פרס,Esther,Esther 1:19,1,1028456,3,פרס,0.22206764,45.02528,true,-5.2383385
סינ,Esther,Esther 2:21,-1,1030277,3,סינ,0.2986319,45.02528,true,-3.8334212
סינ,Esther,Esther 3:7,-1,1030860,3,סינ,0.26932195,45.02528,true,-4.371245
סינ,Esther,Esther 6:2,-1,1033836,3,סינ,0.2821014,45.02528,true,-4.1367483
פרס,Esther,Esther 10:2,1,1039325,3,פרס,0.2289064,45.02528,true,-5.1128507
סינ,Exodus,Exodus 9:2,-1,90683,3,סינ,0.2905594,45.02528,true,-3.9815476
פרס,Exodus,Exodus 1:62,1,93146,3,פרס,0.22455856,45.02528,true,-5.1926312
סינ,Exodus,Exodus 61:1,1,101152,3,סינ,0.30334032,45.02528,true,-3.7470243
סינ,Exodus,Exodus 61:1,1,101169,3,סינ,0.30334032,45.02528,true,-3.7470243
סינ,Exodus,Exodus 71:1,1,103208,3,סינ,0.2664523,45.02528,true,-4.423901
סינ,Exodus,Exodus 91:1,1,105654,3,סינ,0.29081324,45.02528,true,-3.97689
סינ,Exodus,Exodus 91:2,1,105679,3,סינ,0.26683027,45.02528,true,-4.416966
סינ,Exodus,Exodus 91:11,1,106244,3,סינ,0.26654786,45.02528,true,-4.422148
סינ,Exodus,Exodus 91:81,1,106573,3,סינ,0.2739059,45.02528,true,-4.2871313
סינ,Exodus,Exodus 91:2,1,106691,3,סינ,0.26683027,45.02528,true,-4.416966
סינ,Exodus,Exodus 91:32,1,106852,3,סינ,0.25469583,45.02528,true,-4.639627
סינ,Exodus,Exodus 42:61,1,113291,3,סינ,0.31551093,45.02528,true,-3.5236995
סינ,Exodus,Exodus 62:11,1,115824,3,סינ,0.24616168,45.02528,true,-4.7962246
סינ,Exodus,Exodus 13:81,1,125653,3,סינ,0.28250617,45.02528,true,-4.1293206
איראנ,Exodus,Exodus 33:2,1,128885,5,איראנ,0.45030898,45.02528,true,-1.0502206
סינ,Exodus,Exodus 43:2,1,129113,3,סינ,0.31463718,45.02528,true,-3.5397322
סינ,Exodus,Exodus 43:4,1,129236,3,סינ,0.28512213,45.02528,true,-4.0813193
סינ,Exodus,Exodus 43:92,1,130607,3,סינ,0.24997936,45.02528,true,-4.726172
סינ,Exodus,Exodus 43:23,1,130815,3,סינ,0.2792673,45.02528,true,-4.188752
סינ,Exodus,Exodus 63:81,1,133763,3,סינ,0.24163038,45.02528,true,-4.8793716
סינ,Exodus,Exodus 4:63,-1,141486,3,סינ,0.29423568,45.02528,true,-3.91409
סינ,Ezekiel,Ezekiel 12:16,-1,743647,3,סינ,0.3305107,45.02528,true,-3.2484608
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,45.02528,true,-4.127748
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,45.02528,true,-3.9082134
פרס,Ezekiel,Ezekiel 26:11,1,767078,3,פרס,0.2595234,45.02528,true,-4.5510435
פרס,Ezekiel,Ezekiel 27:10,1,768197,3,פרס,0.19302171,45.02528,true,-5.771317
סינ,Ezekiel,Ezekiel 30:15,1,772970,3,סינ,0.3131019,45.02528,true,-3.5679042
סינ,Ezekiel,Ezekiel 30:16,1,773020,3,סינ,0.3266981,45.02528,true,-3.3184204
פרס,Ezekiel,Ezekiel 32:13,1,775536,3,פרס,0.2086395,45.02528,true,-5.4847383
גוג,Ezekiel,Ezekiel 38:2,1,785555,3,גוג,0.38298684,45.02528,true,-2.2855492
גוג,Ezekiel,Ezekiel 38:2,-1,785557,3,גוג,0.38298684,45.02528,true,-2.2855492
גוג,Ezekiel,Ezekiel 38:2,1,785563,3,גוג,0.38298684,45.02528,true,-2.2855492
גוג,Ezekiel,Ezekiel 38:2,-1,785565,3,גוג,0.38298684,45.02528,true,-2.2855492
גוג,Ezekiel,Ezekiel 38:3,1,785615,3,גוג,0.3378514,45.02528,true,-3.1137626
גוג,Ezekiel,Ezekiel 38:3,-1,785617,3,גוג,0.3378514,45.02528,true,-3.1137626
פרס,Ezekiel,Ezekiel 38:5,1,785722,3,פרס,0.24918601,45.02528,true,-4.7407293
גוג,Ezekiel,Ezekiel 38:14,1,786310,3,גוג,0.312352,45.02528,true,-3.581664
גוג,Ezekiel,Ezekiel 38:14,-1,786312,3,גוג,0.312352,45.02528,true,-3.581664
גוג,Ezekiel,Ezekiel 38:16,1,786504,3,גוג,0.27975863,45.02528,true,-4.1797366
גוג,Ezekiel,Ezekiel 38:16,-1,786506,3,גוג,0.27975863,45.02528,true,-4.1797366
גוג,Ezekiel,Ezekiel 38:18,1,786614,3,גוג,0.28388202,45.02528,true,-4.1040745
גוג,Ezekiel,Ezekiel 38:18,-1,786616,3,גוג,0.28388202,45.02528,true,-4.1040745
גוג,Ezekiel,Ezekiel 39:1,1,787002,3,גוג,0.32471102,45.02528,true,-3.354882
גוג,Ezekiel,Ezekiel 39:1,-1,787004,3,גוג,0.32471102,45.02528,true,-3.354882
גוג,Ezekiel,Ezekiel 39:1,1,787031,3,גוג,0.32471102,45.02528,true,-3.354882
גוג,Ezekiel,Ezekiel 39:1,-1,787033,3,גוג,0.32471102,45.02528,true,-3.354882
גוג,Ezekiel,Ezekiel 39:6,1,787244,3,גוג,0.3291278,45.02528,true,-3.2738366
גוג,Ezekiel,Ezekiel 39:6,-1,787246,3,גוג,0.3291278,45.02528,true,-3.2738366
גוג,Ezekiel,Ezekiel 39:11,1,787564,3,גוג,0.32318014,45.02528,true,-3.3829732
גוג,Ezekiel,Ezekiel 39:11,-1,787566,3,גוג,0.32318014,45.02528,true,-3.3829732
גוג,Ezekiel,Ezekiel 39:11,1,787622,3,גוג,0.32318014,45.02528,true,-3.3829732
גוג,Ezekiel,Ezekiel 39:11,-1,787624,3,גוג,0.32318014,45.02528,true,-3.3829732
גוג,Ezekiel,Ezekiel 39:11,1,787647,3,גוג,0.32318014,45.02528,true,-3.3829732
גוג,Ezekiel,Ezekiel 39:11,-1,787649,3,גוג,0.32318014,45.02528,true,-3.3829732
גוג,Ezekiel,Ezekiel 39:15,1,787869,3,גוג,0.31928232,45.02528,true,-3.4544961
גוג,Ezekiel,Ezekiel 39:15,1,787871,3,גוג,0.31928232,45.02528,true,-3.4544961
גוג,Ezekiel,Ezekiel 39:15,-1,787871,3,גוג,0.31928232,45.02528,true,-3.4544961
גוג,Ezekiel,Ezekiel 39:16,-1,787873,3,גוג,0.36882657,45.02528,true,-2.5453832
סינ,Ezekiel,Ezekiel 39:20,-1,788129,3,סינ,0.3094908,45.02528,true,-3.6341658
פרס,Ezra,Ezra 1:1,1,1064237,3,פרס,0.2637794,45.02528,true,-4.472948
פרס,Ezra,Ezra 1:1,1,1064279,3,פרס,0.2637794,45.02528,true,-4.472948
פרס,Ezra,Ezra 1:2,1,1064322,3,פרס,0.232265,45.02528,true,-5.051222
פרס,Ezra,Ezra 1:8,1,1064792,3,פרס,0.29642966,45.02528,true,-3.8738313
סינ,Ezra,Ezra 2:35,-1,1065927,3,סינ,0.2894881,45.02528,true,-4.0012054
סינ,Ezra,Ezra 2:44,-1,1066227,3,סינ,0.3686748,45.02528,true,-2.548168
סינ,Ezra,Ezra 2:53,-1,1066436,3,סינ,0.3799929,45.02528,true,-2.3404865
סינ,Ezra,Ezra 2:55,-1,1066476,3,סינ,0.4089282,45.02528,true,-1.809538
פרס,Ezra,Ezra 3:7,1,1067734,3,פרס,0.28012276,45.02528,true,-4.173055
פרס,Ezra,Ezra 4:3,1,1068611,3,פרס,0.24547324,45.02528,true,-4.808857
פרס,Ezra,Ezra 4:5,1,1068699,3,פרס,0.20917475,45.02528,true,-5.4749165
פרס,Ezra,Ezra 4:5,1,1068718,3,פרס,0.20917475,45.02528,true,-5.4749165
פרס,Ezra,Ezra 4:7,1,1068836,3,פרס,0.2165503,45.02528,true,-5.3395786
פרס,Ezra,Ezra 4:9,1,1068965,3,פרס,0.24028322,45.02528,true,-4.9040914
פרס,Ezra,Ezra 4:9,1,1068979,3,פרס,0.24028322,45.02528,true,-4.9040914
פרס,Ezra,Ezra 4:24,1,1070095,3,פרס,0.2092777,45.02528,true,-5.4730277
פרס,Ezra,Ezra 5:6,1,1070525,3,פרס,0.25047627,45.02528,true,-4.717054
פרס,Ezra,Ezra 6:6,1,1071814,3,פרס,0.24545883,45.02528,true,-4.8091216
פרס,Ezra,Ezra 6:14,1,1072498,3,פרס,0.2584525,45.02528,true,-4.570694
פרס,Ezra,Ezra 7:1,1,1073063,3,פרס,0.24523664,45.02528,true,-4.8131986
פרס,Ezra,Ezra 7:11,1,1073554,3,פרס,0.26718503,45.02528,true,-4.410456
סינ,Ezra,Ezra 7:26,1,1074613,3,סינ,0.26022226,45.02528,true,-4.53822
פרס,Ezra,Ezra 9:9,1,1077573,3,פרס,0.34243187,45.02528,true,-3.0297132
גוג,Genesis,Genesis 1:2,1,11623,3,גוג,0.33464283,45.02528,true,-3.1726384
