word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
שלומ,Daniel,Daniel 10:19,1,1060763,4,שלומ,0.33218247,70.13604,true,-98.3315
שלומ,Deuteronomy,Deuteronomy 2:62,1,253901,4,שלומ,0.3898695,70.13604,true,-67.87011
שלומ,Deuteronomy,Deuteronomy 5:11,-1,259982,4,שלומ,0.3437608,70.13604,true,-92.21762
שלומ,Deuteronomy,Deuteronomy 71:3,-1,277944,4,שלומ,0.33718738,70.13604,true,-95.688675
שלומ,Deuteronomy,Deuteronomy 91:6,-1,280667,4,שלומ,0.37166488,70.13604,true,-77.48299
שלומ,Deuteronomy,Deuteronomy 2:1,1,282037,4,שלומ,0.3593351,70.13604,true,-83.993675
שלומ,Deuteronomy,Deuteronomy 2:11,1,282047,4,שלומ,0.40905285,70.13604,true,-57.740437
שלומ,Deuteronomy,Deuteronomy 82:86,-1,295270,4,שלומ,0.3336241,70.13604,true,-97.57025
שלומ,Deuteronomy,Deuteronomy 92:81,1,296359,4,שלומ,0.32450074,70.13604,true,-102.3878
שלומ,Ecclesiastes,Ecclesiastes 3:8,1,1018680,4,שלומ,0.33336163,70.13604,true,-97.70885
שלומ,Esther,Esther 2:11,1,1029505,4,שלומ,0.36290705,70.13604,true,-82.10752
שלומ,Esther,Esther 7:4,-1,1034984,4,שלומ,0.38414526,70.13604,true,-70.89278
שלומ,Esther,Esther 9:30,1,1039075,4,שלומ,0.3468509,70.13604,true,-90.5859
שלומ,Esther,Esther 10:3,1,1039394,4,שלומ,0.33782864,70.13604,true,-95.35007
שלומ,Exodus,Exodus 4:81,1,82873,4,שלומ,0.3184771,70.13604,true,-105.56856
שלומ,Exodus,Exodus 5:7,-1,83909,4,שלומ,0.38205776,70.13604,true,-71.99508
שלומ,Exodus,Exodus 5:8,-1,83957,4,שלומ,0.37082726,70.13604,true,-77.92529
שלומ,Exodus,Exodus 5:41,-1,84298,4,שלומ,0.36782384,70.13604,true,-79.51123
שלומ,Exodus,Exodus 81:7,1,104435,4,שלומ,0.33842593,70.13604,true,-95.03466
שלומ,Exodus,Exodus 81:32,1,105425,4,שלומ,0.39836067,70.13604,true,-63.386395
שלומ,Exodus,Exodus 2:7,-1,107280,4,שלומ,0.35524765,70.13604,true,-86.15203
שלומ,Exodus,Exodus 12:63,-1,109604,4,שלומ,0.33977887,70.13604,true,-94.32025
שלומ,Exodus,Exodus 73:21,1,135263,4,שלומ,0.31239837,70.13604,true,-108.7784
שלומ,Exodus,Exodus 93:41,-1,138520,4,שלומ,0.32380778,70.13604,true,-102.753716
שלומ,Ezekiel,Ezekiel 3:26,-1,733371,4,שלומ,0.39590102,70.13604,true,-64.685196
שלומ,Ezekiel,Ezekiel 5:12,-1,735291,4,שלומ,0.36740908,70.13604,true,-79.73024
שלומ,Ezekiel,Ezekiel 7:25,1,737857,4,שלומ,0.37292737,70.13604,true,-76.81634
שלומ,Ezekiel,Ezekiel 13:10,1,744816,4,שלומ,0.36189532,70.13604,true,-82.641754
שלומ,Ezekiel,Ezekiel 13:10,1,744824,4,שלומ,0.36189532,70.13604,true,-82.641754
שלומ,Ezekiel,Ezekiel 34:25,1,780195,4,שלומ,0.3492506,70.13604,true,-89.31874
שלומ,Ezekiel,Ezekiel 37:26,1,785372,4,שלומ,0.37195185,70.13604,true,-77.33145
בניסנ,Ezra,Ezra 2:35,1,1065924,5,בניסנ,0.3926272,70.13604,true,-66.413925
שלומ,Ezra,Ezra 2:42,1,1066133,4,שלומ,0.3436705,70.13604,true,-92.2653
שלומ,Ezra,Ezra 7:2,1,1073092,4,שלומ,0.3498025,70.13604,true,-89.02732
שלומ,Ezra,Ezra 8:10,1,1075142,4,שלומ,0.37948343,70.13604,true,-73.35444
שלומ,Ezra,Ezra 10:42,1,1080077,4,שלומ,0.39301085,70.13604,true,-66.21134
שלומ,Genesis,Genesis 1:12,-1,12304,4,שלומ,0.34381962,70.13604,true,-92.186554
שלומ,Genesis,Genesis 51:51,1,18014,4,שלומ,0.32473993,70.13604,true,-102.2615
