word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
זעמ,Daniel,Daniel 8:19,1,1057195,3,זעמ,0.37103254,8.097298,true,0.0
זעמ,Daniel,Daniel 11:10,-1,1061539,3,זעמ,0.3575849,8.097298,true,0.0
זעמ,Daniel,Daniel 11:10,-1,1061543,3,זעמ,0.3575849,8.097298,true,0.0
זעמ,Daniel,Daniel 11:30,1,1062631,3,זעמ,0.36314267,8.097298,true,0.0
זעמ,Daniel,Daniel 11:36,1,1062968,3,זעמ,0.34690478,8.097298,true,0.0
זעמ,Daniel,Daniel 11:38,-1,1063045,3,זעמ,0.3201983,8.097298,true,0.0
זעמ,Daniel,Daniel 11:39,-1,1063119,3,זעמ,0.32850084,8.097298,true,0.0
זעמ,Esther,Esther 5:9,1,1033352,3,זעמ,0.31016085,8.097298,true,0.0
זעמ,Exodus,Exodus 41:12,-1,99243,3,זעמ,0.35063493,8.097298,true,0.0
זעמ,Exodus,Exodus 51:2,-1,99961,3,זעמ,0.37985635,8.097298,true,0.0
זעמ,Exodus,Exodus 32:5,-1,111123,3,זעמ,0.33174962,8.097298,true,0.0
זעמ,Ezekiel,Ezekiel 21:36,1,759806,3,זעמ,0.34925646,8.097298,true,0.0
זעמ,Ezekiel,Ezekiel 22:24,1,760993,3,זעמ,0.4034676,8.097298,true,0.0
זעמ,Ezekiel,Ezekiel 22:31,1,761375,3,זעמ,0.3339978,8.097298,true,0.0
זעמ,Ezra,Ezra 10:5,-1,1078413,3,זעמ,0.38481393,8.097298,true,0.0
זעמ,Ezra,Ezra 10:6,-1,1078468,3,זעמ,0.36064264,8.097298,true,0.0
זעמ,Ezra,Ezra 10:10,-1,1078771,3,זעמ,0.4135288,8.097298,true,0.0
זעמ,Genesis,Genesis 5:8,-1,77061,3,זעמ,0.3901094,8.097298,true,0.0
זעמ,Habakkuk,Habakkuk 3:12,1,840203,3,זעמ,0.41726172,8.097298,true,0.0
זעמ,Haggai,Haggai 1:12,-1,844213,3,זעמ,0.31331915,8.097298,true,0.0
זעמ,Hosea,Hosea 7:16,1,809851,3,זעמ,0.38138208,8.097298,true,0.0
זעמ,I Chronicles,I Chronicles 8:38,-1,1116792,3,זעמ,0.32823473,8.097298,true,0.0
זעמ,I Chronicles,I Chronicles 9:44,-1,1118966,3,זעמ,0.32851613,8.097298,true,0.0
זעמ,I Chronicles,I Chronicles 12:1,-1,1122029,3,זעמ,0.34128428,8.097298,true,0.0
זעמ,I Chronicles,I Chronicles 24:18,-1,1138765,3,זעמ,0.40984434,8.097298,true,0.0
זעמ,II Chronicles,II Chronicles 12:5,-1,1163695,3,זעמ,0.39923692,8.097298,true,0.0
זעמ,II Chronicles,II Chronicles 13:11,-1,1165249,3,זעמ,0.30535197,8.097298,true,0.0
זעמ,II Chronicles,II Chronicles 26:14,-1,1183838,3,זעמ,0.35435677,8.097298,true,0.0
זעמ,II Chronicles,II Chronicles 28:12,-1,1185883,3,זעמ,0.38550022,8.097298,true,0.0
זעמ,II Chronicles,II Chronicles 28:23,-1,1186643,3,זעמ,0.32150352,8.097298,true,0.0
זעמ,II Chronicles,II Chronicles 28:27,1,1186903,3,זעמ,0.32143742,8.097298,true,0.0
זעמ,II Kings,II Kings 8:6,-1,542372,3,זעמ,0.320219,8.097298,true,0.0
זעמ,II Kings,II Kings 13:7,1,552024,3,זעמ,0.33945197,8.097298,true,0.0
זעמ,II Kings,II Kings 13:9,1,552163,3,זעמ,0.27592003,8.097298,true,0.0
זעמ,II Kings,II Kings 16:20,1,558749,3,זעמ,0.3196227,8.097298,true,0.0
זעמ,Isaiah,Isaiah 1:4,-1,577301,3,זעמ,0.35225934,8.097298,true,0.0
זעמ,Isaiah,Isaiah 10:5,1,586999,3,זעמ,0.3611598,8.097298,true,0.0
זעמ,Isaiah,Isaiah 10:14,-1,587467,3,זעמ,0.40628338,8.097298,true,0.0
זעמ,Isaiah,Isaiah 10:25,1,588022,3,זעמ,0.34802794,8.097298,true,0.0
זעמ,Isaiah,Isaiah 13:5,1,589754,3,זעמ,0.43095976,8.097298,true,0.0
זעמ,Isaiah,Isaiah 17:9,-1,593647,3,זעמ,0.31250247,8.097298,true,0.0
זעמ,Isaiah,Isaiah 17:10,-1,593713,3,זעמ,0.30636284,8.097298,true,0.0
זעמ,Isaiah,Isaiah 23:11,-1,598542,3,זעמ,0.37369308,8.097298,true,0.0
זעמ,Isaiah,Isaiah 23:14,-1,598707,3,זעמ,0.3648818,8.097298,true,0.0
זעמ,Isaiah,Isaiah 25:3,-1,600064,3,זעמ,0.38032126,8.097298,true,0.0
זעמ,Isaiah,Isaiah 26:20,1,601401,3,זעמ,0.33098203,8.097298,true,0.0
זעמ,Isaiah,Isaiah 30:27,1,606457,3,זעמ,0.35490453,8.097298,true,0.0
זעמ,Isaiah,Isaiah 40:24,1,617094,3,זעמ,0.41285598,8.097298,true,0.0
זעמ,Isaiah,Isaiah 43:16,-1,620905,3,זעמ,0.36747968,8.097298,true,0.0
זעמ,Isaiah,Isaiah 56:11,-1,633993,3,זעמ,0.3566676,8.097298,true,0.0
זעמ,Isaiah,Isaiah 65:11,-1,641803,3,זעמ,0.324278,8.097298,true,0.0
זעמ,Isaiah,Isaiah 65:25,-1,642613,3,זעמ,0.322291,8.097298,true,0.0
זעמ,Isaiah,Isaiah 66:14,1,643529,3,זעמ,0.3697422,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 10:10,1,659289,3,זעמ,0.3832666,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 15:17,1,666403,3,זעמ,0.33687487,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 16:19,-1,667936,3,זעמ,0.35264337,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 18:22,-1,670841,3,זעמ,0.35401285,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 20:16,-1,673127,3,זעמ,0.38395843,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 22:21,-1,675426,3,זעמ,0.34939605,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 50:25,1,722773,3,זעמ,0.37363064,8.097298,true,0.0
זעמ,Jeremiah,Jeremiah 51:53,-1,726767,3,זעמ,0.37995207,8.097298,true,0.0
זעמ,Job,Job 33:9,-1,991610,3,זעמ,0.38260806,8.097298,true,0.0
זעמ,Joshua,Joshua 24:16,-1,343634,3,זעמ,0.45630085,8.097298,true,0.0
זעמ,Judges,Judges 9:30,-1,361757,3,זעמ,0.35753334,8.097298,true,0.0
זעמ,Judges,Judges 10:13,-1,364079,3,זעמ,0.41519225,8.097298,true,0.0
זעמ,Judges,Judges 14:14,-1,370253,3,זעמ,0.32611328,8.097298,true,0.0
זעמ,Lamentations,Lamentations 2:6,1,1011915,3,זעמ,0.36876193,8.097298,true,0.0
זעמ,Leviticus,Leviticus 3:21,-1,143994,3,זעמ,0.32320234,8.097298,true,0.0
זעמ,Malachi,Malachi 1:4,1,858608,3,זעמ,0.36047393,8.097298,true,0.0
זעמ,Nahum,Nahum 1:6,1,835958,3,זעמ,0.4111107,8.097298,true,0.0
זעמ,Nehemiah,Nehemiah 8:10,-1,1091987,3,זעמ,0.35755563,8.097298,true,0.0
זעמ,Nehemiah,Nehemiah 9:11,-1,1093418,3,זעמ,0.3545332,8.097298,true,0.0
זעמ,Nehemiah,Nehemiah 10:9,-1,1095562,3,זעמ,0.41222495,8.097298,true,0.0
זעמ,Nehemiah,Nehemiah 11:22,-1,1098072,3,זעמ,0.38266784,8.097298,true,0.0
זעמ,Numbers,Numbers 32:7,1,227955,3,זעמ,0.3810768,8.097298,true,0.0
זעמ,Numbers,Numbers 32:8,1,227980,3,זעמ,0.36827427,8.097298,true,0.0
זעמ,Numbers,Numbers 32:8,1,227985,3,זעמ,0.36827427,8.097298,true,0.0
זעמ,Proverbs,Proverbs 24:24,1,961320,3,זעמ,0.4344066,8.097298,true,0.0
זעמ,Proverbs,Proverbs 25:23,1,962340,3,זעמ,0.40887776,8.097298,true,0.0
זעמ,Proverbs,Proverbs 28:4,-1,964247,3,זעמ,0.42371017,8.097298,true,0.0
זעמ,Psalms,Psalms 7:12,1,864222,3,זעמ,0.4162991,8.097298,true,0.0
זעמ,Psalms,Psalms 38:4,1,880544,3,זעמ,0.42921424,8.097298,true,0.0
זעמ,Psalms,Psalms 54:6,-1,889005,3,זעמ,0.46219,8.097298,true,0.0
זעמ,Psalms,Psalms 59:10,-1,891493,3,זעמ,0.36630875,8.097298,true,0.0
