word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אייר,Amos,Amos 3:8,1,820319,4,אייר,0.2676239,29.57366,true,-4.365106
זעמ,Daniel,Daniel 8:19,1,1057195,3,זעמ,0.37103254,29.57366,true,-2.887177
זעמ,Daniel,Daniel 11:10,-1,1061539,3,זעמ,0.3575849,29.57366,true,-3.0793724
זעמ,Daniel,Daniel 11:10,-1,1061543,3,זעמ,0.3575849,29.57366,true,-3.0793724
זעמ,Daniel,Daniel 11:30,1,1062631,3,זעמ,0.36314267,29.57366,true,-2.99994
זעמ,Daniel,Daniel 11:36,1,1062968,3,זעמ,0.34690478,29.57366,true,-3.2320137
זעמ,Daniel,Daniel 11:38,-1,1063045,3,זעמ,0.3201983,29.57366,true,-3.6137064
זעמ,Daniel,Daniel 11:39,-1,1063119,3,זעמ,0.32850084,29.57366,true,-3.4950452
אייר,Ecclesiastes,Ecclesiastes 6:2,-1,1021379,4,אייר,0.25351372,29.57366,true,-4.5667706
זעמ,Esther,Esther 5:9,1,1033352,3,זעמ,0.31016085,29.57366,true,-3.7571628
אייר,Exodus,Exodus 1:5,1,78168,4,אייר,0.22870588,29.57366,true,-4.921327
זעמ,Exodus,Exodus 41:12,-1,99243,3,זעמ,0.35063493,29.57366,true,-3.178702
זעמ,Exodus,Exodus 51:2,-1,99961,3,זעמ,0.37985635,29.57366,true,-2.761066
זעמ,Exodus,Exodus 32:5,-1,111123,3,זעמ,0.33174962,29.57366,true,-3.4486134
זעמ,Ezekiel,Ezekiel 21:36,1,759806,3,זעמ,0.34925646,29.57366,true,-3.1984034
זעמ,Ezekiel,Ezekiel 22:24,1,760993,3,זעמ,0.4034676,29.57366,true,-2.423611
זעמ,Ezekiel,Ezekiel 22:31,1,761375,3,זעמ,0.3339978,29.57366,true,-3.4164822
זעמ,Ezra,Ezra 10:5,-1,1078413,3,זעמ,0.38481393,29.57366,true,-2.6902115
זעמ,Ezra,Ezra 10:6,-1,1078468,3,זעמ,0.36064264,29.57366,true,-3.0356705
זעמ,Ezra,Ezra 10:10,-1,1078771,3,זעמ,0.4135288,29.57366,true,-2.279815
