word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אייר,Amos,Amos 3:8,1,820319,4,אייר,0.2676239,29.439034,true,-4.3585243
זעמ,Daniel,Daniel 8:19,1,1057195,3,זעמ,0.37103254,29.439034,true,-2.895229
זעמ,Daniel,Daniel 11:10,-1,1061539,3,זעמ,0.3575849,29.439034,true,-3.0855215
זעמ,Daniel,Daniel 11:10,-1,1061543,3,זעמ,0.3575849,29.439034,true,-3.0855215
זעמ,Daniel,Daniel 11:30,1,1062631,3,זעמ,0.36314267,29.439034,true,-3.0068755
זעמ,Daniel,Daniel 11:36,1,1062968,3,זעמ,0.34690478,29.439034,true,-3.2366517
זעמ,Daniel,Daniel 11:38,-1,1063045,3,זעמ,0.3201983,29.439034,true,-3.6145647
זעמ,Daniel,Daniel 11:39,-1,1063119,3,זעמ,0.32850084,29.439034,true,-3.4970787
לבנונ,Deuteronomy,Deuteronomy 1:7,1,250313,5,לבנונ,0.31471765,29.439034,true,-3.6921191
לבנונ,Deuteronomy,Deuteronomy 11:42,1,269983,5,לבנונ,0.3374881,29.439034,true,-3.369903
אייר,Ecclesiastes,Ecclesiastes 6:2,-1,1021379,4,אייר,0.25351372,29.439034,true,-4.558192
זעמ,Esther,Esther 5:9,1,1033352,3,זעמ,0.31016085,29.439034,true,-3.7566006
אייר,Exodus,Exodus 1:5,1,78168,4,אייר,0.22870588,29.439034,true,-4.909238
זעמ,Exodus,Exodus 41:12,-1,99243,3,זעמ,0.35063493,29.439034,true,-3.1838677
זעמ,Exodus,Exodus 51:2,-1,99961,3,זעמ,0.37985635,29.439034,true,-2.770367
זעמ,Exodus,Exodus 32:5,-1,111123,3,זעמ,0.33174962,29.439034,true,-3.4511063
לבנונ,Ezekiel,Ezekiel 17:3,1,751280,5,לבנונ,0.35640895,29.439034,true,-3.102162
זעמ,Ezekiel,Ezekiel 21:36,1,759806,3,זעמ,0.34925646,29.439034,true,-3.203374
זעמ,Ezekiel,Ezekiel 22:24,1,760993,3,זעמ,0.4034676,29.439034,true,-2.4362533
זעמ,Ezekiel,Ezekiel 22:31,1,761375,3,זעמ,0.3339978,29.439034,true,-3.4192934
לבנונ,Ezekiel,Ezekiel 27:5,1,767968,5,לבנונ,0.33823124,29.439034,true,-3.3593876
לבנונ,Ezekiel,Ezekiel 31:3,1,773716,5,לבנונ,0.34229827,29.439034,true,-3.3018365
לבנונ,Ezekiel,Ezekiel 31:15,1,774567,5,לבנונ,0.41094932,29.439034,true,-2.3303823
לבנונ,Ezekiel,Ezekiel 31:16,1,774664,5,לבנונ,0.3742521,29.439034,true,-2.8496702
לבנונ,Ezra,Ezra 3:7,1,1067708,5,לבנונ,0.37285602,29.439034,true,-2.8694258
זעמ,Ezra,Ezra 10:5,-1,1078413,3,זעמ,0.38481393,29.439034,true,-2.700214
זעמ,Ezra,Ezra 10:6,-1,1078468,3,זעמ,0.36064264,29.439034,true,-3.0422525
זעמ,Ezra,Ezra 10:10,-1,1078771,3,זעמ,0.4135288,29.439034,true,-2.2938812
אייר,Genesis,Genesis 51:4,1,17507,4,אייר,0.3028465,29.439034,true,-3.8601031
אייר,Genesis,Genesis 51:4,1,17532,4,אייר,0.3028465,29.439034,true,-3.8601031
אייר,Genesis,Genesis 12:1,1,25754,4,אייר,0.22654471,29.439034,true,-4.93982
אייר,Genesis,Genesis 64:62,1,71391,4,אייר,0.21239436,29.439034,true,-5.140056
זעמ,Genesis,Genesis 5:8,-1,77061,3,זעמ,0.3901094,29.439034,true,-2.6252801
לבנונ,Habakkuk,Habakkuk 2:17,1,839522,5,לבנונ,0.3638696,29.439034,true,-2.996589
זעמ,Habakkuk,Habakkuk 3:12,1,840203,3,זעמ,0.41726172,29.439034,true,-2.241058
זעמ,Haggai,Haggai 1:12,-1,844213,3,זעמ,0.31331915,29.439034,true,-3.7119088
זעמ,Hosea,Hosea 7:16,1,809851,3,זעמ,0.38138208,29.439034,true,-2.748777
לבנונ,Hosea,Hosea 14:6,1,814173,5,לבנונ,0.38336056,29.439034,true,-2.7207801
לבנונ,Hosea,Hosea 14:7,1,814208,5,לבנונ,0.39958322,29.439034,true,-2.4912195
לבנונ,Hosea,Hosea 14:8,1,814250,5,לבנונ,0.42914665,29.439034,true,-2.072879
זעמ,I Chronicles,I Chronicles 8:38,-1,1116792,3,זעמ,0.32823473,29.439034,true,-3.5008442
זעמ,I Chronicles,I Chronicles 9:44,-1,1118966,3,זעמ,0.32851613,29.439034,true,-3.4968622
זעמ,I Chronicles,I Chronicles 12:1,-1,1122029,3,זעמ,0.34128428,29.439034,true,-3.3161852
זעמ,I Chronicles,I Chronicles 24:18,-1,1138765,3,זעמ,0.40984434,29.439034,true,-2.3460186
לבנונ,I Kings,I Kings 5:13,1,487481,5,לבנונ,0.32888812,29.439034,true,-3.4915984
לבנונ,I Kings,I Kings 5:20,1,487920,5,לבנונ,0.35904184,29.439034,true,-3.064905
לבנונ,I Kings,I Kings 5:23,1,488157,5,לבנונ,0.32341665,29.439034,true,-3.569023
לבנונ,I Kings,I Kings 5:28,1,488461,5,לבנונ,0.3368106,29.439034,true,-3.3794906
לבנונ,I Kings,I Kings 5:28,1,488494,5,לבנונ,0.3368106,29.439034,true,-3.3794906
לבנונ,I Kings,I Kings 7:2,1,490882,5,לבנונ,0.3349041,29.439034,true,-3.4064684
לבנונ,I Kings,I Kings 9:19,1,499746,5,לבנונ,0.32772505,29.439034,true,-3.5080564
