word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
זעמ,Daniel,Daniel 8:19,1,1057195,3,זעמ,0.37103254,5.1557794,true,-83.45679
זעמ,Daniel,Daniel 11:10,-1,1061539,3,זעמ,0.3575849,5.1557794,true,-92.63169
זעמ,Daniel,Daniel 11:10,-1,1061543,3,זעמ,0.3575849,5.1557794,true,-92.63169
זעמ,Daniel,Daniel 11:30,1,1062631,3,זעמ,0.36314267,5.1557794,true,-88.8398
זעמ,Daniel,Daniel 11:36,1,1062968,3,זעמ,0.34690478,5.1557794,true,-99.918396
זעמ,Daniel,Daniel 11:38,-1,1063045,3,זעמ,0.3201983,5.1557794,true,-118.1394
זעמ,Daniel,Daniel 11:39,-1,1063119,3,זעמ,0.32850084,5.1557794,true,-112.47484
זעמ,Esther,Esther 5:9,1,1033352,3,זעמ,0.31016085,5.1557794,true,-124.98764
זעמ,Exodus,Exodus 41:12,-1,99243,3,זעמ,0.35063493,5.1557794,true,-97.373436
זעמ,Exodus,Exodus 51:2,-1,99961,3,זעמ,0.37985635,5.1557794,true,-77.43658
זעמ,Exodus,Exodus 32:5,-1,111123,3,זעמ,0.33174962,5.1557794,true,-110.25829
זעמ,Ezekiel,Ezekiel 21:36,1,759806,3,זעמ,0.34925646,5.1557794,true,-98.31393
זעמ,Ezekiel,Ezekiel 22:24,1,760993,3,זעמ,0.4034676,5.1557794,true,-61.32736
זעמ,Ezekiel,Ezekiel 22:31,1,761375,3,זעמ,0.3339978,5.1557794,true,-108.72444
זעמ,Ezra,Ezra 10:5,-1,1078413,3,זעמ,0.38481393,5.1557794,true,-74.05417
זעמ,Ezra,Ezra 10:6,-1,1078468,3,זעמ,0.36064264,5.1557794,true,-90.54549
זעמ,Ezra,Ezra 10:10,-1,1078771,3,זעמ,0.4135288,5.1557794,true,-54.462914
זעמ,Genesis,Genesis 5:8,-1,77061,3,זעמ,0.3901094,5.1557794,true,-70.441246
