word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
דמשק,Amos,Amos 1:3,1,818418,4,דמשק,0.2634427,50.746704,true,-52.15646
דמשק,Amos,Amos 1:5,1,818504,4,דמשק,0.25732836,50.746704,true,-53.41234
דמשק,Amos,Amos 3:12,1,820607,4,דמשק,0.24113718,50.746704,true,-56.737995
דמשק,Amos,Amos 5:27,1,822849,4,דמשק,0.19094853,50.746704,true,-67.04671
שלומ,Daniel,Daniel 10:19,1,1060763,4,שלומ,0.33218247,50.746704,true,-38.037354
שלומ,Deuteronomy,Deuteronomy 2:62,1,253901,4,שלומ,0.3898695,50.746704,true,-26.188475
שלומ,Deuteronomy,Deuteronomy 5:11,-1,259982,4,שלומ,0.3437608,50.746704,true,-35.659176
שלומ,Deuteronomy,Deuteronomy 71:3,-1,277944,4,שלומ,0.33718738,50.746704,true,-37.00935
שלומ,Deuteronomy,Deuteronomy 91:6,-1,280667,4,שלומ,0.37166488,50.746704,true,-29.927694
שלומ,Deuteronomy,Deuteronomy 2:1,1,282037,4,שלומ,0.3593351,50.746704,true,-32.460224
שלומ,Deuteronomy,Deuteronomy 2:11,1,282047,4,שלומ,0.40905285,50.746704,true,-22.24823
שלומ,Deuteronomy,Deuteronomy 82:86,-1,295270,4,שלומ,0.3336241,50.746704,true,-37.741245
שלומ,Deuteronomy,Deuteronomy 92:81,1,296359,4,שלומ,0.32450074,50.746704,true,-39.615177
שלומ,Ecclesiastes,Ecclesiastes 3:8,1,1018680,4,שלומ,0.33336163,50.746704,true,-37.79516
שלומ,Esther,Esther 2:11,1,1029505,4,שלומ,0.36290705,50.746704,true,-31.726545
שלומ,Esther,Esther 7:4,-1,1034984,4,שלומ,0.38414526,50.746704,true,-27.364233
שלומ,Esther,Esther 9:30,1,1039075,4,שלומ,0.3468509,50.746704,true,-35.024467
שלומ,Esther,Esther 10:3,1,1039394,4,שלומ,0.33782864,50.746704,true,-36.877636
שלומ,Exodus,Exodus 4:81,1,82873,4,שלומ,0.3184771,50.746704,true,-40.85243
שלומ,Exodus,Exodus 5:7,-1,83909,4,שלומ,0.38205776,50.746704,true,-27.793005
שלומ,Exodus,Exodus 5:8,-1,83957,4,שלומ,0.37082726,50.746704,true,-30.099741
שלומ,Exodus,Exodus 5:41,-1,84298,4,שלומ,0.36782384,50.746704,true,-30.71664
שלומ,Exodus,Exodus 81:7,1,104435,4,שלומ,0.33842593,50.746704,true,-36.75495
