word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
חוב,Daniel,Daniel 9:25,1,1059411,3,חוב,0.2166942,8.258547,true,-11.68988
חוב,Daniel,Daniel 9:25,-1,1059415,3,חוב,0.2166942,8.258547,true,-11.68988
חוב,Daniel,Daniel 10:7,1,1060046,3,חוב,0.1872458,8.258547,true,-12.820817
חוב,Deuteronomy,Deuteronomy 1:52,1,251316,3,חוב,0.24184653,8.258547,true,-10.723929
חוב,Deuteronomy,Deuteronomy 82:13,-1,293073,3,חוב,0.21784884,8.258547,true,-11.645537
חוב,Ecclesiastes,Ecclesiastes 4:16,1,1020185,3,חוב,0.1887298,8.258547,true,-12.763825
חוב,Ecclesiastes,Ecclesiastes 8:10,1,1023471,3,חוב,0.22509056,8.258547,true,-11.367426
חוב,Ecclesiastes,Ecclesiastes 9:18,-1,1025170,3,חוב,0.2086966,8.258547,true,-11.99702
חוב,Ecclesiastes,Ecclesiastes 10:3,-1,1025282,3,חוב,0.21077599,8.258547,true,-11.917163
חוב,Esther,Esther 4:6,1,1032001,3,חוב,0.21263354,8.258547,true,-11.845826
חוב,Esther,Esther 4:11,-1,1032371,3,חוב,0.25408167,8.258547,true,-10.254051
חוב,Esther,Esther 6:9,1,1034321,3,חוב,0.21367818,8.258547,true,-11.805707
חוב,Esther,Esther 6:11,1,1034496,3,חוב,0.21335457,8.258547,true,-11.818135
חוב,Esther,Esther 9:22,1,1038366,3,חוב,0.22366974,8.258547,true,-11.421991
חוב,Exodus,Exodus 2:32,1,80186,3,חוב,0.21183687,8.258547,true,-11.876421
מרחב,Exodus,Exodus 81:52,-1,105462,4,מרחב,0.22068936,8.258547,true,-11.53645
חוב,Exodus,Exodus 62:6,-1,115535,3,חוב,0.19629401,8.258547,true,-12.47333
חוב,Exodus,Exodus 92:13,1,122284,3,חוב,0.2280429,8.258547,true,-11.254045
חוב,Ezekiel,Ezekiel 5:17,-1,735658,3,חוב,0.20638074,8.258547,true,-12.0859585
חוב,Ezekiel,Ezekiel 14:21,-1,747068,3,חוב,0.21179529,8.258547,true,-11.878018
חוב,Ezekiel,Ezekiel 16:24,1,748891,3,חוב,0.23292929,8.258547,true,-11.066387
חוב,Ezekiel,Ezekiel 16:31,1,749241,3,חוב,0.21868965,8.258547,true,-11.613247
חוב,Ezekiel,Ezekiel 18:7,1,752929,3,חוב,0.24149911,8.258547,true,-10.737272
חוב,Ezekiel,Ezekiel 22:12,1,760389,3,חוב,0.197978,8.258547,true,-12.408657
חוב,Ezekiel,Ezekiel 28:26,1,770812,3,חוב,0.21273826,8.258547,true,-11.8418045
