word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
סינ,Daniel,Daniel 5:25,1,1051514,3,סינ,0.26788977,1.5960126,false,-61.425816
סינ,Daniel,Daniel 9:19,-1,1058931,3,סינ,0.29499876,1.5960126,false,-55.29396
סינ,Deuteronomy,Deuteronomy 4:9,-1,256866,3,סינ,0.28474873,1.5960126,false,-57.612442
סינ,Deuteronomy,Deuteronomy 52:3,-1,288122,3,סינ,0.3089508,1.5960126,false,-52.13811
סינ,Deuteronomy,Deuteronomy 23:1,-1,300875,3,סינ,0.35530397,1.5960126,false,-41.653366
סינ,Deuteronomy,Deuteronomy 23:3,-1,301715,3,סינ,0.32286426,1.5960126,false,-48.99099
סינ,Deuteronomy,Deuteronomy 33:2,1,302871,3,סינ,0.3049136,1.5960126,false,-53.051296
סינ,Deuteronomy,Deuteronomy 33:61,-1,303518,3,סינ,0.32768145,1.5960126,false,-47.90138
סינ,Esther,Esther 1:8,-1,1027675,3,סינ,0.27331316,1.5960126,false,-60.199085
סינ,Esther,Esther 2:21,-1,1030277,3,סינ,0.2986319,1.5960126,false,-54.47217
סינ,Esther,Esther 3:7,-1,1030860,3,סינ,0.26932195,1.5960126,false,-61.101868
סינ,Esther,Esther 6:2,-1,1033836,3,סינ,0.2821014,1.5960126,false,-58.211254
סינ,Exodus,Exodus 9:2,-1,90683,3,סינ,0.2905594,1.5960126,false,-56.29811
סינ,Exodus,Exodus 61:1,1,101152,3,סינ,0.30334032,1.5960126,false,-53.407166
סינ,Exodus,Exodus 61:1,1,101169,3,סינ,0.30334032,1.5960126,false,-53.407166
סינ,Exodus,Exodus 71:1,1,103208,3,סינ,0.2664523,1.5960126,false,-61.750957
סינ,Exodus,Exodus 91:1,1,105654,3,סינ,0.29081324,1.5960126,false,-56.240696
סינ,Exodus,Exodus 91:2,1,105679,3,סינ,0.26683027,1.5960126,false,-61.66547
סינ,Exodus,Exodus 91:11,1,106244,3,סינ,0.26654786,1.5960126,false,-61.729347
סינ,Exodus,Exodus 91:81,1,106573,3,סינ,0.2739059,1.5960126,false,-60.06501
סינ,Exodus,Exodus 91:2,1,106691,3,סינ,0.26683027,1.5960126,false,-61.66547
סינ,Exodus,Exodus 91:32,1,106852,3,סינ,0.25469583,1.5960126,false,-64.41019
סינ,Exodus,Exodus 42:61,1,113291,3,סינ,0.31551093,1.5960126,false,-50.654263
סינ,Exodus,Exodus 62:11,1,115824,3,סינ,0.24616168,1.5960126,false,-66.34055
סינ,Exodus,Exodus 13:81,1,125653,3,סינ,0.28250617,1.5960126,false,-58.119694
סינ,Exodus,Exodus 43:2,1,129113,3,סינ,0.31463718,1.5960126,false,-50.851894
סינ,Exodus,Exodus 43:4,1,129236,3,סינ,0.28512213,1.5960126,false,-57.527985
סינ,Exodus,Exodus 43:92,1,130607,3,סינ,0.24997936,1.5960126,false,-65.47702
סינ,Exodus,Exodus 43:23,1,130815,3,סינ,0.2792673,1.5960126,false,-58.8523
סינ,Exodus,Exodus 63:81,1,133763,3,סינ,0.24163038,1.5960126,false,-67.3655
סינ,Exodus,Exodus 4:63,-1,141486,3,סינ,0.29423568,1.5960126,false,-55.466568
סינ,Ezekiel,Ezekiel 12:16,-1,743647,3,סינ,0.3305107,1.5960126,false,-47.26142
סינ,Ezekiel,Ezekiel 30:15,1,772970,3,סינ,0.3131019,1.5960126,false,-51.19917
סינ,Ezekiel,Ezekiel 30:16,1,773020,3,סינ,0.3266981,1.5960126,false,-48.123806
סינ,Ezekiel,Ezekiel 39:20,-1,788129,3,סינ,0.3094908,1.5960126,false,-52.01597
סינ,Ezra,Ezra 2:35,-1,1065927,3,סינ,0.2894881,1.5960126,false,-56.540432
סינ,Ezra,Ezra 2:44,-1,1066227,3,סינ,0.3686748,1.5960126,false,-38.628983
