word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אייר,Amos,Amos 3:8,1,820319,4,אייר,0.2676239,16.535822,true,-4.232788
זעמ,Daniel,Daniel 8:19,1,1057195,3,זעמ,0.37103254,16.535822,true,-2.7991881
זעמ,Daniel,Daniel 11:10,-1,1061539,3,זעמ,0.3575849,16.535822,true,-2.9856188
זעמ,Daniel,Daniel 11:10,-1,1061543,3,זעמ,0.3575849,16.535822,true,-2.9856188
זעמ,Daniel,Daniel 11:30,1,1062631,3,זעמ,0.36314267,16.535822,true,-2.9085689
זעמ,Daniel,Daniel 11:36,1,1062968,3,זעמ,0.34690478,16.535822,true,-3.1336818
זעמ,Daniel,Daniel 11:38,-1,1063045,3,זעמ,0.3201983,16.535822,true,-3.5039258
זעמ,Daniel,Daniel 11:39,-1,1063119,3,זעמ,0.32850084,16.535822,true,-3.388824
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,16.535822,true,-4.3216395
אייר,Ecclesiastes,Ecclesiastes 6:2,-1,1021379,4,אייר,0.25351372,16.535822,true,-4.4284034
זעמ,Esther,Esther 5:9,1,1033352,3,זעמ,0.31016085,16.535822,true,-3.6430793
אייר,Exodus,Exodus 1:5,1,78168,4,אייר,0.22870588,16.535822,true,-4.7723255
זעמ,Exodus,Exodus 41:12,-1,99243,3,זעמ,0.35063493,16.535822,true,-3.0819693
זעמ,Exodus,Exodus 51:2,-1,99961,3,זעמ,0.37985635,16.535822,true,-2.6768596
זעמ,Exodus,Exodus 32:5,-1,111123,3,זעמ,0.33174962,16.535822,true,-3.3437846
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,16.535822,true,-4.02528
זעמ,Ezekiel,Ezekiel 21:36,1,759806,3,זעמ,0.34925646,16.535822,true,-3.1010797
זעמ,Ezekiel,Ezekiel 22:24,1,760993,3,זעמ,0.4034676,16.535822,true,-2.3495264
זעמ,Ezekiel,Ezekiel 22:31,1,761375,3,זעמ,0.3339978,16.535822,true,-3.3126173
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,16.535822,true,-3.8594172
