word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,-0.2928641,false,-5.5159545
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,-0.2928641,false,-5.0390987
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,-0.2928641,false,-4.7722178
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,-0.2928641,false,-6.1809864
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,-0.2928641,false,-5.7343874
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,-0.2928641,false,-5.785111
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,-0.2928641,false,-4.813879
תשפו,Malachi,Malachi 3:20,-1,861624,4,תשפו,0.31063774,-0.2928641,false,-4.4134817
תשפו,Proverbs,Proverbs 31:13,-1,967297,4,תשפו,0.35624677,-0.2928641,false,-3.3960848
האייר,Deuteronomy,Deuteronomy 2:11,2,253070,5,האייר,0.19976848,-0.2928641,false,-6.886634
האייר,Ezekiel,Ezekiel 34:13,-2,779540,5,האייר,0.27114388,-0.2928641,false,-5.2944684
האייר,Ezekiel,Ezekiel 45:16,-2,799286,5,האייר,0.32113382,-0.2928641,false,-4.1793466
תשפו,I Samuel,I Samuel 25:20,-2,426070,4,תשפו,0.2608703,-0.2928641,false,-5.52364
תשפו,Judges,Judges 7:22,2,357508,4,תשפו,0.30797213,-0.2928641,false,-4.4729433
תשפו,Leviticus,Leviticus 62:61,2,183028,4,תשפו,0.2705728,-0.2928641,false,-5.307207
האייר,Deuteronomy,Deuteronomy 21:82,3,272331,5,האייר,0.24244443,-0.2928641,false,-5.9346647
האייר,Exodus,Exodus 32:2,3,111003,5,האייר,0.30001134,-0.2928641,false,-4.650524
תשפו,Ezekiel,Ezekiel 17:19,3,752244,4,תשפו,0.26862967,-0.2928641,false,-5.3505526
האייר,Genesis,Genesis 71:8,3,19476,5,האייר,0.27155268,-0.2928641,false,-5.2853494
תשפו,Genesis,Genesis 22:22,-3,28235,4,תשפו,0.2839031,-0.2928641,false,-5.0098495
האייר,Genesis,Genesis 92:1,-3,39833,5,האייר,0.25385845,-0.2928641,false,-5.680053
האייר,I Kings,I Kings 11:43,3,504684,5,האייר,0.2595025,-0.2928641,false,-5.5541515
האייר,I Samuel,I Samuel 10:7,-3,397394,5,האייר,0.25964642,-0.2928641,false,-5.5509415
האייר,II Chronicles,II Chronicles 9:31,3,1160946,5,האייר,0.27724078,-0.2928641,false,-5.1584654
האייר,II Chronicles,II Chronicles 14:8,-3,1166426,5,האייר,0.31733724,-0.2928641,false,-4.2640367
תשפו,II Chronicles,II Chronicles 21:19,-3,1176488,4,תשפו,0.25340462,-0.2928641,false,-5.690177
האייר,II Samuel,II Samuel 16:3,3,461034,5,האייר,0.26158297,-0.2928641,false,-5.507743
האייר,Exodus,Exodus 7:1,-4,86348,5,האייר,0.28476197,-0.2928641,false,-4.9906907
האייר,Exodus,Exodus 1:21,-4,92300,5,האייר,0.21825205,-0.2928641,false,-6.4743223
האייר,Exodus,Exodus 3:22,-4,124140,5,האייר,0.29088235,-0.2928641,false,-4.8541636
תשפו,Ezekiel,Ezekiel 41:3,-4,791972,4,תשפו,0.2582993,-0.2928641,false,-5.5809917
האייר,Genesis,Genesis 13:12,-4,44656,5,האייר,0.37293404,-0.2928641,false,-3.023843
האייר,Isaiah,Isaiah 36:20,-4,611992,5,האייר,0.32323587,-0.2928641,false,-4.1324563
האייר,Lamentations,Lamentations 1:1,-4,1010144,5,האייר,0.32375047,-0.2928641,false,-4.1209774
האייר,Leviticus,Leviticus 51:1,-4,164300,5,האייר,0.28589207,-0.2928641,false,-4.9654818
האייר,Numbers,Numbers 51:1,-4,213332,5,האייר,0.31030458,-0.2928641,false,-4.4209137
האייר,Numbers,Numbers 52:4,-4,230296,5,האייר,0.32313704,-0.2928641,false,-4.1346607
תשפו,Numbers,Numbers 62:45,4,233352,4,תשפו,0.27966836,-0.2928641,false,-5.1043134
האייר,Psalms,Psalms 40:6,-4,881872,5,האייר,0.31250513,-0.2928641,false,-4.371826
האייר,Amos,Amos 3:7,5,820290,5,האייר,0.34614092,-0.2928641,false,-3.621515
האייר,Genesis,Genesis 22:41,5,27840,5,האייר,0.3253627,-0.2928641,false,-4.085013
