word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,20.959648,true,-3.6572223
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,20.959648,true,-3.353419
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,20.959648,true,-3.18339
השקר,Habakkuk,Habakkuk 2:18,1,839599,4,השקר,0.321427,20.959648,true,-2.8015077
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,20.959648,true,-4.0809116
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,20.959648,true,-3.7963848
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,20.959648,true,-3.8287008
השקר,Isaiah,Isaiah 9:14,1,586421,4,השקר,0.3275561,20.959648,true,-2.7144027
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,20.959648,true,-3.2099326
השקר,Jeremiah,Jeremiah 6:13,1,652962,4,השקר,0.28366327,20.959648,true,-3.338193
השקר,Jeremiah,Jeremiah 7:4,1,654037,4,השקר,0.27260235,20.959648,true,-3.4953868
השקר,Jeremiah,Jeremiah 7:8,1,654270,4,השקר,0.30523598,20.959648,true,-3.0316088
השקר,Jeremiah,Jeremiah 8:10,1,656677,4,השקר,0.31940663,20.959648,true,-2.8302202
השקר,Jeremiah,Jeremiah 23:26,1,677490,4,השקר,0.29095864,20.959648,true,-3.2345135
תשפו,Malachi,Malachi 3:20,-1,861624,4,תשפו,0.31063774,20.959648,true,-2.9548407
תשפו,Proverbs,Proverbs 31:13,-1,967297,4,תשפו,0.35624677,20.959648,true,-2.3066607
השקר,Proverbs,Proverbs 31:29,1,967755,4,השקר,0.33304828,20.959648,true,-2.6363497
השקר,Psalms,Psalms 119:86,1,928231,4,השקר,0.34749162,20.959648,true,-2.4310858
השקר,Exodus,Exodus 93:3,-2,139298,4,השקר,0.2617303,20.959648,true,-3.6498966
תשפו,I Samuel,I Samuel 25:20,-2,426070,4,תשפו,0.2608703,20.959648,true,-3.6621187
תשפו,Judges,Judges 7:22,2,357508,4,תשפו,0.30797213,20.959648,true,-2.9927235
השקר,Lamentations,Lamentations 2:7,-2,1011948,4,השקר,0.2935844,20.959648,true,-3.197197
השקר,Leviticus,Leviticus 32:7,-2,176444,4,השקר,0.3000339,20.959648,true,-3.105539
השקר,Leviticus,Leviticus 32:12,-2,177250,4,השקר,0.2856347,20.959648,true,-3.3101757
השקר,Leviticus,Leviticus 32:72,-2,177548,4,השקר,0.28299424,20.959648,true,-3.3477008
תשפו,Leviticus,Leviticus 62:61,2,183028,4,תשפו,0.2705728,20.959648,true,-3.52423
קושנר,Micah,Micah 6:12,2,834524,5,קושנר,0.33884758,20.959648,true,-2.5539322
השקר,Numbers,Numbers 92:1,-2,236636,4,השקר,0.30302462,20.959648,true,-3.063036
השקר,Numbers,Numbers 92:21,-2,237174,4,השקר,0.3063671,20.959648,true,-3.0155337
השקר,Zechariah,Zechariah 8:4,-2,851598,4,השקר,0.2553521,20.959648,true,-3.7405415
תשפו,Ezekiel,Ezekiel 17:19,3,752244,4,תשפו,0.26862967,20.959648,true,-3.5518453
השקר,Ezekiel,Ezekiel 39:14,-3,787796,4,השקר,0.25882617,20.959648,true,-3.6911695
