word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
אייר,Amos,Amos 3:8,1,820319,4,אייר,0.2676239,39.97294,true,-69.56081
אייר,Ecclesiastes,Ecclesiastes 6:2,-1,1021379,4,אייר,0.25351372,39.97294,true,-72.22486
אייר,Exodus,Exodus 1:5,1,78168,4,אייר,0.22870588,39.97294,true,-76.90867
אייר,Genesis,Genesis 51:4,1,17507,4,אייר,0.3028465,39.97294,true,-62.910664
אייר,Genesis,Genesis 51:4,1,17532,4,אייר,0.3028465,39.97294,true,-62.910664
אייר,Genesis,Genesis 12:1,1,25754,4,אייר,0.22654471,39.97294,true,-77.3167
אייר,Genesis,Genesis 64:62,1,71391,4,אייר,0.21239436,39.97294,true,-79.988335
אייר,II Chronicles,II Chronicles 35:26,-1,1201079,4,אייר,0.2288983,39.97294,true,-76.87234
אייר,II Kings,II Kings 10:29,1,548253,4,אייר,0.26966223,39.97294,true,-69.175964
אייר,II Kings,II Kings 23:28,-1,573149,4,אייר,0.26015908,39.97294,true,-70.97019
אייר,Jeremiah,Jeremiah 23:4,1,676181,4,אייר,0.24721082,39.97294,true,-73.41487
אייר,Jeremiah,Jeremiah 23:14,1,676775,4,אייר,0.23190022,39.97294,true,-76.305565
אייר,Jeremiah,Jeremiah 23:15,1,676920,4,אייר,0.19724444,39.97294,true,-82.848694
אייר,Judges,Judges 8:30,1,359656,4,אייר,0.26934347,39.97294,true,-69.23615
אייר,Psalms,Psalms 27:3,1,873715,4,אייר,0.2514851,39.97294,true,-72.60787
אייר,Psalms,Psalms 64:5,1,893485,4,אייר,0.2933218,39.97294,true,-64.70896
אייר,Psalms,Psalms 112:7,1,923652,4,אייר,0.31383353,39.97294,true,-60.836273
אייר,Psalms,Psalms 112:8,1,923680,4,אייר,0.3205063,39.97294,true,-59.57643
אייר,Psalms,Psalms 129:1,-1,932441,4,אייר,0.286237,39.97294,true,-66.04659
אייר,Deuteronomy,Deuteronomy 2:11,2,253072,4,אייר,0.24886647,39.97294,true,-73.10228
אייר,Ecclesiastes,Ecclesiastes 12:1,2,1026528,4,אייר,0.23889765,39.97294,true,-74.98442
אייר,Esther,Esther 2:12,2,1029590,4,אייר,0.22394614,39.97294,true,-77.80732
אייר,Esther,Esther 3:15,-2,1031566,4,אייר,0.22593014,39.97294,true,-77.43273
אייר,Esther,Esther 8:6,-2,1035944,4,אייר,0.24577107,39.97294,true,-73.6867
אייר,Ezekiel,Ezekiel 4:4,-2,733752,4,אייר,0.21843629,39.97294,true,-78.8476
אייר,Ezekiel,Ezekiel 4:9,-2,734082,4,אייר,0.25675255,39.97294,true,-71.61336
אייר,Ezekiel,Ezekiel 9:8,2,739874,4,אייר,0.26859742,39.97294,true,-69.37701
אייר,Ezekiel,Ezekiel 34:13,-2,779538,4,אייר,0.25935027,39.97294,true,-71.1229
אייר,Ezekiel,Ezekiel 45:16,-2,799284,4,אייר,0.30287176,39.97294,true,-62.90589
אייר,Genesis,Genesis 3:52,-2,42544,4,אייר,0.2607522,39.97294,true,-70.85821
אייר,Hosea,Hosea 13:15,2,813832,4,אייר,0.22962783,39.97294,true,-76.7346
אייר,I Chronicles,I Chronicles 7:6,-2,1114150,4,אייר,0.23102331,39.97294,true,-76.47113
אייר,I Kings,I Kings 7:21,2,492144,4,אייר,0.20227173,39.97294,true,-81.89952
אייר,I Kings,I Kings 9:13,2,499400,4,אייר,0.21788985,39.97294,true,-78.95077
אייר,I Kings,I Kings 12:11,2,505458,4,אייר,0.2360152,39.97294,true,-75.52864
אייר,I Kings,I Kings 12:14,2,505654,4,אייר,0.2310107,39.97294,true,-76.4735
אייר,I Samuel,I Samuel 18:18,2,414130,4,אייר,0.27556857,39.97294,true,-68.06083
אייר,I Samuel,I Samuel 27:7,-2,429894,4,אייר,0.2564224,39.97294,true,-71.67569
אייר,II Chronicles,II Chronicles 22:3,-2,1176750,4,אייר,0.2173877,39.97294,true,-79.04558
אייר,II Kings,II Kings 10:7,2,546842,4,אייר,0.24776606,39.97294,true,-73.310036
אייר,II Samuel,II Samuel 1:7,2,435914,4,אייר,0.2633878,39.97294,true,-70.3606
אייר,II Samuel,II Samuel 2:11,-2,437590,4,אייר,0.18923461,39.97294,true,-84.36098
אייר,II Samuel,II Samuel 2:18,-2,438012,4,אייר,0.24249545,39.97294,true,-74.305145
אייר,II Samuel,II Samuel 3:7,2,439328,4,אייר,0.2990014,39.97294,true,-63.63663
אייר,II Samuel,II Samuel 20:10,-2,470348,4,אייר,0.24352233,39.97294,true,-74.11127
