word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
ברית,Amos,Amos 1:9,1,818795,4,ברית,0.25794658,2.390711,false,-11.6482525
אייר,Amos,Amos 3:8,1,820319,4,אייר,0.2676239,2.390711,false,-11.334587
ברית,Amos,Amos 5:12,-1,822172,4,ברית,0.26626626,2.390711,false,-11.378592
ברית,Amos,Amos 7:9,-1,824024,4,ברית,0.28479105,2.390711,false,-10.778159
ברית,Amos,Amos 7:11,-1,824136,4,ברית,0.27750388,2.390711,false,-11.014354
ברית,Daniel,Daniel 9:4,1,1057872,4,ברית,0.2538058,2.390711,false,-11.782466
ברית,Daniel,Daniel 9:27,1,1059521,4,ברית,0.30377266,2.390711,false,-10.162919
ברית,Daniel,Daniel 11:22,1,1062207,4,ברית,0.28895766,2.390711,false,-10.643109
ברית,Daniel,Daniel 11:28,1,1062553,4,ברית,0.2670412,2.390711,false,-11.353474
ברית,Daniel,Daniel 11:30,1,1062636,4,ברית,0.26444763,2.390711,false,-11.437538
ברית,Daniel,Daniel 11:30,1,1062661,4,ברית,0.26444763,2.390711,false,-11.437538
ברית,Daniel,Daniel 11:32,1,1062731,4,ברית,0.25477535,2.390711,false,-11.7510395
ברית,Deuteronomy,Deuteronomy 4:31,1,257139,4,ברית,0.25586152,2.390711,false,-11.715835
ברית,Deuteronomy,Deuteronomy 4:32,1,257776,4,ברית,0.27979115,2.390711,false,-10.940218
ברית,Deuteronomy,Deuteronomy 4:13,1,258310,4,ברית,0.2649256,2.390711,false,-11.422046
ברית,Deuteronomy,Deuteronomy 5:2,1,259539,4,ברית,0.28505558,2.390711,false,-10.769585
ברית,Deuteronomy,Deuteronomy 5:3,1,259567,4,ברית,0.28100792,2.390711,false,-10.90078
ברית,Deuteronomy,Deuteronomy 7:2,1,262683,4,ברית,0.275871,2.390711,false,-11.067279
ברית,Deuteronomy,Deuteronomy 7:9,1,263097,4,ברית,0.22486463,2.390711,false,-12.720518
ברית,Deuteronomy,Deuteronomy 7:21,1,263287,4,ברית,0.23060063,2.390711,false,-12.5346
ברית,Deuteronomy,Deuteronomy 8:81,1,265141,4,ברית,0.2594095,2.390711,false,-11.600836
ברית,Deuteronomy,Deuteronomy 9:9,1,265951,4,ברית,0.23954634,2.390711,false,-12.244648
ברית,Deuteronomy,Deuteronomy 9:11,1,266161,4,ברית,0.24009506,2.390711,false,-12.226863
ברית,Deuteronomy,Deuteronomy 9:51,1,266373,4,ברית,0.23622192,2.390711,false,-12.352401
ברית,Deuteronomy,Deuteronomy 1:8,1,267726,4,ברית,0.25403887,2.390711,false,-11.774911
ברית,Deuteronomy,Deuteronomy 71:2,1,277909,4,ברית,0.26140645,2.390711,false,-11.53611
ברית,Deuteronomy,Deuteronomy 82:96,1,295290,4,ברית,0.28104192,2.390711,false,-10.899677
ברית,Deuteronomy,Deuteronomy 82:96,1,295336,4,ברית,0.28104192,2.390711,false,-10.899677
ברית,Deuteronomy,Deuteronomy 92:8,1,295753,4,ברית,0.29464442,2.390711,false,-10.458788
ברית,Deuteronomy,Deuteronomy 92:11,1,295906,4,ברית,0.24583144,2.390711,false,-12.040933
ברית,Deuteronomy,Deuteronomy 92:31,1,296046,4,ברית,0.23045488,2.390711,false,-12.539325
ברית,Deuteronomy,Deuteronomy 92:2,1,296528,4,ברית,0.2658393,2.390711,false,-11.39243
ברית,Deuteronomy,Deuteronomy 92:42,1,296800,4,ברית,0.2822777,2.390711,false,-10.859622
ברית,Deuteronomy,Deuteronomy 13:9,1,298923,4,ברית,0.24370275,2.390711,false,-12.109929
ברית,Deuteronomy,Deuteronomy 13:61,1,299469,4,ברית,0.27386767,2.390711,false,-11.132212
ברית,Deuteronomy,Deuteronomy 13:2,1,299814,4,ברית,0.25387403,2.390711,false,-11.780253
ברית,Deuteronomy,Deuteronomy 13:52,1,300117,4,ברית,0.28377613,2.390711,false,-10.811054
ברית,Deuteronomy,Deuteronomy 13:62,1,300160,4,ברית,0.2534358,2.390711,false,-11.794458
ברית,Deuteronomy,Deuteronomy 33:9,1,303231,4,ברית,0.27205303,2.390711,false,-11.191029
אייר,Ecclesiastes,Ecclesiastes 6:2,-1,1021379,4,אייר,0.25351372,2.390711,false,-11.791932
אייר,Exodus,Exodus 1:5,1,78168,4,אייר,0.22870588,2.390711,false,-12.596014
ברית,Exodus,Exodus 1:51,1,78625,4,ברית,0.28251588,2.390711,false,-10.851902
ברית,Exodus,Exodus 1:91,1,78867,4,ברית,0.2954918,2.390711,false,-10.431321
ברית,Exodus,Exodus 2:7,1,79356,4,ברית,0.2711899,2.390711,false,-11.219005
ברית,Exodus,Exodus 2:42,1,80262,4,ברית,0.285155,2.390711,false,-10.766362
ברית,Exodus,Exodus 6:4,1,84916,4,ברית,0.2816778,2.390711,false,-10.879066
ברית,Exodus,Exodus 6:5,1,85007,4,ברית,0.27057487,2.390711,false,-11.238939
ברית,Exodus,Exodus 91:5,1,105854,4,ברית,0.2831452,2.390711,false,-10.831505
ברית,Exodus,Exodus 32:23,1,112413,4,ברית,0.25873542,2.390711,false,-11.6226845
ברית,Exodus,Exodus 42:7,1,112826,4,ברית,0.2832123,2.390711,false,-10.8293295
ברית,Exodus,Exodus 42:8,1,112903,4,ברית,0.28494564,2.390711,false,-10.773149
ברית,Exodus,Exodus 13:61,1,125546,4,ברית,0.25146392,2.390711,false,-11.858371
ברית,Exodus,Exodus 43:1,1,129559,4,ברית,0.253595,2.390711,false,-11.789298
ברית,Exodus,Exodus 43:21,1,129740,4,ברית,0.27352092,2.390711,false,-11.143451
ברית,Exodus,Exodus 43:51,1,129866,4,ברית,0.25919712,2.390711,false,-11.607719
ברית,Exodus,Exodus 43:72,1,130500,4,ברית,0.25241783,2.390711,false,-11.827453
ברית,Exodus,Exodus 43:82,1,130579,4,ברית,0.23639303,2.390711,false,-12.346854
ברית,Ezekiel,Ezekiel 16:8,1,748101,4,ברית,0.26263586,2.390711,false,-11.496262
ברית,Ezekiel,Ezekiel 16:59,1,750935,4,ברית,0.253869,2.390711,false,-11.7804165
ברית,Ezekiel,Ezekiel 16:60,1,750950,4,ברית,0.23223984,2.390711,false,-12.481469
ברית,Ezekiel,Ezekiel 16:60,1,750978,4,ברית,0.23223984,2.390711,false,-12.481469
ברית,Ezekiel,Ezekiel 16:61,1,751057,4,ברית,0.20956868,2.390711,false,-13.216296
ברית,Ezekiel,Ezekiel 16:62,1,751075,4,ברית,0.21494365,2.390711,false,-13.042081
ברית,Ezekiel,Ezekiel 17:13,1,751883,4,ברית,0.26254398,2.390711,false,-11.49924
ברית,Ezekiel,Ezekiel 17:14,1,751942,4,ברית,0.28048825,2.390711,false,-10.917623
ברית,Ezekiel,Ezekiel 17:15,1,752010,4,ברית,0.27457693,2.390711,false,-11.109222
ברית,Ezekiel,Ezekiel 17:16,1,752078,4,ברית,0.25948694,2.390711,false,-11.598326
ברית,Ezekiel,Ezekiel 17:18,1,752176,4,ברית,0.24678257,2.390711,false,-12.010105
ברית,Ezekiel,Ezekiel 17:19,1,752241,4,ברית,0.25951904,2.390711,false,-11.597285
ברית,Ezekiel,Ezekiel 20:37,1,757364,4,ברית,0.26784077,2.390711,false,-11.327558
ברית,Ezekiel,Ezekiel 30:5,1,772425,4,ברית,0.27174821,2.390711,false,-11.200909
ברית,Ezekiel,Ezekiel 34:25,1,780191,4,ברית,0.25867754,2.390711,false,-11.62456
ברית,Ezekiel,Ezekiel 37:26,1,785368,4,ברית,0.25916943,2.390711,false,-11.608617
ברית,Ezekiel,Ezekiel 37:26,1,785376,4,ברית,0.25916943,2.390711,false,-11.608617
ברית,Ezekiel,Ezekiel 44:7,1,796743,4,ברית,0.27036208,2.390711,false,-11.245836
ברית,Ezra,Ezra 10:3,1,1078311,4,ברית,0.26216877,2.390711,false,-11.511401
ברית,Genesis,Genesis 6:81,1,7699,4,ברית,0.2559397,2.390711,false,-11.713301
ברית,Genesis,Genesis 9:9,1,10639,4,ברית,0.28957862,2.390711,false,-10.622982
ברית,Genesis,Genesis 9:11,1,10734,4,ברית,0.2666276,2.390711,false,-11.366879
ברית,Genesis,Genesis 9:21,1,10805,4,ברית,0.26798415,2.390711,false,-11.32291
ברית,Genesis,Genesis 9:31,1,10879,4,ברית,0.27040157,2.390711,false,-11.244556
ברית,Genesis,Genesis 9:51,1,10935,4,ברית,0.28037444,2.390711,false,-10.921311
ברית,Genesis,Genesis 9:61,1,11024,4,ברית,0.27855188,2.390711,false,-10.980386
ברית,Genesis,Genesis 9:71,1,11088,4,ברית,0.27711725,2.390711,false,-11.026885
ברית,Genesis,Genesis 41:31,1,16759,4,ברית,0.30133718,2.390711,false,-10.241859
אייר,Genesis,Genesis 51:4,1,17507,4,אייר,0.3028465,2.390711,false,-10.192939
אייר,Genesis,Genesis 51:4,1,17532,4,אייר,0.3028465,2.390711,false,-10.192939
ברית,Genesis,Genesis 51:81,1,18145,4,ברית,0.3004042,2.390711,false,-10.2720995
ברית,Genesis,Genesis 71:2,1,19169,4,ברית,0.25647572,2.390711,false,-11.695927
ברית,Genesis,Genesis 71:4,1,19236,4,ברית,0.24381354,2.390711,false,-12.1063385
ברית,Genesis,Genesis 71:7,1,19356,4,ברית,0.22389336,2.390711,false,-12.751999
ברית,Genesis,Genesis 71:7,1,19389,4,ברית,0.22389336,2.390711,false,-12.751999
ברית,Genesis,Genesis 71:9,1,19507,4,ברית,0.2720992,2.390711,false,-11.189532
ברית,Genesis,Genesis 71:1,1,19537,4,ברית,0.2829583,2.390711,false,-10.837563
ברית,Genesis,Genesis 71:11,1,19611,4,ברית,0.27908316,2.390711,false,-10.963165
ברית,Genesis,Genesis 71:31,1,19722,4,ברית,0.24520037,2.390711,false,-12.061388
ברית,Genesis,Genesis 71:31,1,19734,4,ברית,0.24520037,2.390711,false,-12.061388
ברית,Genesis,Genesis 71:41,1,19789,4,ברית,0.23877344,2.390711,false,-12.2697
ברית,Genesis,Genesis 71:91,1,20048,4,ברית,0.24257888,2.390711,false,-12.146357
ברית,Genesis,Genesis 71:91,1,20057,4,ברית,0.24257888,2.390711,false,-12.146357
ברית,Genesis,Genesis 71:12,1,20161,4,ברית,0.24185465,2.390711,false,-12.16983
אייר,Genesis,Genesis 12:1,1,25754,4,אייר,0.22654471,2.390711,false,-12.666062
ברית,Genesis,Genesis 12:72,1,26682,4,ברית,0.27881646,2.390711,false,-10.971809
