word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
וטו,Amos,Amos 5:14,1,822256,3,וטו,0.28090462,0.51049936,false,-36.30578
וטו,Amos,Amos 5:14,-1,822258,3,וטו,0.28090462,0.51049936,false,-36.30578
וטו,Amos,Amos 5:15,1,822315,3,וטו,0.29185802,0.51049936,false,-34.707523
וטו,Amos,Amos 5:15,-1,822317,3,וטו,0.29185802,0.51049936,false,-34.707523
וטו,Daniel,Daniel 1:4,1,1039637,3,וטו,0.26805866,0.51049936,false,-38.180187
וטו,Daniel,Daniel 1:4,-1,1039639,3,וטו,0.26805866,0.51049936,false,-38.180187
סינ,Daniel,Daniel 5:25,1,1051514,3,סינ,0.26788977,0.51049936,false,-38.20483
סינ,Daniel,Daniel 9:19,-1,1058931,3,סינ,0.29499876,0.51049936,false,-34.249245
וטו,Deuteronomy,Deuteronomy 1:41,1,250637,3,וטו,0.23223294,0.51049936,false,-43.40767
וטו,Deuteronomy,Deuteronomy 1:41,-1,250639,3,וטו,0.23223294,0.51049936,false,-43.40767
וטו,Deuteronomy,Deuteronomy 1:52,1,251358,3,וטו,0.29768002,0.51049936,false,-33.85801
וטו,Deuteronomy,Deuteronomy 1:52,-1,251360,3,וטו,0.29768002,0.51049936,false,-33.85801
סינ,Deuteronomy,Deuteronomy 4:9,-1,256866,3,סינ,0.28474873,0.51049936,false,-35.74487
וטו,Deuteronomy,Deuteronomy 5:3,1,261193,3,וטו,0.22641976,0.51049936,false,-44.255894
וטו,Deuteronomy,Deuteronomy 5:3,-1,261195,3,וטו,0.22641976,0.51049936,false,-44.255894
וטו,Deuteronomy,Deuteronomy 91:31,1,281054,3,וטו,0.23660612,0.51049936,false,-42.769558
וטו,Deuteronomy,Deuteronomy 91:31,-1,281056,3,וטו,0.23660612,0.51049936,false,-42.769558
סינ,Deuteronomy,Deuteronomy 52:3,-1,288122,3,סינ,0.3089508,0.51049936,false,-32.213444
סינ,Deuteronomy,Deuteronomy 23:1,-1,300875,3,סינ,0.35530397,0.51049936,false,-25.449858
סינ,Deuteronomy,Deuteronomy 23:3,-1,301715,3,סינ,0.32286426,0.51049936,false,-30.183271
סינ,Deuteronomy,Deuteronomy 33:2,1,302871,3,סינ,0.3049136,0.51049936,false,-32.80253
סינ,Deuteronomy,Deuteronomy 33:61,-1,303518,3,סינ,0.32768145,0.51049936,false,-29.480375
וטו,Ecclesiastes,Ecclesiastes 2:24,1,1018300,3,וטו,0.26218334,0.51049936,false,-39.03748
וטו,Ecclesiastes,Ecclesiastes 2:24,-1,1018302,3,וטו,0.26218334,0.51049936,false,-39.03748
וטו,Ecclesiastes,Ecclesiastes 4:3,1,1019559,3,וטו,0.22224014,0.51049936,false,-44.86576
וטו,Ecclesiastes,Ecclesiastes 4:3,-1,1019561,3,וטו,0.22224014,0.51049936,false,-44.86576
וטו,Ecclesiastes,Ecclesiastes 4:5,1,1019700,3,וטו,0.2640502,0.51049936,false,-38.76508
וטו,Ecclesiastes,Ecclesiastes 4:6,-1,1019702,3,וטו,0.30641118,0.51049936,false,-32.58401
וטו,Ecclesiastes,Ecclesiastes 6:6,1,1021561,3,וטו,0.2616887,0.51049936,false,-39.109653
וטו,Ecclesiastes,Ecclesiastes 6:6,-1,1021563,3,וטו,0.2616887,0.51049936,false,-39.109653
וטו,Ecclesiastes,Ecclesiastes 7:1,1,1021883,3,וטו,0.22576255,0.51049936,false,-44.35179
וטו,Ecclesiastes,Ecclesiastes 7:2,-1,1021885,3,וטו,0.27787304,0.51049936,false,-36.74813
וטו,Ecclesiastes,Ecclesiastes 7:2,1,1021939,3,וטו,0.27787304,0.51049936,false,-36.74813
וטו,Ecclesiastes,Ecclesiastes 7:3,-1,1021941,3,וטו,0.26863992,0.51049936,false,-38.095375
וטו,Ecclesiastes,Ecclesiastes 7:8,1,1022107,3,וטו,0.25680566,0.51049936,false,-39.82216
וטו,Ecclesiastes,Ecclesiastes 7:8,-1,1022109,3,וטו,0.25680566,0.51049936,false,-39.82216
וטו,Ecclesiastes,Ecclesiastes 7:10,1,1022185,3,וטו,0.22995871,0.51049936,false,-43.73951
וטו,Ecclesiastes,Ecclesiastes 7:10,-1,1022187,3,וטו,0.22995871,0.51049936,false,-43.73951
וטו,Ecclesiastes,Ecclesiastes 8:13,1,1023612,3,וטו,0.22382697,0.51049936,false,-44.63422
וטו,Ecclesiastes,Ecclesiastes 8:13,-1,1023614,3,וטו,0.22382697,0.51049936,false,-44.63422
וטו,Ecclesiastes,Ecclesiastes 11:7,1,1026287,3,וטו,0.22279975,0.51049936,false,-44.784103
וטו,Ecclesiastes,Ecclesiastes 11:7,-1,1026289,3,וטו,0.22279975,0.51049936,false,-44.784103
סינ,Esther,Esther 1:8,-1,1027675,3,סינ,0.27331316,0.51049936,false,-37.413483
וטו,Esther,Esther 2:7,1,1029180,3,וטו,0.24758823,0.51049936,false,-41.167114
וטו,Esther,Esther 2:7,-1,1029182,3,וטו,0.24758823,0.51049936,false,-41.167114
סינ,Esther,Esther 2:21,-1,1030277,3,סינ,0.2986319,0.51049936,false,-33.719116
סינ,Esther,Esther 3:7,-1,1030860,3,סינ,0.26932195,0.51049936,false,-37.995857
וטו,Esther,Esther 5:9,1,1033314,3,וטו,0.22667035,0.51049936,false,-44.21933
וטו,Esther,Esther 5:9,-1,1033316,3,וטו,0.22667035,0.51049936,false,-44.21933
סינ,Esther,Esther 6:2,-1,1033836,3,סינ,0.2821014,0.51049936,false,-36.131153
וטו,Esther,Esther 8:5,1,1035808,3,וטו,0.2532883,0.51049936,false,-40.335392
וטו,Esther,Esther 8:5,-1,1035810,3,וטו,0.2532883,0.51049936,false,-40.335392
סינ,Exodus,Exodus 9:2,-1,90683,3,סינ,0.2905594,0.51049936,false,-34.897007
סינ,Exodus,Exodus 61:1,1,101152,3,סינ,0.30334032,0.51049936,false,-33.032093
סינ,Exodus,Exodus 61:1,1,101169,3,סינ,0.30334032,0.51049936,false,-33.032093
סינ,Exodus,Exodus 71:1,1,103208,3,סינ,0.2664523,0.51049936,false,-38.414577
וטו,Exodus,Exodus 81:62,1,105578,3,וטו,0.28471348,0.51049936,false,-35.750015
וטו,Exodus,Exodus 81:62,-1,105580,3,וטו,0.28471348,0.51049936,false,-35.750015
סינ,Exodus,Exodus 91:1,1,105654,3,סינ,0.29081324,0.51049936,false,-34.85997
סינ,Exodus,Exodus 91:2,1,105679,3,סינ,0.26683027,0.51049936,false,-38.35943
סינ,Exodus,Exodus 91:11,1,106244,3,סינ,0.26654786,0.51049936,false,-38.400635
סינ,Exodus,Exodus 91:81,1,106573,3,סינ,0.2739059,0.51049936,false,-37.326992
סינ,Exodus,Exodus 91:2,1,106691,3,סינ,0.26683027,0.51049936,false,-38.35943
סינ,Exodus,Exodus 91:32,1,106852,3,סינ,0.25469583,0.51049936,false,-40.130013
סינ,Exodus,Exodus 42:61,1,113291,3,סינ,0.31551093,0.51049936,false,-31.256227
סינ,Exodus,Exodus 62:11,1,115824,3,סינ,0.24616168,0.51049936,false,-41.375267
סינ,Exodus,Exodus 13:81,1,125653,3,סינ,0.28250617,0.51049936,false,-36.07209
סינ,Exodus,Exodus 43:2,1,129113,3,סינ,0.31463718,0.51049936,false,-31.38372
