word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
וטו,Amos,Amos 5:14,1,822256,3,וטו,0.0,0.0,false,0.0
וטו,Amos,Amos 5:14,-1,822258,3,וטו,0.0,0.0,false,0.0
וטו,Amos,Amos 5:15,1,822315,3,וטו,0.0,0.0,false,0.0
וטו,Amos,Amos 5:15,-1,822317,3,וטו,0.0,0.0,false,0.0
וטו,Daniel,Daniel 1:4,1,1039637,3,וטו,0.0,0.0,false,0.0
וטו,Daniel,Daniel 1:4,-1,1039639,3,וטו,0.0,0.0,false,0.0
סינ,Daniel,Daniel 5:25,1,1051514,3,סינ,0.0,0.0,false,0.0
סינ,Daniel,Daniel 9:19,-1,1058931,3,סינ,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 1:41,1,250637,3,וטו,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 1:41,-1,250639,3,וטו,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 1:52,1,251358,3,וטו,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 1:52,-1,251360,3,וטו,0.0,0.0,false,0.0
סינ,Deuteronomy,Deuteronomy 4:9,-1,256866,3,סינ,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 5:3,1,261193,3,וטו,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 5:3,-1,261195,3,וטו,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 91:31,1,281054,3,וטו,0.0,0.0,false,0.0
וטו,Deuteronomy,Deuteronomy 91:31,-1,281056,3,וטו,0.0,0.0,false,0.0
סינ,Deuteronomy,Deuteronomy 52:3,-1,288122,3,סינ,0.0,0.0,false,0.0
סינ,Deuteronomy,Deuteronomy 23:1,-1,300875,3,סינ,0.0,0.0,false,0.0
סינ,Deuteronomy,Deuteronomy 23:3,-1,301715,3,סינ,0.0,0.0,false,0.0
סינ,Deuteronomy,Deuteronomy 33:2,1,302871,3,סינ,0.0,0.0,false,0.0
סינ,Deuteronomy,Deuteronomy 33:61,-1,303518,3,סינ,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 2:24,1,1018300,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 2:24,-1,1018302,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 4:3,1,1019559,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 4:3,-1,1019561,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 4:5,1,1019700,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 4:6,-1,1019702,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 6:6,1,1021561,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 6:6,-1,1021563,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:1,1,1021883,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:2,-1,1021885,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:2,1,1021939,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:3,-1,1021941,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:8,1,1022107,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:8,-1,1022109,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:10,1,1022185,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 7:10,-1,1022187,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 8:13,1,1023612,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 8:13,-1,1023614,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 11:7,1,1026287,3,וטו,0.0,0.0,false,0.0
וטו,Ecclesiastes,Ecclesiastes 11:7,-1,1026289,3,וטו,0.0,0.0,false,0.0
סינ,Esther,Esther 1:8,-1,1027675,3,סינ,0.0,0.0,false,0.0
וטו,Esther,Esther 2:7,1,1029180,3,וטו,0.0,0.0,false,0.0
וטו,Esther,Esther 2:7,-1,1029182,3,וטו,0.0,0.0,false,0.0
סינ,Esther,Esther 2:21,-1,1030277,3,סינ,0.0,0.0,false,0.0
סינ,Esther,Esther 3:7,-1,1030860,3,סינ,0.0,0.0,false,0.0
וטו,Esther,Esther 5:9,1,1033314,3,וטו,0.0,0.0,false,0.0
וטו,Esther,Esther 5:9,-1,1033316,3,וטו,0.0,0.0,false,0.0
סינ,Esther,Esther 6:2,-1,1033836,3,סינ,0.0,0.0,false,0.0
וטו,Esther,Esther 8:5,1,1035808,3,וטו,0.0,0.0,false,0.0
וטו,Esther,Esther 8:5,-1,1035810,3,וטו,0.0,0.0,false,0.0
סינ,Exodus,Exodus 9:2,-1,90683,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 61:1,1,101152,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 61:1,1,101169,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 71:1,1,103208,3,סינ,0.0,0.0,false,0.0
וטו,Exodus,Exodus 81:62,1,105578,3,וטו,0.0,0.0,false,0.0
וטו,Exodus,Exodus 81:62,-1,105580,3,וטו,0.0,0.0,false,0.0
סינ,Exodus,Exodus 91:1,1,105654,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 91:2,1,105679,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 91:11,1,106244,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 91:81,1,106573,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 91:2,1,106691,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 91:32,1,106852,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 42:61,1,113291,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 62:11,1,115824,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 13:81,1,125653,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 43:2,1,129113,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 43:4,1,129236,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 43:92,1,130607,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 43:23,1,130815,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 63:81,1,133763,3,סינ,0.0,0.0,false,0.0
סינ,Exodus,Exodus 4:63,-1,141486,3,סינ,0.0,0.0,false,0.0
סינ,Ezekiel,Ezekiel 12:16,-1,743647,3,סינ,0.0,0.0,false,0.0
וטו,Ezekiel,Ezekiel 30:5,1,772400,3,וטו,0.0,0.0,false,0.0
וטו,Ezekiel,Ezekiel 30:5,-1,772402,3,וטו,0.0,0.0,false,0.0
סינ,Ezekiel,Ezekiel 30:15,1,772970,3,סינ,0.0,0.0,false,0.0
סינ,Ezekiel,Ezekiel 30:16,1,773020,3,סינ,0.0,0.0,false,0.0
וטו,Ezekiel,Ezekiel 31:16,1,774660,3,וטו,0.0,0.0,false,0.0
וטו,Ezekiel,Ezekiel 31:16,-1,774662,3,וטו,0.0,0.0,false,0.0
סינ,Ezekiel,Ezekiel 39:20,-1,788129,3,סינ,0.0,0.0,false,0.0
וטו,Ezekiel,Ezekiel 46:23,1,801313,3,וטו,0.0,0.0,false,0.0
וטו,Ezekiel,Ezekiel 46:23,-1,801315,3,וטו,0.0,0.0,false,0.0
סינ,Ezra,Ezra 2:35,-1,1065927,3,סינ,0.0,0.0,false,0.0
סינ,Ezra,Ezra 2:44,-1,1066227,3,סינ,0.0,0.0,false,0.0
סינ,Ezra,Ezra 2:53,-1,1066436,3,סינ,0.0,0.0,false,0.0
סינ,Ezra,Ezra 2:55,-1,1066476,3,סינ,0.0,0.0,false,0.0
