word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תשפט,Deuteronomy,Deuteronomy 1:61,1,250759,4,תשפט,0.3107776,-0.8900116,false,-11.105108
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,-0.8900116,false,-14.771405
תשפט,Ezekiel,Ezekiel 14:21,1,747050,4,תשפט,0.30544326,-0.8900116,false,-11.499705
תשפט,Ezekiel,Ezekiel 20:4,1,755171,4,תשפט,0.33779347,-0.8900116,false,-9.106668
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,-0.8900116,false,-13.190086
תשפט,Ezekiel,Ezekiel 22:2,1,759930,4,תשפט,0.35991508,-0.8900116,false,-7.4702706
תשפט,Ezekiel,Ezekiel 22:2,1,759935,4,תשפט,0.35991508,-0.8900116,false,-7.4702706
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,-0.8900116,false,-12.305071
ראשהשנה,Ezekiel,Ezekiel 40:1,1,788693,7,ראשהשנה,0.3534562,-0.8900116,false,-7.9480524
תשפח,Genesis,Genesis 61:3,1,18413,4,תשפח,0.32319006,-0.8900116,false,-10.186924
תשפח,Genesis,Genesis 52:21,1,33383,4,תשפח,0.304747,-0.8900116,false,-11.55121
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,-0.8900116,false,-16.976744
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,-0.8900116,false,-15.495758
תשפט,Hosea,Hosea 7:7,1,809425,4,תשפט,0.30832714,-0.8900116,false,-11.286376
תשפח,I Samuel,I Samuel 8:16,1,394657,4,תשפח,0.31919086,-0.8900116,false,-10.482756
תשפח,I Samuel,I Samuel 23:23,-1,423022,4,תשפח,0.29862118,-0.8900116,false,-12.004354
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,-0.8900116,false,-15.663965
תשפט,II Chronicles,II Chronicles 19:6,1,1172440,4,תשפט,0.4033957,-0.8900116,false,-4.2538853
תשפט,II Chronicles,II Chronicles 20:12,1,1173551,4,תשפט,0.3200916,-0.8900116,false,-10.416125
תשפט,II Kings,II Kings 15:5,1,555381,4,תשפט,0.33361614,-0.8900116,false,-9.415678
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,-0.8900116,false,-12.443227
תשפט,Jeremiah,Jeremiah 11:20,1,661333,4,תשפט,0.3364052,-0.8900116,false,-9.209364
תשצ,Jeremiah,Jeremiah 17:8,-1,668463,3,תשצ,0.36695084,-0.8900116,false,-6.9498158
תשפח,Jeremiah,Jeremiah 34:9,1,697000,4,תשפח,0.27988303,-0.8900116,false,-13.390468
תשפח,Jeremiah,Jeremiah 34:10,1,697095,4,תשפח,0.30405575,-0.8900116,false,-11.602343
תשפח,Jeremiah,Jeremiah 34:16,1,697512,4,תשפח,0.3119589,-0.8900116,false,-11.017724
תשפט,Leviticus,Leviticus 91:51,1,170853,4,תשפט,0.3546121,-0.8900116,false,-7.862546
תשפו,Malachi,Malachi 3:20,-1,861624,4,תשפו,0.31063774,-0.8900116,false,-11.115455
תשפט,Micah,Micah 4:14,1,833240,4,תשפט,0.29967335,-0.8900116,false,-11.926521
תשפו,Proverbs,Proverbs 31:13,-1,967297,4,תשפו,0.35624677,-0.8900116,false,-7.741626
תשצ,Psalms,Psalms 1:3,-1,861945,3,תשצ,0.39488405,-0.8900116,false,-4.8835173
תשפט,Psalms,Psalms 58:2,1,890815,4,תשפט,0.38993716,-0.8900116,false,-5.249452
תשפט,Psalms,Psalms 67:5,1,894901,4,תשפט,0.31964442,-0.8900116,false,-10.449204
תשפט,Psalms,Psalms 82:2,1,906025,4,תשפט,0.4162631,-0.8900116,false,-3.3020482
תשפח,Ruth,Ruth 2:13,1,1007219,4,תשפח,0.34386557,-0.8900116,false,-8.657497
תשפט,Zechariah,Zechariah 7:9,1,851138,4,תשפט,0.352979,-0.8900116,false,-7.9833517
תשצ,Deuteronomy,Deuteronomy 5:3,-2,261218,3,תשצ,0.35412312,-0.8900116,false,-7.8987184
תשצא,Deuteronomy,Deuteronomy 5:3,-2,261218,4,תשצא,0.3010313,-0.8900116,false,-11.826071
תשצ,Deuteronomy,Deuteronomy 11:52,-2,270076,3,תשצ,0.3103304,-0.8900116,false,-11.13819
תשצא,Deuteronomy,Deuteronomy 11:52,-2,270076,4,תשצא,0.27985752,-0.8900116,false,-13.392355
תשצ,Deuteronomy,Deuteronomy 82:32,-2,292682,3,תשצ,0.37131834,-0.8900116,false,-6.626739
תשצא,Deuteronomy,Deuteronomy 82:32,-2,292682,4,תשצא,0.34961128,-0.8900116,false,-8.232471
תשצ,Ecclesiastes,Ecclesiastes 8:6,-2,1023234,3,תשצ,0.34822983,-0.8900116,false,-8.3346615
תשצ,Exodus,Exodus 82:31,2,118948,3,תשצ,0.37177512,-0.8900116,false,-6.59295
תשצ,Exodus,Exodus 83:8,2,136538,3,תשצ,0.32368982,-0.8900116,false,-10.149956
תשצא,Exodus,Exodus 83:8,2,136538,4,תשצא,0.30094397,-0.8900116,false,-11.83253
תשצ,Ezekiel,Ezekiel 48:29,-2,804578,3,תשצ,0.34753072,-0.8900116,false,-8.386376
תשצא,Ezekiel,Ezekiel 48:29,-2,804578,4,תשצא,0.29871687,-0.8900116,false,-11.997274
