word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
תשפו,Deuteronomy,Deuteronomy 22:11,-1,284515,4,תשפו,0.26121485,-1.0085663,false,-46.078583
תשפו,Ezekiel,Ezekiel 20:4,1,755179,4,תשפו,0.28259188,-1.0085663,false,-41.248352
תשפו,Ezekiel,Ezekiel 23:36,1,763300,4,תשפו,0.29455593,-1.0085663,false,-38.54502
ראשהשנה,Ezekiel,Ezekiel 40:1,1,788693,7,ראשהשנה,0.3534562,-1.0085663,false,-25.236256
תשפו,Hosea,Hosea 2:7,-1,805860,4,תשפו,0.23140204,-1.0085663,false,-52.814915
תשפו,Hosea,Hosea 2:11,-1,806105,4,תשפו,0.2514227,-1.0085663,false,-48.29116
תשפו,II Chronicles,II Chronicles 1:11,1,1148241,4,תשפו,0.2491488,-1.0085663,false,-48.80496
תשפו,Isaiah,Isaiah 42:3,-1,619005,4,תשפו,0.29268828,-1.0085663,false,-38.967026
תשצ,Jeremiah,Jeremiah 17:8,-1,668463,3,תשצ,0.36695084,-1.0085663,false,-22.187084
תשפו,Malachi,Malachi 3:20,-1,861624,4,תשפו,0.31063774,-1.0085663,false,-34.91127
יומתרועה,Numbers,Numbers 92:1,1,236659,8,יומתרועה,0.46215433,-1.0085663,false,-0.6754497
תשפו,Proverbs,Proverbs 31:13,-1,967297,4,תשפו,0.35624677,-1.0085663,false,-24.605715
תשצ,Psalms,Psalms 1:3,-1,861945,3,תשצ,0.39488405,-1.0085663,false,-15.875456
תשצ,Deuteronomy,Deuteronomy 5:3,-2,261218,3,תשצ,0.35412312,-1.0085663,false,-25.085564
תשצ,Deuteronomy,Deuteronomy 11:52,-2,270076,3,תשצ,0.3103304,-1.0085663,false,-34.980717
תשצ,Deuteronomy,Deuteronomy 82:32,-2,292682,3,תשצ,0.37131834,-1.0085663,false,-21.200228
תשצ,Ecclesiastes,Ecclesiastes 8:6,-2,1023234,3,תשצ,0.34822983,-1.0085663,false,-26.417177
תשצ,Exodus,Exodus 82:31,2,118948,3,תשצ,0.37177512,-1.0085663,false,-21.097017
תשצ,Exodus,Exodus 83:8,2,136538,3,תשצ,0.32368982,-1.0085663,false,-31.962097
תשצ,Ezekiel,Ezekiel 48:29,-2,804578,3,תשצ,0.34753072,-1.0085663,false,-26.575142
תשצ,Genesis,Genesis 31:41,2,15838,3,תשצ,0.35292184,-1.0085663,false,-25.356995
תשצ,I Kings,I Kings 11:10,2,502640,3,תשצ,0.34131095,-1.0085663,false,-27.980526
תשצ,I Kings,I Kings 16:8,-2,513716,3,תשצ,0.37107265,-1.0085663,false,-21.255743
תשפו,I Samuel,I Samuel 25:20,-2,426070,4,תשפו,0.2608703,-1.0085663,false,-46.156433
תשצ,II Samuel,II Samuel 7:10,-2,445752,3,תשצ,0.3394405,-1.0085663,false,-28.403164
תשצ,Isaiah,Isaiah 14:20,-2,591440,3,תשצ,0.36847076,-1.0085663,false,-21.843653
תשצ,Jeremiah,Jeremiah 11:8,2,660570,3,תשצ,0.31378123,-1.0085663,false,-34.200985
תשצ,Jeremiah,Jeremiah 19:8,-2,671534,3,תשצ,0.3309524,-1.0085663,false,-30.321083
תשצ,Jeremiah,Jeremiah 42:7,-2,709854,3,תשצ,0.3354006,-1.0085663,false,-29.315992
תשצ,Judges,Judges 6:5,-2,353578,3,תשצ,0.35842252,-1.0085663,false,-24.114094
תשפו,Judges,Judges 7:22,2,357508,4,תשפו,0.30797213,-1.0085663,false,-35.513573
תשצ,Judges,Judges 16:20,-2,373432,3,תשצ,0.38080478,-1.0085663,false,-19.056728
תשצ,Lamentations,Lamentations 4:11,2,1015002,3,תשצ,0.34725872,-1.0085663,false,-26.636602
תשצו,Lamentations,Lamentations 4:11,2,1015002,4,תשצו,0.32960582,-1.0085663,false,-30.62535
תשצ,Leviticus,Leviticus 9:5,2,153130,3,תשצ,0.32070255,-1.0085663,false,-32.63708
תשצ,Leviticus,Leviticus 52:5,-2,179796,3,תשצ,0.36421108,-1.0085663,false,-22.806145
תשפו,Leviticus,Leviticus 62:61,2,183028,4,תשפו,0.2705728,-1.0085663,false,-43.96411
תשצ,Leviticus,Leviticus 72:43,2,186350,3,תשצ,0.3342405,-1.0085663,false,-29.578125
תשצ,Numbers,Numbers 3:31,-2,239134,3,תשצ,0.32645458,-1.0085663,false,-31.337387
תשצ,Numbers,Numbers 43:2,-2,246184,3,תשצ,0.39269304,-1.0085663,false,-16.370523
תשצ,Psalms,Psalms 8:2,-2,864446,3,תשצ,0.39943156,-1.0085663,false,-14.847928
תשצ,Psalms,Psalms 66:14,-2,894586,3,תשצ,0.37950417,-1.0085663,false,-19.350605
תשצ,Psalms,Psalms 85:2,-2,907238,3,תשצ,0.42989933,-1.0085663,false,-7.963603
תשצ,Psalms,Psalms 101:6,-2,915040,3,תשצ,0.35217282,-1.0085663,false,-25.52624
תשצ,Psalms,Psalms 105:29,2,918526,3,תשצ,0.45609975,-1.0085663,false,-2.043508
תשצ,Deuteronomy,Deuteronomy 72:11,-3,290885,3,תשצ,0.33425862,-1.0085663,false,-29.574032
תשצ,Deuteronomy,Deuteronomy 82:92,3,292941,3,תשצ,0.34494686,-1.0085663,false,-27.158978
תשצ,Exodus,Exodus 91:71,-3,106532,3,תשצ,0.32503086,-1.0085663,false,-31.65908
תשצו,Exodus,Exodus 91:71,-3,106532,4,תשצו,0.26483077,-1.0085663,false,-45.26155
תשצ,Exodus,Exodus 53:53,3,132672,3,תשצ,0.3454103,-1.0085663,false,-27.054264
תשצ,Ezekiel,Ezekiel 11:18,3,742401,3,תשצ,0.32951665,-1.0085663,false,-30.645498
תשצו,Ezekiel,Ezekiel 11:18,3,742401,4,תשצו,0.28894615,-1.0085663,false,-39.812576
תשפו,Ezekiel,Ezekiel 17:19,3,752244,4,תשפו,0.26862967,-1.0085663,false,-44.40317
תשצ,Ezra,Ezra 6:22,-3,1072961,3,תשצ,0.3570755,-1.0085663,false,-24.418457
תשפו,Genesis,Genesis 22:22,-3,28235,4,תשפו,0.2839031,-1.0085663,false,-40.952076
תשצ,I Kings,I Kings 8:36,-3,496394,3,תשצ,0.34875664,-1.0085663,false,-26.298141
תשצ,I Samuel,I Samuel 25:2,-3,424886,3,תשצ,0.36060196,-1.0085663,false,-23.62164
תשצו,I Samuel,I Samuel 25:2,-3,424886,4,תשצו,0.3104165,-1.0085663,false,-34.96126
תשפו,II Chronicles,II Chronicles 21:19,-3,1176488,4,תשפו,0.25340462,-1.0085663,false,-47.843338
תשצ,II Chronicles,II Chronicles 29:33,-3,1189115,3,תשצ,0.37235937,-1.0085663,false,-20.965004
תשצו,II Chronicles,II Chronicles 29:33,-3,1189115,4,תשצו,0.31122562,-1.0085663,false,-34.778435
תשצ,II Chronicles,II Chronicles 35:17,-3,1200410,3,תשצ,0.36012053,-1.0085663,false,-23.730421
תשצג,II Chronicles,II Chronicles 35:17,-3,1200410,4,תשצג,0.40588826,-1.0085663,false,-13.389008
תשצ,II Kings,II Kings 24:13,-3,574538,3,תשצ,0.28057414,-1.0085663,false,-41.704266
תשצו,II Kings,II Kings 24:13,-3,574538,4,תשצו,0.22889501,-1.0085663,false,-53.381386
תשצ,Job,Job 40:10,3,997683,3,תשצ,0.41145843,-1.0085663,false,-12.1304035
תשצ,Joshua,Joshua 13:2,-3,324956,3,תשצ,0.34944776,-1.0085663,false,-26.141981
תשצ,Leviticus,Leviticus 8:33,-3,152729,3,תשצ,0.3733068,-1.0085663,false,-20.750925
תשצ,Numbers,Numbers 21:4,-3,208925,3,תשצ,0.30688348,-1.0085663,false,-35.75956
תשצ,Numbers,Numbers 71:42,-3,218399,3,תשצ,0.34398678,-1.0085663,false,-27.375912
תשצ,Numbers,Numbers 62:94,-3,233171,3,תשצ,0.37526208,-1.0085663,false,-20.309124
תשצ,Numbers,Numbers 43:31,-3,246692,3,תשצ,0.31785274,-1.0085663,false,-33.28101
תשצ,Proverbs,Proverbs 8:7,3,946992,3,תשצ,0.42613426,-1.0085663,false,-8.814339
תשצ,Proverbs,Proverbs 20:18,-3,957410,3,תשצ,0.45903012,-1.0085663,false,-1.3813777
תשצו,Proverbs,Proverbs 20:18,-3,957410,4,תשצו,0.3815589,-1.0085663,false,-18.886332
תשצ,Proverbs,Proverbs 29:7,3,965256,3,תשצ,0.5116941,-1.0085663,false,10.518267
תשצ,Psalms,Psalms 60:13,-3,892259,3,תשצ,0.38151848,-1.0085663,false,-18.895462
תשצ,Psalms,Psalms 108:13,-3,921959,3,תשצ,0.39159516,-1.0085663,false,-16.618595
תשצ,Zechariah,Zechariah 7:2,3,850761,3,תשצ,0.31508678,-1.0085663,false,-33.90599
תשצ,Ecclesiastes,Ecclesiastes 12:2,-4,1026572,3,תשצ,0.35865042,-1.0085663,false,-24.0626
תשצ,Exodus,Exodus 72:2,-4,118128,3,תשצ,0.38779473,-1.0085663,false,-17.477318
תשצ,Ezekiel,Ezekiel 37:20,-4,784896,3,תשצ,0.3144023,-1.0085663,false,-34.060646
תשפו,Ezekiel,Ezekiel 41:3,-4,791972,4,תשפו,0.2582993,-1.0085663,false,-46.737366
תשצ,Habakkuk,Habakkuk 3:13,-4,840256,3,תשצ,0.45140254,-1.0085663,false,-3.1048613
תשצ,Hosea,Hosea 2:10,4,806024,3,תשצ,0.29677576,-1.0085663,false,-38.04344
תשצ,II Chronicles,II Chronicles 9:23,-4,1160484,3,תשצ,0.31685585,-1.0085663,false,-33.50626
תשצ,II Chronicles,II Chronicles 26:21,4,1184420,3,תשצ,0.3629768,-1.0085663,false,-23.085037
תשצ,Joel,Joel 4:18,-4,818120,3,תשצ,0.31464648,-1.0085663,false,-34.005478
תשצ,Nehemiah,Nehemiah 5:11,4,1086568,3,תשצ,0.32101315,-1.0085663,false,-32.566902
תשצ,Nehemiah,Nehemiah 10:40,4,1096852,3,תשצ,0.30512452,-1.0085663,false,-36.157005
תשצ,Nehemiah,Nehemiah 13:5,4,1101040,3,תשצ,0.30992222,-1.0085663,false,-35.072945
תשפו,Numbers,Numbers 62:45,4,233352,4,תשפו,0.27966836,-1.0085663,false,-41.90893
תשצ,Proverbs,Proverbs 19:19,4,956624,3,תשצ,0.44298133,-1.0085663,false,-5.00767
תשצ,Psalms,Psalms 40:13,-4,882176,3,תשצ,0.35067892,-1.0085663,false,-25.863794
תשצ,Psalms,Psalms 44:5,-4,883804,3,תשצ,0.3889864,-1.0085663,false,-17.208054
תשצ,Song of Songs,Song of Songs 3:5,4,1001524,3,תשצ,0.3208193,-1.0085663,false,-32.610706
תשצ,Zechariah,Zechariah 8:10,-4,852040,3,תשצ,0.27540976,-1.0085663,false,-42.87118
תשצ,Deuteronomy,Deuteronomy 11:1,-5,269159,3,תשצ,0.34560812,-1.0085663,false,-27.009563
תשצ,Exodus,Exodus 31:1,-5,97274,3,תשצ,0.36591327,-1.0085663,false,-22.421526
תשצ,Genesis,Genesis 53:81,-5,51719,3,תשצ,0.3528009,-1.0085663,false,-25.384321
