word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
Jerusalem,Acts,Acts 1:4,1,1540754,9,JERUSALEM,0.17927969,0.0,false,0.0
Jerusalem,Acts,Acts 1:8,1,1541186,9,JERUSALEM,0.15878043,0.0,false,0.0
Jerusalem,Acts,Acts 1:12,1,1541600,9,JERUSALEM,0.30666113,0.0,false,0.0
Jerusalem,Acts,Acts 1:12,1,1541644,9,JERUSALEM,0.30666113,0.0,false,0.0
Jerusalem,Acts,Acts 1:19,1,1542417,9,JERUSALEM,0.1630876,0.0,false,0.0
Jerusalem,Acts,Acts 2:5,1,1543533,9,JERUSALEM,0.17871565,0.0,false,0.0
Jerusalem,Acts,Acts 2:14,1,1544292,9,JERUSALEM,0.14464663,0.0,false,0.0
Jerusalem,Acts,Acts 4:6,1,1550540,9,JERUSALEM,0.11388714,0.0,false,0.0
Jerusalem,Acts,Acts 4:16,1,1551531,9,JERUSALEM,0.13238928,0.0,false,0.0
Jerusalem,Acts,Acts 5:16,1,1555148,9,JERUSALEM,0.1630876,0.0,false,0.0
Jerusalem,Acts,Acts 5:28,1,1556417,9,JERUSALEM,0.1784682,0.0,false,0.0
Jerusalem,Acts,Acts 6:7,1,1558620,9,JERUSALEM,0.18108246,0.0,false,0.0
Jerusalem,Acts,Acts 8:1,1,1565314,9,JERUSALEM,0.13614032,0.0,false,0.0
Jerusalem,Acts,Acts 8:14,1,1566508,9,JERUSALEM,0.15551391,0.0,false,0.0
Jerusalem,Acts,Acts 8:25,1,1567436,9,JERUSALEM,0.21443978,0.0,false,0.0
Jerusalem,Acts,Acts 8:26,1,1567586,9,JERUSALEM,0.1630876,0.0,false,0.0
Jerusalem,Acts,Acts 8:27,1,1567755,9,JERUSALEM,0.16482885,0.0,false,0.0
Jerusalem,Acts,Acts 9:2,1,1569207,9,JERUSALEM,0.20314701,0.0,false,0.0
Jerusalem,Acts,Acts 9:13,1,1570257,9,JERUSALEM,0.2337311,0.0,false,0.0
Jerusalem,Acts,Acts 9:21,1,1571054,9,JERUSALEM,0.3015138,0.0,false,0.0
Jerusalem,Acts,Acts 9:26,1,1571449,9,JERUSALEM,0.23055166,0.0,false,0.0
Jerusalem,Acts,Acts 9:28,1,1571752,9,JERUSALEM,0.27289307,0.0,false,0.0
Jerusalem,Acts,Acts 10:39,1,1576947,9,JERUSALEM,0.17803824,0.0,false,0.0
Jerusalem,Acts,Acts 11:2,1,1577880,9,JERUSALEM,0.17595136,0.0,false,0.0
5 Iyar,Acts,Acts 11:5,-1,1578091,4,IYAR,0.055306204,0.0,false,0.0
Jerusalem,Acts,Acts 11:22,1,1579741,9,JERUSALEM,0.18311976,0.0,false,0.0
Jerusalem,Acts,Acts 11:27,1,1580237,9,JERUSALEM,0.14060754,0.0,false,0.0
5 Iyar,Acts,Acts 12:12,-1,1581967,4,IYAR,0.12840456,0.0,false,0.0
Jerusalem,Acts,Acts 12:25,1,1583198,9,JERUSALEM,0.17613411,0.0,false,0.0
Jerusalem,Acts,Acts 13:13,1,1584681,9,JERUSALEM,0.093188696,0.0,false,0.0
Jerusalem,Acts,Acts 13:27,1,1586061,9,JERUSALEM,0.09409403,0.0,false,0.0
Jerusalem,Acts,Acts 13:31,1,1586448,9,JERUSALEM,0.26932096,0.0,false,0.0
Jerusalem,Acts,Acts 15:2,1,1591570,9,JERUSALEM,0.1630876,0.0,false,0.0
Jerusalem,Acts,Acts 15:4,1,1591785,9,JERUSALEM,0.1630876,0.0,false,0.0
Jerusalem,Acts,Acts 16:4,1,1595846,9,JERUSALEM,0.18513396,0.0,false,0.0
Jerusalem,Acts,Acts 18:21,1,1605052,9,JERUSALEM,0.22231357,0.0,false,0.0
Jerusalem,Acts,Acts 19:21,1,1607920,9,JERUSALEM,0.17531933,0.0,false,0.0
Jerusalem,Acts,Acts 20:16,1,1611728,9,JERUSALEM,0.3113811,0.0,false,0.0
Jerusalem,Acts,Acts 20:22,1,1612267,9,JERUSALEM,0.2615468,0.0,false,0.0
Jerusalem,Acts,Acts 21:4,1,1614191,9,JERUSALEM,0.1630876,0.0,false,0.0
Jerusalem,Acts,Acts 21:11,1,1614908,9,JERUSALEM,0.2232895,0.0,false,0.0
Jerusalem,Acts,Acts 21:12,1,1615061,9,JERUSALEM,0.22846751,0.0,false,0.0
