word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
נשיא,Ezekiel,Ezekiel 7:27,1,737940,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 12:10,1,743282,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 12:12,1,743367,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 19:1,1,754382,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 21:17,1,758774,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 21:30,1,759481,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 22:6,1,760160,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 26:16,1,767371,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 27:21,1,768736,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 30:13,1,772880,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 32:29,1,776499,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 34:24,1,780162,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 37:25,1,785348,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 38:2,1,785566,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 38:3,1,785618,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 39:1,1,787034,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 39:18,1,788028,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 44:3,1,796371,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 44:3,1,796375,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 45:7,1,798676,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 45:8,1,798825,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 45:9,1,798878,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 45:16,1,799297,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 45:17,1,799311,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 45:22,1,799649,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:2,1,799942,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:4,1,800097,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:8,1,800280,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:10,1,800428,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:12,1,800528,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:16,1,800816,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:17,1,800911,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 46:18,1,800940,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 48:21,1,804117,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 48:21,1,804223,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 48:22,1,804289,4,נשיא,0.0,1.9668463,false,0.0
נשיא,Ezekiel,Ezekiel 48:22,1,804323,4,נשיא,0.0,1.9668463,false,0.0
