word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
כורש,Daniel,Daniel 1:21,1,1040693,4,כורש,0.33506802,0.0,false,0.0
כורש,Daniel,Daniel 6:29,1,1053937,4,כורש,0.33890682,0.0,false,0.0
כורש,Daniel,Daniel 10:1,1,1059604,4,כורש,0.37299925,0.0,false,0.0
כורש,Deuteronomy,Deuteronomy 3:1,-1,255034,4,כורש,0.30328554,0.0,false,0.0
כורש,Deuteronomy,Deuteronomy 33:71,1,303550,4,כורש,0.40951467,0.0,false,0.0
כורש,Ezra,Ezra 1:1,1,1064230,4,כורש,0.37677944,0.0,false,0.0
כורש,Ezra,Ezra 1:7,1,1064720,4,כורש,0.32737204,0.0,false,0.0
כורש,Ezra,Ezra 1:8,1,1064785,4,כורש,0.38669753,0.0,false,0.0
כורש,Ezra,Ezra 3:7,1,1067727,4,כורש,0.35873845,0.0,false,0.0
כורש,Ezra,Ezra 4:3,1,1068604,4,כורש,0.37763888,0.0,false,0.0
כורש,Ezra,Ezra 4:5,1,1068692,4,כורש,0.36531094,0.0,false,0.0
כורש,Ezra,Ezra 5:13,1,1071010,4,כורש,0.3284003,0.0,false,0.0
כורש,Ezra,Ezra 5:13,1,1071023,4,כורש,0.3284003,0.0,false,0.0
כורש,Ezra,Ezra 5:14,1,1071134,4,כורש,0.34302992,0.0,false,0.0
כורש,Ezra,Ezra 5:17,1,1071354,4,כורש,0.35554892,0.0,false,0.0
כורש,Ezra,Ezra 6:3,1,1071527,4,כורש,0.34400418,0.0,false,0.0
כורש,Ezra,Ezra 6:3,1,1071535,4,כורש,0.34400418,0.0,false,0.0
כורש,Ezra,Ezra 6:14,1,1072476,4,כורש,0.3615459,0.0,false,0.0
כורש,Genesis,Genesis 41:32,-1,17217,4,כורש,0.33474657,0.0,false,0.0
כורש,I Chronicles,I Chronicles 29:28,-1,1147415,4,כורש,0.31660077,0.0,false,0.0
כורש,II Chronicles,II Chronicles 17:5,-1,1169137,4,כורש,0.31389076,0.0,false,0.0
כורש,II Chronicles,II Chronicles 18:1,-1,1169966,4,כורש,0.34016386,0.0,false,0.0
כורש,II Chronicles,II Chronicles 32:27,-1,1194587,4,כורש,0.35759306,0.0,false,0.0
כורש,II Chronicles,II Chronicles 36:22,1,1202510,4,כורש,0.40411723,0.0,false,0.0
כורש,II Chronicles,II Chronicles 36:22,1,1202554,4,כורש,0.40411723,0.0,false,0.0
כורש,II Chronicles,II Chronicles 36:23,1,1202598,4,כורש,0.4091844,0.0,false,0.0
כורש,II Kings,II Kings 5:14,-1,537263,4,כורש,0.3881705,0.0,false,0.0
כורש,Isaiah,Isaiah 5:27,-1,582416,4,כורש,0.37798905,0.0,false,0.0
כורש,Isaiah,Isaiah 44:28,1,622903,4,כורש,0.35711557,0.0,false,0.0
כורש,Isaiah,Isaiah 45:1,1,622962,4,כורש,0.35192013,0.0,false,0.0
כורש,Isaiah,Isaiah 60:7,-1,637476,4,כורש,0.35383406,0.0,false,0.0
כורש,Jeremiah,Jeremiah 9:23,-1,658591,4,כורש,0.35301235,0.0,false,0.0
כורש,Job,Job 39:27,-1,997341,4,כורש,0.43444717,0.0,false,0.0
כורש,Joshua,Joshua 13:21,-1,325930,4,כורש,0.41616324,0.0,false,0.0
כורש,Nehemiah,Nehemiah 4:2,-1,1084873,4,כורש,0.3414129,0.0,false,0.0
כורש,Nehemiah,Nehemiah 10:13,1,1095662,4,כורש,0.4604804,0.0,false,0.0
כורש,Numbers,Numbers 81:71,1,219626,4,כורש,0.37731043,0.0,false,0.0
כורש,Proverbs,Proverbs 3:16,-1,943062,4,כורש,0.3807461,0.0,false,0.0
כורש,Proverbs,Proverbs 8:18,-1,947291,4,כורש,0.4162397,0.0,false,0.0
כורש,Proverbs,Proverbs 13:6,1,951078,4,כורש,0.40271395,0.0,false,0.0
כורש,Proverbs,Proverbs 22:4,-1,958774,4,כורש,0.35220623,0.0,false,0.0
כורש,Exodus,Exodus 91:91,-2,106648,4,כורש,0.32918692,0.0,false,0.0
כורש,II Chronicles,II Chronicles 28:26,2,1186848,4,כורש,0.33792898,0.0,false,0.0
כורש,II Samuel,II Samuel 20:3,-2,469878,4,כורש,0.37670216,0.0,false,0.0
כורש,Isaiah,Isaiah 55:1,-2,632684,4,כורש,0.3478596,0.0,false,0.0
טראמפ,Leviticus,Leviticus 41:11,2,161858,5,טראמפ,0.24321511,0.0,false,0.0
כורש,Psalms,Psalms 7:16,-2,864316,4,כורש,0.42339426,0.0,false,0.0
כורש,Psalms,Psalms 108:4,-2,921658,4,כורש,0.3678034,0.0,false,0.0
כורש,Deuteronomy,Deuteronomy 23:72,-3,301587,4,כורש,0.37598658,0.0,false,0.0
כורש,Genesis,Genesis 71:41,-3,19770,4,כורש,0.35644895,0.0,false,0.0
דונלד,I Samuel,I Samuel 30:15,3,433665,5,דונלד,0.240042,0.0,false,0.0
כורש,II Kings,II Kings 7:9,-3,540993,4,כורש,0.3622229,0.0,false,0.0
כורש,Isaiah,Isaiah 28:22,3,603306,4,כורש,0.34214753,0.0,false,0.0
כורש,Joel,Joel 2:7,-3,815670,4,כורש,0.3371141,0.0,false,0.0
כורש,Joshua,Joshua 2:1,-3,306066,4,כורש,0.36030066,0.0,false,0.0
כורש,Joshua,Joshua 22:13,3,339513,4,כורש,0.3264598,0.0,false,0.0
כורש,Judges,Judges 11:21,3,365715,4,כורש,0.34332183,0.0,false,0.0
כורש,Judges,Judges 14:9,-3,369900,4,כורש,0.31853583,0.0,false,0.0
כורש,II Chronicles,II Chronicles 6:20,-4,1154624,4,כורש,0.31399864,0.0,false,0.0
כורש,II Kings,II Kings 13:13,4,552440,4,כורש,0.31701294,0.0,false,0.0
כורש,Isaiah,Isaiah 51:23,4,630292,4,כורש,0.32282072,0.0,false,0.0
כורש,Judges,Judges 18:10,4,375800,4,כורש,0.33819383,0.0,false,0.0
