word,book,verse,skip,start,length,sequence,hebert_score,z_score,is_significant,semantic_z_score
ציונ,Amos,Amos 1:2,1,818350,4,ציונ,0.2661862,16.642324,true,-30.627419
ציונ,Amos,Amos 6:1,1,822883,4,ציונ,0.33395422,16.642324,true,-23.09632
ציונ,Ezekiel,Ezekiel 39:15,1,787840,4,ציונ,0.2959778,16.642324,true,-27.316662
ציונ,I Kings,I Kings 8:1,1,494203,4,ציונ,0.2421991,16.642324,true,-33.29312
ציונ,I Kings,I Kings 9:26,1,500156,4,ציונ,0.28312805,16.642324,true,-28.744661
ציונ,I Kings,I Kings 16:17,-1,514268,4,ציונ,0.29723996,16.642324,true,-27.176397
ציונ,I Kings,I Kings 22:49,1,528623,4,ציונ,0.33837047,16.642324,true,-22.60554
ציונ,I Samuel,I Samuel 5:2,-1,390245,4,ציונ,0.32925755,16.642324,true,-23.618263
ציונ,I Samuel,I Samuel 10:1,-1,396925,4,ציונ,0.3427565,16.642324,true,-22.118116
ציונ,I Samuel,I Samuel 11:7,-1,399106,4,ציונ,0.3212515,16.642324,true,-24.507978
ציונ,I Samuel,I Samuel 24:9,-1,423897,4,ציונ,0.30160382,16.642324,true,-26.691439
ציונ,II Kings,II Kings 9:3,-1,544014,4,ציונ,0.2935463,16.642324,true,-27.586878
ציונ,II Kings,II Kings 17:5,-1,559064,4,ציונ,0.26856893,16.642324,true,-30.362625
ציונ,II Kings,II Kings 18:9,-1,562099,4,ציונ,0.25859764,16.642324,true,-31.470741
ציונ,II Kings,II Kings 19:21,1,565436,4,ציונ,0.32863674,16.642324,true,-23.687254
ציונ,II Kings,II Kings 19:31,1,566030,4,ציונ,0.28547016,16.642324,true,-28.484383
ציונ,II Kings,II Kings 23:17,1,572297,4,ציונ,0.4044538,16.642324,true,-15.261657
ציונ,II Samuel,II Samuel 5:7,1,442838,4,ציונ,0.25309116,16.642324,true,-32.08268
ציונ,II Samuel,II Samuel 11:1,-1,450158,4,ציונ,0.32967913,16.642324,true,-23.571413
